,Master US firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,in HB 32,in HB 34,affiliated German firms,type_Partnership,type_branch,type_ownership,type_unknown,affiliated German firm name_moodys32,Master German firm name_moodys32,mentions a subsidiary_moodys32,mentions stock ownership_moodys32,subsidiary is AG_moodys32,subsidiary is GmbH_moodys32,mentions an affilated company_moodys32,mentions a plant/office/branch_moodys32,is a subsidiary of a German firm_moodys32,other types of agreement_moodys32,affiliated German firm name_moodys34,Master German firm name_moodys34,mentions a subsidiary_moodys34,mentions stock ownership_moodys34,subsidiary is AG_moodys34,subsidiary is GmbH_moodys34,mentions an affilated company_moodys34,mentions a plant/office/branch_moodys34,is a subsidiary of a German firm_moodys34,other types of agreement_moodys34,affiliated German firm name,Master German firm name,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affilated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement,HB 1932 affiliated German firm name,HB 1934 affiliated German firm name
42,Colgate-Palmolive-Peet Co.,True,True,True,True,False,False,['Palmolive-Binder & Ketals G.m.b.H.'],False,False,True,False,[''],[''],True,False,False,False,False,False,False,False,"['Palmolive, Binder & Ketels']",['Palmolive-Binder & Ketals G.m.b.H.'],True,True,False,True,False,True,False,True,['Palmolive-Binder & Ketels G.m.b.H.'],['Palmolive-Binder & Ketals G.m.b.H.'],True,False,False,True,False,False,False,False,,
43,Columbia Pictures Corp.,False,False,True,False,False,False,,,,,,,,,,,,,,,,[''],[''],False,False,False,False,False,True,False,False,,,,,,,,,,,,
44,Combustion Engineering Co. Inc.,True,True,False,False,False,False,"['Kohlenscheidungs-Gesellschaft, m.b.H.']",False,False,True,False,['Kohlenscheidungs-Gesellchaft (Germany)'],"['Kohlenscheidungs-Gesellschaft, m.b.H.']",True,False,False,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,
45,Commercial Investment Trust Corp.,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Commercial Investment Trust Akt.-Ges. (Citag)'],['Commercial Investment Trust Aktien-Gesellschaft (Gitag).']
46,Consolidated Oil Corporation,False,True,True,False,False,False,,,,,,[''],[''],False,False,False,False,False,True,False,False,[''],[''],False,False,False,False,False,True,False,False,,,,,,,,,,,,
47,Consolidated Silesian Steel Corporation,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Vereinigte Königs- und Laurahütte Aktien-Gesellschaft für Bergbau- und Hüttenbetrieb'],
48,"Continental ""Borvisk"" Co.",True,False,False,False,False,False,"['""Borvisk"" Kunstseiden A. G.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Continental-Diamond Fibre Co.,False,False,True,False,False,False,,,,,,,,,,,,,,,,[''],[''],False,False,False,False,False,False,False,True,,,,,,,,,,,,
50,Corn Products Refining company,True,False,False,True,False,True,"['Aktien-Malsfabrik Landsburg, A. G.', 'Convertgarten A.G.', 'Deutsche Maizena Werke A. G.', 'Finkenheerder Obstwerke Richard Sonnenberg, A.G.', 'Finkenheerder Obstwerke Richard Sonnenberg, A.G.', 'Gesellschaft fur Industriebeteiligungen m.b.H.', 'E. Gundlach A.G.', 'Karl Fr. Tollner Nachrmittelfabrik G.m.b.H.', 'C. H. Knorr A.G.', 'C. H. Knorr A.G.', 'Koehlmann Werke A.G.', 'Maizenhaus Gesellschaft m.b.H.', 'Maizenhaus Gesellschaft m.b.H.', 'Mondamin Gesellschaft', 'Norddeustche Eiswerke A.G.', 'Norddeutsche Portland Cementfabrik Misburg', 'Ottensenser Eisenwerke A.G.', 'Rudolf Arndt Dextrinfabrik G.m.b.H.', 'Saatsuchwirtschaft C. Braune G.m.b.H.', 'H. & P. Sauermann, A.G.', 'W. A. Scholten Starke und Syrupfabriken A.G.', 'W. A. Scholten Starke und Syrupfabriken A.G.', 'A.G. vormals Seidel and Neumann', 'Transport und Lagerhaus Gesellschaft, m.b.H.', 'Zuckerrubensaftfabrik']",False,False,True,True,,,,,,,,,,,,,,,,,,,,,"['Deutsche Maizena G.m.b.H.', 'Deutsche Maizena-Werke A. G.']","['Deutsche Maizena G.m.b.H.', 'Deutsche Maizena Werke AG']",True,False,True,True,False,False,False,False,,['W. A. Schölten Stärke- und Syrup-Fabriken Aktiengesellschaft.']
51,"Coty, Inc., New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,['NA'],[''],True,False,False,False,False,True,False,False,,
52,Crown Cork International Corporation,False,True,True,False,False,False,,,,,,"['H. A. Bender Bohne, of Mannheim, Germany', 'Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany']","['H. A. Bender Bohne, of Mannheim, Germany', 'Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany']",True,False,False,True,False,False,False,False,"['Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany']","['Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany']",True,False,False,True,False,False,False,False,,,,,,,,,,,,
53,Davega Stores Corp.,False,False,True,False,False,False,,,,,,,,,,,,,,,,['None'],[''],False,False,False,False,False,False,False,False,,,,,,,,,,,,
54,"Davis & Company, Incorporated",True,False,False,False,False,False,"['Europacscje Tanklager und Transport, A.G.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Delta Finance,True,False,False,False,False,False,"['Ahr, Krath and Co.']",True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Denver Chemical Mfg. Co.,True,False,False,False,False,False,['Denver Chemical Mfg. Co. G.m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Dewey & Almy Chemical Co.,False,True,False,False,True,False,,,,,,"['Dartex, A.G.']",[''],True,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,['Dartex Aktiengesellschaft für Kautschuk-Verarbeitung'],
58,Dietaphone Corporation,True,False,False,False,False,False,['Dietaphone Co. m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,E. F. Houghton & Company,True,False,False,False,False,False,"['Deutsche Houghton Fabrik, K. G.', 'Houghton Deutsche Fabrik K.G.']",True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,E.I. du Pont de Nemours and Company,True,True,True,True,True,True,['Duco Aktiengesellschaft'],False,False,True,False,[''],[''],False,False,False,False,False,False,False,True,[''],[''],True,False,False,False,False,False,False,False,"['Duco A. G.', 'Dynamit A. G.', 'Deutsche Gold und Silber Scheideanstalt', 'I. G. Farbenindutrie']","['Duco AG', 'Dynamit-Act.-Ges. vormals Alfred Nobel & Co.', '', '']",True,True,True,False,False,False,False,True,['Dynamit-Act.-Ges. vormals Alfred Nobel & Co.'],['Dynamit-Actien-Gesellschaft vormals Alfred Nobel & Co.']
61,Eastman Kodak Company,True,True,True,True,True,False,['Kodak Aktiengesellschaft'],False,False,True,False,"['Chemische Werke Odin (Germany)', 'Kodak Aktiengesellschaft (Germany) ']","['Chemische Werke Odin (Germany)', '']",True,False,True,True,False,False,False,False,"['Kodak Gesellschaft m. b. H.', 'Kodak Aktiengesellschaft', 'Chemische Werke Odin (Germany)']","['Kodak Gesellschaft m. b. H.', '', 'Chemische Werke Odin (Germany)']",True,False,True,True,False,True,False,False,['Kodak A. G.'],['Kodak Aktiengesellschaft'],True,False,True,False,False,False,False,False,['Kodak Aktiengesellschaft'],
62,Eberhard Faber Pencil Company,True,False,False,False,False,False,['Eberhard Faber Kommanditgesellschaft'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Edward G. Budd Manufacturing Company,True,False,False,True,False,False,"['A. B. P. Gefolgschoftsheime, G.m.b.H.', 'Ambi-Budd Presswerk, G.m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,['Ambi -Budd Presswerk G.m.b.H. '],"['Ambi-Budd Presswerk, G.m.b.H.']",True,False,False,True,False,False,False,False,,
64,"Eitingon Schild Co., Inc.",True,True,True,False,True,True,"['Ch. Eitingon, A.G.', 'Kurt Wachtel, A.G.']",False,False,True,False,"['Ch. Eitingon, AG. (Leipzig,Germany)', 'Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany)']","['', '']",True,False,True,False,False,False,False,False,"['Ch. Eitingon & Co., Leipzig', 'Kurt Wachtel A. G., Taucha, Leipzig']","['', '']",True,False,True,False,False,False,False,False,,,,,,,,,,,['Ch. Eitingon Aktiengesellschaft'],['Ch. Eitingon Aktiengesellschaft.']
65,Electric Boat Company,False,True,False,False,False,False,,,,,,[''],[''],False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
66,Emil Frei Inc.,True,False,False,False,False,False,['Emil Frei Art Glass Co.'],False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Emil Winter interests of Pittsburgh,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,['Oesterreische Magnesit A. G.'],['Oesterreische Magnesit A. G.'],True,False,True,False,False,False,False,False,,
68,Enziger Union Corp.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,['The ENZIGER UNION WERKE A. G.'],[''],False,False,False,False,False,False,True,False,,
69,Equitable Life Assurance Society of the United States,True,False,False,False,False,False,['Equitable Life Assurance Society of the United States'],False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Eugene Dietzgen Co.,True,False,False,False,False,False,"['Bayerische Reisseugfabrik A.G.', 'Siegfried-Caragen Gesellschaft fuer Kraftfahrzeuge, m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,F. W. Woolworth Co.,True,True,True,True,False,False,"['F. W. Woolworth Co.', 'F. W. Woolworth Co.']",False,True,True,False,"['F. W. Woolworth Co., G.m.b.H., Berlin, Germany']",['F. W. Woolworth Co.'],True,False,False,True,False,False,False,False,"['F. W. Woolworth Co. G. m. b. H., Berlin, Germany']",['F. W. Woolworth Co.'],True,False,False,True,False,False,False,False,['F. W. Woolworth Co. G.m.b.H.'],['F. W. Woolworth Co.'],True,False,False,True,False,False,False,False,,
72,Felt & Tarrant Mfg. Co.,True,False,False,False,False,False,['Comptometer G.m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Fisk Rubber Co.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,['Fisk Tyre Co. m.b.H.'],['Fisk Tyre Co. m.b.H.'],True,False,False,True,False,False,False,False,,
74,Ford Motor Company,True,True,True,True,True,True,"['Ford Werke A.G.', 'Ford Werke A.G.']",False,False,True,False,[''],[''],True,False,False,False,False,False,False,False,[''],[''],True,False,False,False,True,True,False,False,"['Ford Motor Co. A. G.', 'Credit A. G. für Fordfahrzeuge']","['Ford-Werke AG', 'Credit Aktiengesellschaft für Ford-Fahrzeuge.']",True,False,True,False,False,True,False,False,['Ford Motor Company Aktiengesellschaft'],['Ford Motor Company Aktiengesellschaft. ']
75,"Foreign Investments, Incorporated",True,False,False,False,False,False,['Stanley Works'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Fownes Brothers & Co., Inc.",False,False,True,False,False,False,,,,,,,,,,,,,,,,[''],[''],False,False,False,False,False,True,False,False,,,,,,,,,,,,
77,"G. Hirsch Sons, Inc.",True,False,False,False,False,False,"['G. Hirsch & Sohn, G.m.b.H. Nuremberg, Germany']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,General American Tank Car Corp ,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Allgemeine Transportmittel Finanzierungs AG'],['Allgemeine Transportmittel Aktiengesellschaft.']
79,General American Transportation Corporation,False,False,True,True,False,False,,,,,,,,,,,,,,,,['Allgemeine Transportmittel Aktiengesellschaft'],[''],True,False,True,False,False,False,False,False,['Allgemeine Transportmittel Finanzierungs A.G.'],['Allgemeine Transportmittel Aktiengesellschaft'],True,False,True,False,False,False,False,False,,
80,General Motors Acceptance Corporation,True,True,True,False,False,False,['Allgemeine Finanzierungs Gesellschaft m.b.H.'],False,False,True,False,['Continental and Allgemeine Finanzierungs-G. m. b. H.'],['Allgemeine Finanzierungs Gesellschaft m.b.H.'],True,False,False,True,False,False,False,False,['Continental Allgemeine Finanzierungs-Gesellschaft m. b. H.'],['Allgemeine Finanzierungs Gesellschaft m.b.H.'],True,False,False,True,False,False,False,False,,,,,,,,,,,,
81,General Motors Corporation (Overseas Operations),True,True,True,True,True,True,"['Adam Opel Aktiengsellschaft', 'Frigidaire G.m.b.H.', 'Gemeinnutsige Opel - Wohnban - G.m.b.H.', 'General Motors G.m.b.H.', 'Opel Automobil Versicherungs A.G.']",False,False,True,False,['Adam Opel A.G.'],[''],True,False,True,False,False,False,False,False,['Adam Opel A.G.'],[''],True,False,True,False,False,False,False,False,"['Adam Opel A.G.', 'Opel Automobilversicherungs A.G.', 'Continentale Gummiwerke A.G.', 'Frigidaire G.m.b.H.']","['Adam Opel Aktiengesellschaft', 'Opel Automobil Versicherungs AG', 'Continentale Gummiwerke A.G. ', 'Frigidaire G.m.b.H.']",True,True,True,True,False,False,False,False,"['Adam Opel Aktiengesellschaft', 'Eduard Winter Akt.-Ges. für Kraftfahrzeuge']",['Adam Opel Aktiengesellschaft.']
82,German-American Tobacco Co.,False,False,True,False,False,False,,,,,,,,,,,,,,,,[''],[''],False,False,False,False,False,False,False,False,,,,,,,,,,,,
83,Gillette Safety Rasor Company,True,False,False,True,False,False,"['Gillette Safety Rasor Company, G.m.b.H.', 'Metallwarenvertrieb G.m.b.H.', 'Roth-Buchner, G.m.b.H.', 'Zoellner Werke G.m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,"['Roth Buchner G.m.b.H.', 'Gillette Safety Razor Co. G.m.b.H.']","['Roth-Buchner, G.m.b.H.', 'Gillette Safety Rasor Company, G.m.b.H.']",True,False,False,True,False,False,False,False,,
84,Globe Steel Tubes Company,False,False,True,False,False,False,,,,,,,,,,,,,,,,['None'],[''],False,False,False,False,False,False,False,False,,,,,,,,,,,,
85,Guardian Life Insurance Co. of America,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Zukunft Lebensversicherungsbank Aktiengesellschaft.']
86,Gulf Oil Corporation,True,True,True,False,False,False,['Maschinenoel Import Gesellschaft m.b.H.'],False,False,True,False,['Nobel-Good-Group'],['Nobel-Good-Group'],True,False,False,True,False,False,False,False,[''],[''],False,False,False,False,False,False,False,False,,,,,,,,,,,,
87,"Harris, Forbes & Co.",False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Berliner Kraft- und Licht-Aktiengesellschaft'],"['Berliner Kraft- und Licht-Aktiengesellschaft.', 'Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.', 'Berliner Städtische Elektrizitätswerke Akt.-Ges. (BEWAG).']"
88,Haskins & Sells,True,False,False,False,False,False,['Haskins & Sells Revision-Gesellschaft m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Hazeltine Corp.,False,False,True,False,False,False,,,,,,,,,,,,,,,,['D. S. Loewe Radio A.G. of Berlin (Germany) '],[''],False,False,False,False,False,False,False,True,,,,,,,,,,,,
90,Heyden Chemical Corp.,False,True,True,False,False,False,,,,,,[''],[''],False,False,False,False,False,False,False,True,['Chemische Fabrik Von Heyden of Germany'],[''],False,False,False,False,False,False,False,True,,,,,,,,,,,,
91,"Heyden Chemical Corporation, New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"['The Chemische Fabrik von Heyden, A. G., Radebeul bei Dresden']",[''],False,False,False,False,False,False,True,False,,
92,Hudson Motor Car Company,True,False,False,False,False,False,"['Hudson Esser Motors Company M.H.', 'Frederick Wirth & Company G.m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Hugo Stinnes Corporation,True,True,True,True,False,False,"['Eisenlager G.m.b.H.', 'Freidreichstrasse, 12, G.m.b.H.', 'Fuerstenhof Carlton Hotel, A.G.', 'Gew. Lintorfer Erzbergwerke', 'Gew. Lintorfer Erzbergwerke', 'Hamburger Hof A.G.', 'Hotel Atlantic A.G.', 'Hotel Atlantic A.G.', 'Industrie lackwerke A.G.', 'Rudolf Mueller & Soehne G.m.b.H.', 'Nassauer Hof A.G. (Hotel Nassau)', '(Hotel Nassau) Nassauer Hof A.G.', 'Norddeutsche Oelmuehlenwerke A.G.', 'Rastatter Eisenhandel G.m.b.H.']",False,False,True,False,[''],[''],True,False,False,False,False,True,False,False,[''],[''],True,False,False,False,False,True,False,False,[''],[''],False,False,False,False,False,False,False,False,,
94,"Hugo Stinnes Industries, Inc.",True,True,True,True,False,False,"['Anker Kohlen & Brikettwerke G.m.b.H.', 'Artus Hanse Transport G.m.b.H.', 'Bernauer & Co.', 'Bernhoeft & Wilde', 'H. B. Blumenthal', 'Born, Mehring & Co, G.m.b.H.', 'Cehapon Werk G.m.b.H.', 'Paul Dorff A.G.', 'Dumont', 'Eisenhof G.m.b.H.', 'Fraenkischer Metallhandel G.m.b.H.', 'Fr. Wwe. Wesseling G.m.b.H.', 'Freidreichstrasse, 12, G.m.b.H.', 'Fuhr-Betrieb G.m.b.H.', 'Gebrueder Boewen G.m.b.H.', 'Gebrueder Born G.m.b.H.', 'Gebrueder Hein G.m.b.H.', 'Gewerkschaft Carolus Magnus', 'Gewerkschaft Diergardt-Mevissen', 'Gewerkschaft Mathias Stinnes', 'Gew. Selbecker Bergwerks Verein', 'Gew. Selbecker Bergwerks Verein', 'Glaswerke Ruhr A.G.', 'H. W. Heidman', 'Holm & Molzen G.m.b.H.', 'Hugo Stinnes G.m.b.H.', 'Hugo Stinnes G.m.b.H.', 'Hugo Stinnes Reederei A.G.', 'Hugo Stinnes Reederei A.G.', 'Ivers & Company', 'Jacob Trefz & Soehne', 'Kaehler', 'Kohlen Import & Poseidon A.G.', 'Kohlen Import & Poseidon A.G.', 'Kohleverkauf Ludwig Jung G.m.b.H.', 'Koenigsberger Kohlen & Koks G.m.b.H.', 'Kristall Glaswerk A.G.', 'Mathias Stinnes G.m.b.H.', 'Johann Lorenz Michel G.m.b.H.', 'Midgard Deutsche See Verkehrs A.G.', 'Midgard Deutsche Seeverkehrs A.G.', 'Muelberger & Co. G.m.b.H.', 'Muelheimer Bergwerks Verein A.G.', 'Nuernberger Kohlenhandles G.m.b.H.', 'Oberrheinische Kohlenvertretung', 'Piehl & Pehling', 'M. Rast & Sohn G.m.b.H.', 'Suedwest A.G.', 'Vereinigte Berliner Kohlenhandel A.G.', 'Welheim Kohlenhandel G.m.b.H.', 'H. Westphal & Co.']",False,True,True,False,"['Hugo Stinnes G. m. b. H.', 'Rheinische-Westfaelische Bergwerks Gesellschaft']","['Hugo Stinnes G.m.b.H.', 'Rheinische-Westfaelische Bergwerks Gesellschaft']",True,False,False,True,False,True,False,False,"['Hugo Stinnes G. m. b. H.', 'Gewerkschaft Mathias Stinnes']","['Hugo Stinnes G.m.b.H.', 'Mathias Stinnes G.m.b.H.']",True,False,False,True,False,False,False,False,"['Hugo Stinnes G.m.b.H.', 'Gewerkschaft Mathias Stinnes', 'Mühlheimer Bergwerksverein', 'Rheinisch -Westfälische Bergwerksgesellschaft m.b.H. ']","['Hugo Stinnes G.m.b.H.', 'Mathias Stinnes G.m.b.H.', 'Mühlheimer Bergwerksverein', 'Rheinische-Westfaelische Bergwerks Gesellschaft']",True,True,True,True,False,False,False,False,,
95,I. B. Kleinert Rubbert Company,True,True,True,False,False,False,"['Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung']",False,False,True,False,['I. B. Kleinert Rubber Co. G.m.b.H.'],"['Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung']",True,False,False,True,False,False,False,False,['I. B. Kleinert Rubber Co. G. m. b. H. (formerly Hanseatische Rubber Co. of Hambaurg)'],"['Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung']",True,False,False,True,False,False,False,False,,,,,,,,,,,,
96,International Affiliated Corporation,True,False,False,False,False,False,"['Godecke & Co. Chemische Fabrik A.G.', 'Godecke & Co. Chemische Fabrik und Export A.G.', 'Richard Hudnut G.m.b.H.', 'Lohse, Gustave A.G.', 'W. R. Warner & Co. G.m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,International Agricultural Corporation,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,['Kaliwerke Sollstedt Gewerkschaft'],['Kaliwerke Sollstedt Gewerkschaft'],True,False,False,True,False,False,False,False,,
98,International Business Machine Corp.,True,True,False,True,False,False,"['Deutsche Hollerith Maschinen Gesellschaft, m.b.H.']",False,False,True,False,"['Optima-Maschinenfabrik, A.-G.', 'Deutsche Hollerith Maschinen Gesellschaft, m.b.H.', 'Deutsche Geschaftmaschinen Gesellschaft, m.b.H.']","['', 'Deutsche Hollerith Maschinen Gesellschaft, m.b.H.', 'Deutsche Geschaftmaschinen Gesellschaft, m.b.H.']",True,False,True,True,False,False,False,False,,,,,,,,,,,['NA'],[''],False,False,False,False,False,True,False,False,,
99,International Finance Company,True,False,False,False,False,False,"['Gluckskles Import and Export Gesellschaft m.b.H.', 'Gluckskles Michgesellschaft m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,International General Electric Company Inc.,True,True,True,True,True,True,['Osram G.m.b.H. Kommanditgesellschaft'],True,False,False,False,"['Allgemeine Elektricitäts Gesellschaft, Berlin, Germany (35%); Osram G.m.b.H. Kommanditgesellschaft', 'Siemens & Halske Aktiengesellschaft']","['', '']",False,True,False,False,False,False,False,False,"['Allgemeine Elektricitaets-Gesellschaft (German General Electric Co.)', 'Siemens & Halske, A.G.', 'Allgemeine Elektricitäts Gesellschaft, Berlin, Germany; Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany', 'Osram G.m.b.H. Kommanditgesellschaft, Berlin, Germany']","['', '', '', '']",True,True,True,False,True,True,False,False,"['Allgemeine Elektrizitäts Gesellschaft', 'Osram', 'Siemens & Halske', 'Julius Pintsch A. G.']","['Allgemeine Elektricitäts-Gesellschaft', '', '', 'Julius Pintsch, Aktiengesellschaft']",True,True,True,False,False,False,False,True,"['Allgemeine Elektricitäts-Gesellschaft', 'Kohlenveredlung und Schwelwerke Aktiengesellschaft']",['Allgemeine Elektricitäts-Gesellschaft.']
101,International Harvester Company,True,True,True,True,False,False,"['International Harvester Company, m.b.H.']",False,False,True,False,['International Harvester Co. m. b. H. '],"['International Harvester Company, m.b.H.']",True,False,False,True,False,False,False,False,['International Harvester G. m. b. H. (Germany)'],"['International Harvester Company, m.b.H.']",True,False,False,True,False,False,False,False,['International Harvester Co. GmbH'],"['International Harvester Company, m.b.H.']",True,False,False,True,False,True,False,False,,
102,International Harvester Export Co.,True,False,False,False,False,False,"['International Harvester Company, m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,International Mercantile Marine Co.,False,False,True,False,False,False,,,,,,,,,,,,,,,,[''],[''],False,False,False,False,False,True,False,False,,,,,,,,,,,,
104,International Mortgage & Investment Corporation c/o Alien Property Custodian,True,False,False,False,False,False,['International Mortgage & Investment Corporation'],False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"International Patent Corporation, Maryland",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,['Vereinigte Aluminiumwerke A. G.'],[''],False,False,False,False,False,False,True,False,,
106,International Securities Company,True,False,False,False,False,False,['Singer Nahmaschinen Aktiengesellschaft'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,International Standard Electric Corp.,True,False,False,True,False,False,"['Lorenz, C. A.G.', 'Standard Elektrizitats Ges., A.G.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,"['Dr. Erich Huth G.m.b.H.', 'Vereinigte Bayerische Telephonwerke A.G.', 'Standard Telephon & Radio A.G.', 'Belton AG.']","['Dr. Erich F. Huth G.m.b.H.', 'Vereinigte Bayerische Telephonwerke AG', 'Standard Telephon & Radio A.G.', 'Belton A.G.']",True,True,True,True,False,False,False,False,,
108,International Telephone and Telegraph Corp.,True,False,False,True,True,True,"['Baruta Import and Export, GmbH', 'Baruta Import and Export, GmbH', 'Berliner Telephonie Aktiengesellschaft', 'Ferdinand Schuchhardt Berliner Fernsprech- und Telegraphenwerk Aktiengesellschaft', 'Gesellschaft Fur Telephon-und Telegraphenbeteilungen m.b.H.', 'Dr. Erich F. Huth G.m.b.H.', 'Lorenz, C. A.G.', 'Lorenz Radio Vertriebe G.m.b.H.', 'Ludwig Sudicates G.m.b.H.', 'Ludwig Sudicatis G.m.b.H.', 'Mix & Genest Aktiengesellschaft', 'Mix & Genest Hansawerke , G.m.b.H.', 'Rohr & Seilpost Anlagen, G.m.b.H.', 'Standard Elektrizitats Ges., A.G.', 'Suddeutsche Apparatefabrik Gesellschaft m.b.H.', 'Tefag Radio Vertriebs G.m.b.H.', 'Telephonfabrik Berliner A.G.', 'Telmo Telephon und Telegraphen Gesellschaft m.b.H.', 'Vereinigte Bayerische Telephonwerke Aktiengesellschaft', '""Volta"" Telephon & Signalbau G.m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,"['Standard Elektrizitäts Gesellschaft', 'Mix & Genest', 'Berliner Telephonie', 'Mix & Genest Hansawerke G.m.b.H.', 'Rohr & Seilpostanlagen G.m.b.H.', 'Telmo Telephon & Telegraph G.m.b.H.', 'Volta Telephon & Signalbau G.m.b.H.', 'Emge-Union Oesterreichische Telephonwerke A.G.', 'Ferd. Schuchardt A.G.', 'Süddeutsche Apparate Fabrik G.m.b.H.', 'Telephonfabrik Berliner A.G. ', 'NV Nederlandse Telephonfabrik Berliner', 'Ludwig Sudicatis G.m.b.H. ', 'Vereinigte Telephon & Telegraph A.G. Czeija Nissl', 'C. Lorenz A.G.', 'Lorenz Radio Vertriebs G.m.b.H.', 'Tefag Radio Vertriebs G.m.b.H.', 'Gesellschaft für Telephon und Telegraphenbeteiligungen G.m.b.H.', 'Creed Telegraph Apparate G.m.b.H.']","['', 'Mix & Genest AG', 'Berliner Telephonie AG', 'Mix & Genest Hansawerke , G.m.b.H.', 'Rohr & Seilpost Anlagen, G.m.b.H.', 'Telmo Telephon und Telegraphen Gesellschaft m.b.H.', '""Volta"" Telephon & Signalbau G.m.b.H.', 'Emge-Union Oesterreichische Telephonwerke A.G.', 'Ferd. Schuchardt A.G.', 'Suddeutsche Apparatefabrik Gesellschaft m.b.H.', 'Telephonfabrik Berliner AG', '', 'Ludwig Sudicates G.m.b.H.', '', 'C. Lorenz AG', 'Lorenz Radio Vertriebe G.m.b.H.', 'Tefag Radio Vertriebs G.m.b.H.', 'Gesellschaft für Telephon und Telegraphenbeteiligungen G.m.b.H.', 'Creed Telegraph Apparate G.m.b.H.']",True,True,True,True,False,False,False,False,"['C. Lorenz Aktiengesellschaft', 'Mix & Genest Aktiengesellschaft', 'Standard Elektrizitäts-Gesellschaft Aktiengesellschaft (S.E.G.)']","['Mix & Genest Aktiengesellschaft. ', 'C. Lorenz Aktiengesellschaft, Telephon- und Telegraphen-Werke, Eisenbahnsignal-Bauanstalt.']"
