,Master US firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,in HB 32,in HB 34,affiliated German firms,type_Partnership,type_branch,type_ownership,type_unknown,affiliated German firm name_moodys32,Master German firm name_moodys32,mentions a subsidiary_moodys32,mentions stock ownership_moodys32,subsidiary is AG_moodys32,subsidiary is GmbH_moodys32,mentions an affilated company_moodys32,mentions a plant/office/branch_moodys32,is a subsidiary of a German firm_moodys32,other types of agreement_moodys32,affiliated German firm name_moodys34,Master German firm name_moodys34,mentions a subsidiary_moodys34,mentions stock ownership_moodys34,subsidiary is AG_moodys34,subsidiary is GmbH_moodys34,mentions an affilated company_moodys34,mentions a plant/office/branch_moodys34,is a subsidiary of a German firm_moodys34,other types of agreement_moodys34,affiliated German firm name,Master German firm name,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affilated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement,HB 1932 affiliated German firm name,HB 1934 affiliated German firm name
251,Underwood Elliott Fisher Company,True,True,True,True,True,True,"['Adrema Maschinenebau G.m.b.H.', 'Deutsche Underwood Elliott Fisher G.m.b.H.', 'Deutsche Underwood Elliott Fisher G.m.b.H.', 'Iris Type G.m.b.H.', 'Mercedes Buromaschinen Werke A.G.']",False,False,True,False,"['Mercedes Buromaschinen-Werke A.G. of Zella-Mehlis, Thuringen']",[''],False,True,True,False,False,False,False,True,"['Mercedes Buromaschinen Werke A. G. of Zella-Mehlis, Thuringen Germany']",[''],False,True,True,False,False,False,False,False,"['Mercedes Büromaschinen-Werke A. G.', 'Adrema Maschinenbau G.m.b.H.', 'Iris Type G.m.b.H.']","['Mercedes Buromaschinen Werke AG', 'Adrema Maschinenebau G.m.b.H.', 'Iris Type G.m.b.H.']",True,True,True,False,False,False,False,True,"['Mercedes Büromaschinen-Werke Aktiengesellschaft,']",['Mercedes Büromaschinen-Werke Aktiengesellschaft.']
252,Union Banking Corp. Cornelis Lievense,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['August Thyssen-Bank Akt.-Ges.'],
253,Union Special Machine Co.,True,False,False,False,False,False,"['Union Special Maschinenfabrik G.m.b.H.', 'Union Special Maschinenfabrik G.m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,United American Bosch Corporation,False,True,True,False,False,False,,,,,,"['Robert Bosch A.G., Stuttgart, Germany']",[''],False,False,False,False,False,False,True,False,"['Robert Bosch, A. G.']",[''],False,False,False,False,False,False,False,True,,,,,,,,,,,,
255,United Continental Corporation,True,False,False,False,False,False,"['""Rustica"" A.G. fuer Grunderwerb', 'Verkehrs & Handels Aktiengesellschaft', 'Verkehrs & Handels Aktiengesellschaft']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,United Fruit Company,True,False,False,False,False,False,"['Unida Schiffstreuhand, G.m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,United Press Associations,True,False,False,False,False,False,"['United Press Associations', 'United Press (Deutschland) G.m.b.H.']",False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,United Shoe Machinery Corporation,True,False,False,False,False,False,"['Boston Blacking Company G.m.b.H.', 'Deutsche Vereinigte Schuhmaschinen Gesellschaft', 'Maschinenfabrik Turner Aktien-Gesellschaft']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,United States Hoffman Machinery Corporation,True,False,True,True,False,False,['Hoffman Bugelmaschinen Gesellschaft m.b.H.'],False,False,True,False,,,,,,,,,,,"['Hoffman Bugelmaschinen Gesellschaft, berlin']",['Hoffman Bugelmaschinen Gesellschaft m.b.H.'],True,False,False,True,False,False,False,False,['Hoffman Bügelmaschinen G.m.b.H.'],['Hoffman Bugelmaschinen Gesellschaft m.b.H.'],True,False,False,True,False,False,False,False,,
260,"United States Lines Operations, Inc.",True,False,False,False,False,False,"['United States Lines Operations, Inc.']",False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,United States Steel Corporation,False,True,False,False,False,False,,,,,,"['Fried. Krupp, A. G., Germany']",[''],False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,
262,"United Statess Lines, Co.",True,False,True,False,False,False,"['Rosskai, G.m.b.H.']",False,False,True,False,,,,,,,,,,,['None'],[''],False,False,False,False,False,False,False,False,,,,,,,,,,,,
263,"Universal Picture Co., Inc.",True,False,True,True,False,False,"['Deutsche Universal Film, A.G.']",False,False,True,False,,,,,,,,,,,"['Deutsche Universal Film, A.G.']",[''],True,False,True,False,False,False,False,False,['Deutsche Universalfilm A.G.'],"['Deutsche Universal Film, A.G.']",True,False,True,False,False,False,False,False,,
264,Valvoline Oil Co.,False,False,True,False,False,False,,,,,,,,,,,,,,,,[''],[''],False,False,False,False,False,True,False,False,,,,,,,,,,,,
265,"W. A. Harriman & Co., Inc., New York.",False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Deutsch-Atlantische Telegraphengesellschaft'],"['Vereinigte Königs- und Laurahütte, Actien-Gesellschaft für Bergbau und Hüttenbetrieb.']"
266,"W. A. Harriman & Co., New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"['Silesian Holding Co.', 'Silesian American Corporation']","['Silesian Holding Co.', 'Silesian American Corporation']",True,False,False,False,False,False,False,False,,
267,Walter Kidde & Company,True,False,False,False,False,False,['Walter Kidde G.m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Warner Bros,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tobis Tonbild-Syndikat Aktiengesellschaft'],
269,Watch Tower Bible & Tract Society,True,False,False,False,False,False,['Watch Tower Bible & Tract Society (Wachtturn Bibel- und Traktat-Gesellschaft)'],False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Waterman Steamship,True,False,False,False,False,False,['Waterman Linien (Vertretung Bremen) G.m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Western Electric Export Corporation,True,False,False,False,False,False,['Western Electric G.m.b.H.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Westhold Corporation,True,False,False,False,False,False,['Ota Schlesische Schurwerke Ottmuth A.G.'],False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Westinghouse Electric International Co.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,['Siemens -Schuckertwerke A. G.'],[''],False,False,False,False,False,False,False,True,,
274,"William R. Warner & Co., Inc.",True,False,False,False,False,False,"['Godecke & Co. Chemische Fabrik A.G.', 'Godecke & Co. Chemische Fabrik und Export A.G.', 'Warner, W.R. and Co. G.m.b.H.']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,William Rhodes Davis,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"['Europäische Tanklager und Transport A.G.', '""Debag” Betriebstoff A.G.']","['Europäische Tanklager und Transport AG', '""Debag"" Betriebstoff A.G.']",True,False,True,False,False,False,False,False,,
276,Witroth Corporation,True,False,False,False,False,False,"['Oppelener Lagerhaus Gesellschaft', 'Ostrhederei']",False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Wm. Wrigley Jr. Company,False,False,True,True,True,True,,,,,,,,,,,,,,,,['Wrigley A.G.'],[''],True,False,True,False,False,True,False,False,['Wrigley A. G.'],[''],False,False,True,False,False,False,False,False,['Wrigley Aktiengesellschaft'],['Wrigley Aktiengesellschaft.']
278,Worthington Pump and Machinery Corp.,True,True,True,True,False,False,['Deutsche Worthington Gesellschaft m.b.H.'],False,False,True,False,"['Worthington Pumpen und Machinenbau Gesellschaft m.b.H., Germany']",['Deutsche Worthington Gesellschaft m.b.H.'],True,False,False,True,False,False,False,False,"['Deustche Worthington Gesellschaft, m.b.H., germany']",['Deutsche Worthington Gesellschaft m.b.H.'],True,False,False,True,False,False,False,False,['Deutsche Worthington G.m.b.H.'],['Deutsche Worthington Gesellschaft m.b.H.'],True,False,False,True,False,False,False,False,,
