,Master US firm name,TFR-500,Moodys 32,Moodys 34
144,Robert W. Hunt Company,True,False,False
145,Royal Baking Powder Company,False,True,True
146,"Royal Typewriter Company, Inc.",True,True,True
147,S O. Realizatio Co. Inc.,False,False,True
148,Schilling Estate Company,True,False,False
149,Schoonmaker-Scott Company,True,False,False
150,Seabrook International Engineering Corp.,False,False,True
151,Seiberling Rubber Co.,False,True,False
152,Signode International Limited,True,False,False
153,Signode Steel Strapping Co.,True,True,True
154,Silesian-American Corporation,False,True,True
155,Singer Mfg. Co.,True,False,False
156,"Socony-Vacuum Oil Company, Inc.",True,False,False
157,Spirella International Incorporated,True,False,False
158,St. Andrews Bay Lumber Co.,False,False,True
159,St. Regis Paper Co.,True,False,False
160,"Standard Commercial Tobacco Co., Inc.",True,True,False
161,Standard Oil Company (Indiana),False,True,False
162,Standard Oil Company (New Jersey),True,True,True
163,Stauffer Chemical Co.,True,False,False
164,Steinway & Sons,True,False,False
165,Submarine Signal Co.,True,False,False
166,Swift & Company,True,False,False
167,Swift and Company (Illinois),True,False,False
168,"Swiss ""Borvisk"" Company",True,False,False
169,The ARMCO International Corporation,True,False,False
170,"The American Express company, Incorporated.",True,False,False
171,The American Laundry Maschinery Co.,True,False,False
172,The Atlantic Refining Company,True,False,True
173,The Babcock & Wilcox Company,True,False,False
174,The Brecht Corporation,True,False,False
175,"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",True,False,False
176,"The Coca-Cola Export Corporation (101 W. 10th Street Wilmington, Delaware)",True,False,False
177,The Deimel Linen-Mesh System Company,True,False,False
178,The Dentists' Supply Co. of New York,True,False,False
179,The Dorr Co.,True,False,False
180,The Durer Corporation,True,False,False
181,The Fairbanks Company,True,False,False
182,The Forak Company,True,False,False
183,The Goodyear Tire & Rubber Company,False,False,True
184,The Guardian Life Insurance Company of America,True,False,False
185,The Hobart Manufacturing Company,True,True,True
186,The Hoover Co.,True,False,False
187,The International Button Hole Sewing Machine Company,True,True,True
188,"The International Nickel Company, Inc.",True,False,False
189,The Lambert Company,False,False,True
190,The May Department Store Co.,False,False,True
191,The Melltone Corporation,True,False,False
192,The National Cash Register Company,True,False,True
193,The North American Provision Company,False,False,True
194,The Permutit Company,True,False,False
195,The Pfaudler Co.,True,True,True
196,The Pure Oil Company,True,False,False
197,"The Scholl Mfg. Co., Inc.",True,False,False
198,The Silica Gel Corporation,False,True,True
199,The Stanley Works,True,True,False
200,The Timken Roller Bearing Company,False,True,True
201,The Torrington Company,True,True,True
202,The Westinghouse Air Brake Company,True,False,False
203,The Willys-Overland Company,False,True,True
204,The Yale & Towne Manufacturing Company,True,True,True
205,Tide Water Associated Oil Co.,True,False,True
206,"Titan Company, Inc.",True,False,False
207,Titeflex Metal Hose Co.,True,False,False
208,Tobe Deutschmann Corp.,False,False,True
209,Trubenizing Process Corporation,True,False,False
210,Turner tanning Machinery Co.,False,True,False
211,Twentieth Century-Fox Film Corp.,True,True,True
212,Underwood Elliott Fisher Company,True,True,True
213,Union Special Machine Co.,True,False,False
214,United American Bosch Corporation,False,True,True
