US Company,TFR-500,Tenenbaum,Moodys 32,Moodys 34,HB 32,HB 34,HB GmbH
"International Patent Corporation, Maryland",False,True,False,False,False,False,False
International Securities Company,True,False,False,False,False,False,False
International Standard Electric Corp.,True,True,False,False,False,False,False
International Telephone and Telegraph Corp.,True,True,False,False,True,True,False
Intertype Corporation,True,False,True,True,False,False,False
J. E. Bernard & Co. Inc.,True,False,False,False,False,False,False
Jadev Corporation,True,False,False,False,False,False,False
Johnson & Son. St. Louis,False,True,False,False,False,False,False
Jones (J. Edward) Royalty Trust,False,False,False,True,False,False,False
Julius Kayser & Company,False,True,True,True,False,False,False
Koenig Medicine Co.,True,False,False,False,False,False,False
Kraft Cheese Company,True,True,False,False,False,False,True
Kupfer Bros. Co. Inc.,True,False,False,False,False,False,False
L. C. Smith & Corona Typewriters Inc.,True,False,True,True,False,False,False
Lehn & Pink Products Corporation,True,False,False,True,False,False,False
"Lentheric, Incorporated",True,False,False,False,False,False,False
Libbey-Owens-Ford Glass Company,False,True,True,True,False,False,False
"Libby, McNeill & Libby",True,False,False,False,False,False,False
Ligget & Myers Tobacco Co.,False,True,False,False,False,False,False
"Lingner Corporation, New York",False,True,False,False,False,False,False
Loew's Incorporated,True,False,False,False,True,False,False
Lohn & Fink Products Corporation,True,False,False,False,False,False,False
"Lykes Bros. Steamship Co., Inc.",True,False,False,False,False,False,False
Magdalena Syndicate,True,False,True,False,True,False,False
Markt & Co. Inc.,True,False,False,False,False,False,False
Markt & Hammacher Co.,True,False,False,True,False,False,False
"Mccann-Erickson, Inc.",True,False,False,False,False,False,False
Mergenthaler Linotype Company,True,True,True,True,False,False,False
Metal and Thermit Corp.,False,True,False,False,False,False,False
Metallic Products Corp. c/o US Corp. Co.,True,False,False,False,False,False,False
Metals Coating Company of America,False,False,False,False,True,True,False
Metro-Goldwyn-Mayer Pictures Corporation,False,True,False,False,False,False,False
Moto Meter Gauge & Equipment Corp.,False,False,True,True,False,False,False
National Lead Company,True,True,True,True,False,False,False
"New England Industries, Inc.",True,False,False,False,False,False,False
"New Jersey Industries, Inc.",True,False,False,False,False,False,False
New York Shipbuilding Corporation,False,False,True,True,False,False,False
"North American Rayon Corporation, Tenessee",False,True,False,False,False,False,False
North European Oil Corp.,True,False,True,True,False,False,False
Northeastern Insurance Company of Hartford,True,False,False,False,False,False,False
Norton Company,True,True,True,True,False,False,False
O-Cedar Corporation,False,False,False,False,False,False,True
Oliver United Filters Inc.,False,False,True,False,False,False,False
Oppenheimer (S.) & Company,False,False,False,False,False,False,True
Oppenheimer Casing Co. Del.,True,False,False,False,False,False,False
"Ore & Chemical Corporation, New York",False,True,False,False,False,False,False
Otis Elevator Company,True,True,False,True,False,False,False
Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),False,True,True,True,False,False,False
Pan Foreign Corporation,True,False,False,False,False,False,False
"Paramount Pictures, Inc.",True,False,True,True,True,True,False
Parker Pen Co.,False,False,True,True,False,False,True
"Peat, Marwick, Mitchell & Co. (General Partnership)",True,False,False,False,False,False,False
"Pembroke Chemical Co., Florida",False,True,False,False,False,False,False
Penton Publishing Co.,False,False,True,True,False,False,False
"Philip Morris & Co. Ltd., Inc.",True,False,False,False,False,False,True
Pitney-Bowes Postage Meter Co.,False,False,False,True,False,False,False
Pown Corporation,True,False,False,False,False,False,False
"Price, Waterhouse & Co.",True,False,False,False,False,False,False
Pueping (Fred) Leather Co.,False,False,True,False,False,False,False
Pure Oil Co.,True,True,False,False,False,False,False
Pyrene Minimax Corporation,False,True,False,False,False,False,False
Quaker Oats Co.,True,False,True,True,False,False,True
R. Schiffmann Co.,True,False,False,False,False,False,False
Radio Corporation of America,False,False,True,True,False,False,False
Radio-Keith-Orpheum Corporation (Controlled by Radio Corp. of America),False,False,True,True,False,False,False
Remington Rand Inc.,True,True,True,True,True,False,False
