firm_id,firmname,firmname_page,firmname_start_line,firmname_end_line,next_firmname_start_line
1,"Noten-, Kredit- u. Hypotheken-Banken, Treuhand- u. Finanzierungs- gesellschaften, Lombardgeschäfte,",197,1,2,4
2,Aktiengesellschaft für Bau- u. Zweeksparen,197,4,4,28
3,„Baudag“ Aktiengesellschaft für Baudarlehen und Hypothekenablösung,197,28,29,67
4,Norddeutsche Buchführungs- und Verwaltungs-Akt.-Ges.,198,67,67,101
5,Bayerische Braubank Aktiengesellschaft,198,101,101,135
6,Abwieklungsstelle der Zentrale der Deutschen Getreide- Kreditbanken Akt.-Ges. in Liqu.,199,135,136,141
7,"Akt.-Ges. für die Vermittlung von Hypotheken und Grundkredit, Frankfurt a. 0.",199,141,142,158
8,Aktiengesellschaft für Handels- und Industriekredit (Agfi),199,158,158,180
9,Allgemeine Deutsche Inkasso-Aktiengesellschaft,199,180,180,208
10,Bank für auswärtigen Handel Akt.-Ges.,200,208,208,284
11,Bank für Brau-Industrie,201,284,284,298
12,Name der Gesellschaft MN Bereii. Letzie Div.,201,298,298,322
13,"5.000 7, 7",201,322,322,508
14,Bank für Realbesitz Aktiengesellschaft,204,508,508,621
15,Bank für Technik Akt.-Ges.,205,621,621,646
16,Bau-Kredit-Aktiengesellschaft,206,646,646,692
17,"„Behak“ Beamten-, Handels- und Kreditbank Akt.-Ges.",206,692,692,719
18,Berlin-Zentrum Akt.-Ges. für industrielle Beteiligungen,207,719,719,738
19,Berliner Aktiengesellschaft für Vermögensverwaltung,207,738,738,766
20,Berliner Baubank-Akt.-Ges.,208,766,766,796
21,"Berliner Revisions-Aktiengesellschaft, Berlin",208,796,796,825
22,Brandenburgische Treuhand-Akt.-Ges.,208,825,825,842
23,Centro Akt.-Ges. für Handel u. Industrie,209,842,842,861
24,„Consulta“ Treuhand-Aktiengesellschaft,209,861,861,880
25,Danae Ges. für Creditgeschäfte Akt.-Ges. in Liqu.,209,880,880,901
26,Deutsch-Sehweizerische Bank A.-G. in Berlin.,210,901,901,903
27,Deutsche Bauernbank Akt.-Ges.,210,903,903,955
28,Deutsche Holzwirtschaftsbank Akt.-Ges.,210,955,955,1052
29,Deutsche Investment Aktiengesellschaft,212,1052,1052,1089
30,Deutsche Kredit- und Handelsgesellschaft,212,1089,1089,1141
31,Deutsche Landmannbank Aktiengesellschaft,213,1141,1141,1210
32,Deutsche Raiffeisenbank A.-G. in Liquidation,214,1210,1210,1313
33,Deutsche Treuhand- und Revisions-Aktiengesellschaft,215,1313,1313,1333
34,Deutschland Bauspar-Akt.-Ges. für Stadt u. Land,216,1333,1333,1380
35,Finanzierungsgesellschaft für Bauunternehmungen,216,1380,1380,1400
36,Finanzierungsgesellschaft für Landmaschinen A.-G.,217,1400,1400,1438
37,Garantie- und Kredit-Bank für den Osten Akt.-Ges.,217,1438,1438,1474
38,"Handels- und Warenkredit Aktiengesellsehaft in Liqu.,",218,1474,1474,1483
39,Heine’sche Vermögens-Verwaltung Aktiengesellschaft,218,1483,1483,1500
40,Hypotheken- u. Kommunalkredit-Aktiengesellschaft,218,1500,1500,1525
41,Industria-Treuhandverwaltung Akt.-Ges.,219,1525,1525,1545
42,Industrie und Export Aktien-Gesellschaft,219,1545,1545,1550
43,Industrielle Diskonto-Aktiengesellschaft (Indisk),219,1550,1550,1591
44,Industrielle Garantie Aktiengesellschaft,220,1591,1591,1608
45,Investa Aktiengesellschaft für Anlage und Verwaltung,220,1608,1608,1628
46,"Kino-Kredit- Aktiengesellschaft,",220,1628,1628,1654
47,"Kreditanstalt Deutscher Brauereien Akt.-Ges.,",221,1654,1654,1668
48,"Kreditanstalt für Industrie und Verkehrsmittel Akt.-Ges.,",221,1668,1668,1688
49,Kreditsehutz- und Treuhand-Aktiengesellschaft,221,1688,1688,1707
50,Kurmärkische Vermögensverwaltung Akt.-Ges.,221,1707,1707,1731
51,Liquidationskasse Aktiengesellschaft,222,1731,1731,1794
52,Maschinenbau-Treuhand-Akt.-Ges.,223,1794,1794,1809
53,Mercator Aktiengesellschaft für Finanz- u. Versicherungs-Wesen,223,1809,1810,1831
54,Neue Berliner Treuhand-Aktiengesellschaft,223,1831,1831,1849
55,Neue Deutsche Bau-Spar-Aktiengesellschaft in Liqu.,224,1849,1849,1867
56,Neuland Aktiengesellschaft in Liqu.,224,1867,1867,1936
57,Preussisches Leihhaus,225,1936,1936,1969
58,"Reichsbund-Bank Akt.-Ges., Vermögensverwaltungsstelle des Reichsbundes der höheren Beamten in Liqu., Berlin",225,1969,1970,2001
59,Reichsdeutsche Treuhand-Revision Aktiengesellschaft,226,2001,2001,2023
60,Rentenbrief-Akt.-Ges. der Deutschen Bauernvereine,226,2023,2023,2055
61,Rheinlandbank Aktiengesellschaft,227,2055,2055,2085
62,Treuhand-Aktiengesellschaft für Grundbesitz u. Industrie,227,2085,2085,2102
63,Treuhand-Aktiengesellschaft für Sachbesitz,227,2102,2102,2120
64,Verwaltungsgesellschaft für Fettindustrie Aktienges.,228,2120,2120,2137
65,Zipper & Co. Bankkommanditgesellschaft auf Aktien,228,2137,2137,2142
66,Zuckerkreditbank-Aktiengesellschaft,228,2142,2142,2249
67,Treuhand- und Revisionsaktiengesellschaft Bielefeld,230,2249,2249,2268
68,Deutsche Creditbauspar-Aktiengesellschaft,230,2268,2268,2294
69,"Hansabank Bonn, Akt.-Ges.",230,2294,2294,2317
70,Deutsch-Rumänische Bank A.-G. in Liqu.,231,2317,2317,2321
71,"Braunschweigischer Bankverein, K.-G. a. A. in Liqu.",231,2321,2321,2337
72,‘Bremer Volks- und Sparbank Akt.-Ges.,231,2337,2337,2357
73,Koamalu Verwaltungs- Aktiengesellschaft,231,2357,2357,2374
74,Norddeutsche Treuhand-Verwaltung Aktiengesellschaft,232,2374,2374,2395
75,Bremer Bank-Verein Akt.-Ges.,232,2395,2395,2412
76,Internationale Patent-Verwertungs-Aktiengesellschaft,232,2412,2412,2432
77,Bankhaus 8. Bielschowsky Akt.-Ges.,232,2432,2432,2458
78,Gieschebank Akt.-Ges.,233,2458,2458,2482
79,Hansa-Bank Schlesien Aktiengesellschaft,233,2482,2482,2525
80,Schlesische Treuhand- u. Vermögens - Verwalt.- Act.-Ges.,234,2525,2525,2554
81,Chemnitzer Landbank Akt.-Ges.,234,2554,2554,2590
82,Cochemer Volksbank Actiengesellschaft,235,2590,2590,2623
83,Hessische Landes-Hypothekenbank A.-G.,235,2623,2623,2785
84,Deutsche Realkreditbank Akt.-Ges.,238,2785,2785,2828
85,"Credit-Anstalt Aktiengesellschaft,",238,2828,2828,2872
86,"Treuhand- und Wirtschafts- Beratungs-Aktiengesellschaft,",239,2872,2872,2900
87,Baubank für die Residenzstadt Dresden,239,2900,2900,2972
88,Sächsische Getreidekreditbank Akt.-Ges.,240,2972,2972,3020
89,"Treuhandgesellschaft für Handel u. Industrie, Akt.-Ges.",241,3020,3020,3042
90,Union-Bank A.-G.,241,3042,3042,3070
91,„Eigenheim“ Allgemeine Deutsche Bauspar-Aktien-Ges.,242,3070,3070,3101
92,Forster Bank Aktiengesellschaft,242,3101,3101,3128
93,Frankfurter Bankverein Aktien-Gesellschaft,243,3128,3128,3185
94,Frankfurter Kreditanstalt Akt.-Ges.,244,3185,3185,3214
95,"Lazard Speyer-Ellissen Kommanditgesellschaft auf Aktien,",244,3214,3214,3292
96,Treuhand -Aktiengesellschaft,245,3292,3292,3323
97,Freitaler Kredit-Bank Akt.-Ges.,246,3323,3323,3366
98,J. Landsberger & Co. Akt.-Ges.,246,3366,3366,3392
99,Hallesche Effecten- u. Wechselbank Actiengesellschaft,247,3392,3392,3429
100,Bank für deutsche Arbeit und Sparbank von 1820,247,3429,3429,3460
101,"Fracht-Kredit-Bank Akt.-Ges. in Liqu., Hamburg,",248,3460,3460,3476
102,Hamburgische Kautions-Vereinigung A.-G.,248,3476,3476,3506
103,Kueper & Co. Aktiengesellschaft,248,3506,3506,3534
104,Nationale Bauspar Aktiengesellschaft,249,3534,3534,3553
105,"Bank für Landwirtschaft und Gewerbe in Liqu., Akt.-Ges.,",249,3553,3553,3558
106,"Gewerbebank Akt.-Ges. in Liqu., Hannover,",249,3558,3558,3581
107,Mitteldeutsche Bau-Sparkasse Aktiengesellschaft,250,3581,3581,3614
108,Treuhand und Steuerberatung Aktiengesellschaft,250,3614,3614,3633
109,Bausparkasse Aktiengesellschaft Heilbronn,250,3633,3633,3652
110,Bankhaus Koch Akt.-Ges. in Liqu.,251,3652,3652,3674
111,Einzelhandelsbank Baden Akt.-Ges.,251,3674,3674,3705
112,"Fidueia Revisions- und Treuhand-Institut, Akt.-Ges.",251,3705,3705,3725
113,"Kalibank, Aktiengesellschaft",252,3725,3725,3769
114,Kettwiger Bank Aktiengesellschaft,252,3769,3769,3795
115,Kieler Bank in Liqu. in Kiel.,253,3795,3795,3819
116,„Erfe“ Verwaltungs-Aktiengesellschaft,253,3819,3819,3843
117,"Rheinischer Bankverein Akt.-Ges., in Liqu., Köln.",254,3843,3843,3848
118,Sieg-Rheinische Bank Aktiengesellschaft,254,3848,3848,3870
119,Vietoria Bausparkasse Aktiengesellschaft,254,3870,3870,3894
120,Grenzmarkbank Akt.-Ges. in Liqu.,254,3894,3894,3913
121,"Grund-Bank, Aktiengesellschaft",255,3913,3913,3931
122,Sächsische Revisions- u. Treuhandgesellschaft Akt.-Ges.,255,3931,3931,3957
123,Treuhand-Akt.-Ges. fürWirtschaftsprüfung (Treuwirtschaft),255,3957,3957,3992
124,"Landwirtschaftliche Privat-Buchstelle für die Provinz Sachsen und Anhalt, Akt.-Ges.",256,3992,3993,4014
125,"Treuhand-Aktiengesellschaft Rheinland,",256,4014,4014,4038
126,Getreide-Kredit Aktiengesellschaft in Liqn.,257,4038,4038,4071
127,Rheinische Handelsbank Akt.-Ges. in Liqu. in Mannheim.,257,4071,4071,4107
128,Süddeutsche Revisions- u. Treuhand-Akt.-Ges.,258,4107,4107,4133
129,Revisions- u. Treuhand-Akt.-Ges. „Thüringen“,258,4133,4133,4152
130,"Vereinsbank Meiningen, Akt.-Ges. in Liqu., Meiningen.",258,4152,4152,4160
131,"Bayerische Investment Aktiengesellschaft in Liqu.,",259,4160,4160,4183
132,Beamtensparkasse Akt.-Ges.,259,4183,4183,4207
133,"Levante-Devisen Aktiengesellschaft in Liqu., München.",259,4207,4207,4229
134,Münchner Beteiligungs-Akt.-Ges.,260,4229,4229,4254
135,"Gebser & Co. Bankgeschäft, Akt.-Ges. in Liqu,,",260,4254,4254,4267
136,"Hausbesitzerbank Nürnberg, Akt.-Ges.",260,4267,4267,4314
137,Spar- und Creditbank Akt.-Ges.,261,4314,4314,4336
138,Grund- u. Hypothekenbank Akt.-Ges.,261,4336,4336,4379
139,"Prignitzer Kredit-Aktiengesellschaft in Liqu., Pritzwalk.",262,4379,4379,4391
140,Westdeutsche Treuband-Union Aktiengesellschaft,262,4391,4391,4414
141,Baltische Landbank Akt.-Ges.,262,4414,4414,4431
142,Norddeutsche Revisions- und Treuhand-Akt.-Ges.,263,4431,4431,4466
143,Bank für Saar- u. Rheinland Akt.-Ges.,263,4466,4466,4494
144,"Kirchner, Akt.-Ges.",264,4494,4494,4523
145,Spar- und Darlehnskasse Aktiengesellschaft,264,4523,4523,4553
146,"„Allereda“, allgemeine Credit-Aktiengesellschaft,",265,4553,4553,4572
147,"Pommersche Getreide-Kreditbank Akt.-Ges. in Liqu., Stettin.",265,4572,4572,4589
148,Stettiner Kredit-Anstalt Aktien-Gesellschaft in Liqu.,265,4589,4589,4616
149,"Vereinsbank für Pommern, Akt.-Ges. in Liqu.",266,4616,4616,4647
150,"Neuvorpommersche Spar- und Credit-Bank, Akt.-Ges.",266,4647,4647,4687
151,Stuttgarter Gewerbekasse Akt.-Ges.,267,4687,4687,4723
152,Treuhand-Aktiengesellschaft „Rhein-Neckar“,267,4723,4723,4741
153,Verwaltungsbank Akt.-Ges.,267,4741,4741,4759
154,"Thüringische Landes-Treuhand- u. Revisions-A.-G.,",268,4759,4759,4789
155,Wernigeröder Bank für Handel u. Gewerbe K.-G. a. A.,268,4789,4789,4849
156,Credit-Verein Wilhermsdorf A.-G.,269,4849,4849,4876
157,Grundkredit-Bank Akt.-Ges.,269,4876,4876,4900
158,Merkur Treuhand- u. Grundstücksverwaltungs-Akt.-Ges.,270,4900,4900,4925
159,"Bau-, Terrain- und Immobilien-Gesellschaften, Schachtbau, Asphaltgewinnung und Verarbeitung.",270,4925,4926,4926
