firm_id,firmname,firmname_page,firmname_start_line,firmname_end_line,next_firmname_start_line
83,Landkredit und Handelsbank Akt.-Ges.,228,2007,2007,2022
84,Landwirtschafts- und Handelsbank A.-G. in Liqu.,228,2022,2022,2045
85,Mühlenindustrie-Bank Akt.-Ges. in Liqu.,228,2045,2045,2073
86,Ostdeutsche Bank Akt.-Ges.,229,2073,2073,2093
87,Ostdeutsche Privatbank Akt.-Ges.,229,2093,2093,2128
88,Preussische Vermögensverwaltung-Aktiengesellschaft,230,2128,2128,2166
89,"Ph. Reichenbach & Co. Bank-K.-G. a. A, Berlin.",230,2166,2166,2176
90,"Saint-Phalle Bank Aktiengesellschaft in Liqu., Berlin.",230,2176,2176,2196
91,"C. Schlesinger-Trier & Co.,",231,2196,2196,2214
92,"Martin Sehwersenz, Bank- u. Getreide - Aktiengesellsehaft",231,2214,2214,2238
93,Spar- und Kredit-Anstalt Aktien-Gesellschaft,231,2238,2238,2275
94,Spar- u. Kreditanstalt für Deutsche Beamte u. Angestellte,232,2275,2275,2296
95,Treuhand Akt.-Ges. für Industrie. Handel und Gewerbe,232,2296,2296,2317
96,Treuhand Akt.-Ges. für Verkehrs- u. Industriewerte,233,2317,2317,2371
97,"Treuhandgesellschaft Deutschland, Akt.-Ges.",233,2371,2371,2390
98,Treuhandgesellsehaft für Kommunale Unternehmungen,234,2390,2390,2423
99,Treviag Treuhänder und Revisoren Aktiengesellschaft,234,2423,2423,2442
100,Union-Bank Akt.-Ges.,234,2442,2442,2472
101,Union Treuhand-Aktiengesellschaft,235,2472,2472,2493
102,"Volksbau Aktiengesellschaft, Berlin.",235,2493,2493,2512
103,Zehlendorfer Bank K.-G. a. A. in Liqu.,236,2512,2512,2536
104,"Blomberger Bank, Akt.-Ges,, Blomberg (Lippe).",236,2536,2536,2562
105,"Bonner Effektenbank, Akt.-Ges., Bonn.",236,2562,2562,2599
106,"Bankhaus Julius Geiss, Akt.-Ges. in Liqu., Boppard.",237,2599,2599,2610
107,Weser Treuhand Akt.-Ges. in Liquid. in Brake i. Oldbg.,237,2610,2610,2613
108,"„Lreuhag“ Treuhand-Ges. für Handel u. Gewerbe, Gemeinnützige Akt.-Ges. in Braunschweig, Langerhof",237,2613,2614,2651
109,Bauwirtring Aktiengesellschaft,238,2651,2651,2693
110,Bremer Hansa-Bank Aktiengesellschaft,238,2693,2693,2715
111,Bremer Liquidationskasse von 1924 Akt.-Ges.,239,2715,2715,2742
112,Bremer Privat-Bank A.-G. in Liqu.,239,2742,2742,2749
113,„Fides“ Treuhand-Aktiengesellschaft,239,2749,2749,2789
114,Hanseatische Akt.-Ges. für Industrie und Handel in Liqu.,240,2789,2789,2804
115,Kriegshilfsbank für Kleinhändler u.Gewerbetreibende A.-G.,240,2804,2804,2811
116,Norddeutsche Finanzierungs-Akt.-Ges.,240,2811,2811,2833
117,Norddeutsche Kreditbank Aktiengesellschaft,241,2833,2833,2881
118,Bankhaus Max Gittler Akt.-Ges. in Liqu.,241,2881,2881,2889
119,Bankhaus Hermann Loewy Akt.-Ges.,241,2889,2889,2909
120,Nordwestdeutsche Realkreditbank Aktiengesellschaft,242,2909,2909,2934
121,Chemnitzer Bank für Grundbesitz Akt.-Ges.,242,2934,2934,2975
122,Chemnitzer Kreditbank Akt.-Ges.,243,2975,2975,3009
123,"Bank der Landwirte, Akt.-Ges.",243,3009,3009,3046
124,Danziger Bank für Handel u. Gewerbe A.-6.,244,3046,3046,3087
125,Danziger Sparkassen-Aktien-Verein,244,3087,3087,3118
126,"Kreditbank in Danzig A.-G. in Liqu., Danzig.",245,3118,3118,3135
127,Landwirtschaftliche — vormals Landschaftliche — Bank,245,3135,3135,3177
128,Anhalt-Dessauische Landesbank,246,3177,3177,3184
129,Mitteldeutscher Bankverein Akt.-Ges. in Liqu.,246,3184,3184,3203
130,Behle-Treuhand-Akt.-Ges. für das Revisions- u. Treuhand- wesen in Dortmund.,246,3203,3204,3208
131,"Aktiengesellschaft für Vermittlung von Hypotheken und Grundbesitz in Dresden A 1, Eliasplatz 4.",246,3208,3209,3229
