firm_id,firmname,firmname_page,firmname_start_line,firmname_end_line,next_firmname_start_line
1,"Noten-, Kredit- u. Hypotheken-Banken, Treuhand- u. Finanzierungs- gesellschaften, Lombardgeschäfte,",196,1,2,2
2,"gesellschaften, Lombardgeschäfte, Allgemeine Handelsbank Akt.-Ges.",196,2,3,35
3,Akt.-Ges. Ferd. Lipfert,196,35,35,84
4,"Bankverein Artern, Spröngerts, Büchner & Co.",197,84,84,145
5,Gewerbebank Aktiengesellschaft,198,145,145,190
6,"Göltzschtalbank Aktiengesellschaft,",198,190,190,230
7,"Augsburger Handels- und Gewerbebank (Viehmarktbank),",199,230,230,264
8,"Aktiengesellschaft für Treuhandinteressen in Liqu.,",199,264,264,275
9,Aktiengesellschaft für Vermögensverwertung,200,275,275,295
10,Anhalt-Askanische Treuhandverwaltung Aktiengesellschaft,200,295,295,322
11,"Bank der Arbeiter, Angestellten u. Beamten, Akt.-Ges.",200,322,322,394
12,Bank für Handel u. Industrie Akt.-Ges.,201,394,394,407
13,Bank für Kommunal- und Grundkredit Akt.-Ges.,202,407,407,436
14,Bank für Landwirtschaft Akt.-Ges.,202,436,436,529
15,Bank für Montanindustrie Aktiengesellschaft,203,529,529,583
16,Bausparlloyd Aktiengesellschaft,204,583,583,610
17,"Berliner Kreditbank Akt.-Ges., Berlin.",205,610,610,615
18,Berliner Stadtschafts-Bank Aktiengesellschaft,205,615,615,683
19,Berlinische Bodencredit-Aktiengesellschaft,206,683,683,705
20,Louis Berndt Nchf. Bank-Kommanditges. auf Akt.,206,705,705,731
21,B. S. V. Vermögensverwaltung Aktiengesellschaft,207,731,731,813
22,A. Busse & Co. Aktiengesellschaft,208,813,813,852
23,Centralbank für Eisenbahnwerthe in Liqu.,208,852,852,917
24,Commerz- und Industrie-Aktiengesellschaft in Liqu.,209,917,917,922
25,Comptoir Foncier Akt.-Ges. für Grundkredit,209,922,922,947
26,Continentale Kreditanstalt Aktiengesellschaft,210,947,947,969
27,Custodia Vermögensverwaltungs-Aktiengesellschaft in Liqu.,210,969,969,981
28,Deutsch -Südamerikanische Bank Akt.-Ges.,210,981,981,1026
29,Deutsche Ansiedlungsbank,211,1026,1026,1164
30,Deutsche Automobilbank Akt.-Ges.,213,1164,1164,1229
31,"Deutsche Beamten-Zentral-Bank Aktiengesellschaft,",214,1229,1229,1267
32,Deutsche Genossenschafts-Hypothekenbank Akt.-Ges.,214,1267,1267,1409
33,Deutsche Industrie-Treuhand-Akt.-Ges. in Berlin,216,1409,1409,1434
34,Deutsche Kreditsicherung Akt.-Ges.,217,1434,1434,1486
35,Deutsche Länderbank Aktiengesellschaft,217,1486,1486,1534
36,Deutsche Landvolk-Bank Akt.-Ges.,218,1534,1534,1582
37,Deutsche Revisions- und Treuhand-Akt.-Ges.,219,1582,1582,1624
38,"Deutsche Schiffspfandbriefbank Akt.-Ges,,",220,1624,1624,1756
