firm_id,firmname,firmname_page,firmname_start_line,firmname_end_line,next_firmname_start_line
1,"Noten-, Kredit- u. Aypotheken-Banken, Trenhand- u. Finanzierungs- gesellschaften, Lombardgeschäfte,",204,1,2,2
2,"gesellschaften, Lombardgeschäfte, Treuhand- Aktiengesellschaft",204,2,3,24
3,"Ahrtalbank Akt.-Ges,.,",204,24,24,57
4,"Vorschuss-Verein zu Alsleben a. S.,",205,57,57,91
5,"Kreisbank Zauch-Belzig,",205,91,91,144
6,Akt.-Ges. für Handels- u. Industrie-Beteiligungen in Liqu.,206,144,144,168
7,Aktiengesellschaft für Industrie- und Handelskredite,206,168,168,175
8,Akt.-Ges. für Industrie- und Kommunalkredit,206,175,175,209
9,"Akt.-Ges. für industrielle Werte in Liqu.,",207,209,209,215
10,Aktiengesellschaft für Treubandverwaltung und Revision,207,215,215,247
11,Aktiengesellschaft für Überseewerte,207,247,247,278
12,Bank des Berliner Kassen-Vereins,207,278,278,377
13,Bank für Grundbesitz und Handel Akt.-Ges.,209,377,377,410
14,Bank für Industriewerte Aktiengesellschaft,209,410,410,479
15,Bank für wertbeständige Anlagen Aktiengesellschaft,210,479,479,530
16,Bayrische Bank für Industrie und Landwirtschaft Akt.-Ges.,211,530,530,553
17,"Beamtenbank Aktiengesellschaft in Liqu., Berlin.",211,553,553,564
18,"Berliner Bank für Handel und Grundbesitz, Akt.-Ges.",211,564,564,718
19,Berliner Handels-Gesellschaft,214,718,718,847
20,Berliner Hypothekenbank Aktiengesellschaft,215,847,847,970
21,gezogen.,217,970,970,1083
22,it,218,1083,1083,1140
23,Berliner Lombard-Anstalt Akt.-Ges.,219,1140,1140,1163
24,Commercial Investment Trust Akt.-Ges. (Citag),219,1163,1163,1195
25,Continentale Finanz Corporation Aktiengesellschaft in Liqu.,219,1195,1195,1215
26,Curabank Akt.-Ges. in Berlin-Zehlendorf.,220,1215,1215,1220
27,"Deutsch-Holländische Diseont-Bank, Akt.-Ges. in Liqu.,",220,1220,1220,1238
28,Deutsche Bank u. Disconto-Gesellschaft,220,1238,1238,1690
29,Deutsche Baurevision Revisions- und Treuhand- Aktiengesellschaft für die Bauwirtschaft,225,1690,1691,1720
30,Deutsche Schiffahrtsbank Akt.-Ges.,226,1720,1720,1724
31,Deutsche Bau- und Bodenbank Aktiengesellschaft,226,1724,1724,1925
32,"Deutsche Finanz- und Handels-Akt.-Ges., (Defihag)",229,1925,1925,1930
33,Deutsche Genossenschaftsbank Akt.-Ges.,229,1930,1930,1945
34,Deutsche Genossenschafts-Revisions- und Treuhand-A.-G.,229,1945,1945,1968
35,"Deutsche Golddiskontbank,",229,1968,1968,2225
36,Deutsche Landesbankenzentrale Akt.-Ges.,233,2225,2225,2399
37,Deutsche Revisions-Gesellschaft Wirtschafts -Treuhänder- Aktiengesellschaft,235,2399,2400,2423
38,Deutsche Verkehrs-Aktiengesellschaft in Liqu. in Berlin.,236,2423,2423,2428
39,"Deutsche Verkehrsbank, Aktiengesellschaft,",236,2428,2428,2464
40,Deutsche Waren-Verkehrs-Akt.-Ges. (Dewag),236,2464,2464,2491
41,Deutsche Wohnstätten-Hypothekenbank Akt.-Ges.,237,2491,2491,2658
42,"Kredit-Ges,",238,2658,2658,2663
43,Deutsche Zuckerbank Akt.-Ges.,239,2663,2663,2742
44,Elektrizitäts-Kredit Aktiengesellschaft,240,2742,2742,2760
45,Finanzierungsgesellschaft für Industrielieferungen Aktiengesellschaft,240,2760,2761,2791
46,"Getreide-Kreditbank Aktiengesellschaft,",240,2791,2791,2921
47,"Gold-Kredit Akt.-Ges.,",242,2921,2921,2950
48,"Hauer, Würzburger & Co. K.-G. a. A. in Berlin.",242,2950,2950,2955
49,Industrie- und Grundkredit Aktiengesellschaft,242,2955,2955,2979
50,Industriefinanzierungs-Aktiengesellschaft Ost,243,2979,2979,3058
51,"„Landbank“, Aktien-Gesellschaft",244,3058,3058,3113
52,"Lombardbank Aktiengesellschaft,",245,3113,3113,3142
53,Mitteldeutsche Treuhand Akt.-Ges.,245,3142,3142,3167
54,„Phöbus“ Zwecksparkasse Aktiengesellschaft,245,3167,3167,3199
55,Piano Treuhand Aktiengesellschaft,246,3199,3199,3222
56,Preussische Staatsbank (Seehandlung),246,3222,3222,3400
57,"Pro Familia Aktienges. für Vermögensverwaltung, in Liqu.,",248,3400,3400,3416
58,Reichsanleihe-Aktiengesellschaft,249,3416,3416,3442
59,Reichsbank,249,3442,3442,3674
60,"0% 18118: 154%, 12 u: 10%,",252,3674,3674,3683
61,‚1 f 31. er 15%: 1. ir &:,252,3683,3683,3691
62,"2 5%,",252,3691,3691,3945
63,Reichsheim-Bausparkasse Aktien-Gesellschaft,255,3945,3945,3977
64,Reichs-Kredit-Gesellschaft Aktiengesellschaft,255,3977,3977,4103
65,Rheinisch - Westfälische Kreditanstalt für Verkehrsmittel,257,4103,4103,4130
66,"Sachs, Warschauer & Co, Akt.-Ges. in Liqu., Berlin.",257,4130,4130,4134
67,Teppich-Finanzierungs-Aktiengesellschaft,257,4134,4134,4153
68,August Thyssen-Bank Akt.-Ges.,258,4153,4153,4203
69,„Treuhand“ Aktienges. für Buch- und Betriebs-Prüfung.,258,4203,4203,4226
70,Treuhand -Vereinigung Akt.-Ges.,259,4226,4226,4261
71,Vermögensverwaltungsbank Aktiengesellschaft in Liqu.,259,4261,4261,4300
72,"Vewa, Vermögens-Verwaltung u. Verwertung A.-G.,",260,4300,4300,4328
73,Deutsche Gas- u. Industrie- Aktiengesellschaft in Liqu..,260,4328,4328,4352
74,"""Aktiengesellschaft für industrielle Betriebs- und Wirt- schaftsberatung (vorm. Dipl.-Kfm. Willer und Dipl.-Kfm.",260,4352,4353,4353
75,"schaftsberatung (vorm. Dipl.-Kfm. Willer und Dipl.-Kfm. Lang, Treuhandgesellschaft)",260,4353,4354,4381
76,Braunschweig-Hannoversche Hypothekenbank,261,4381,4381,4640
77,Bremen-Amerika Bank A.-G.,264,4640,4640,4688
78,Bremer Kreditbank Akt.-Ges.,264,4688,4688,4736
79,"Schlesische Zuckerrentenbank Akt.-Ges. in Liqu., Breslau.",265,4736,4736,4751
80,Coburg-Gothaische Bank Aktien-Gesellschaft,265,4751,4751,4822
81,Vereinsbank Cottbus Akt.-Ges.,266,4822,4822,4878
82,Bank von Danzig,267,4878,4878,5031
83,"Danziger Handels- und Industriebank Akt.-Ges,.,",269,5031,5031,5068
84,Donaubank Aktiengesellschaft,270,5068,5068,5091
85,"Bank für keramische Industrie, Akt.-Ges.",270,5091,5091,5125
86,Dresdner Handelsbank Akt.-Ges.,270,5125,5125,5270
87,Dresdner Kassen-Verein Aktiengesellschaft,272,5270,5270,5311
88,Sächsische Bank zu Dresden (Sächsische Notenbank),273,5311,5311,5414
89,"Sächsische Roggenrentenbank Akt.-Ges. in Liqu., Dresden.",274,5414,5414,5423
90,Askania Aktiengesellschaft Bausparkasse,274,5423,5423,5454
91,"Deutseh-Niederländische Bank, Akt.-Ges. in Liqu.",275,5454,5454,5473
92,"Deutsche Schiffskreditbank, Akt.-Ges.",275,5473,5473,5602
93,Duisburger Bankverein Akt.-Ges.,277,5602,5602,5665
94,Revisions- und Treuhand-Akt.-Ges. „Westdeutschland“,278,5665,5665,5695
95,"Union-Bank Akt.-Ges., Flensburg,",278,5695,5695,5735
96,"Frankfurter Baukasse, Aktiengesellschatt,",279,5735,5735,5766
97,Frankfurter Handelsbank Akt.-Ges.,279,5766,5766,5834
98,Treuhand- und Revisions-Akt.-Ges. Deutschland,280,5834,5834,5853
99,"Frechener Volksbank für Handwerk, Industrie und Land- wirtschaft in Frechen.",281,5853,5854,5877
100,Gederner Bank Aktiengesellschaft,281,5877,5877,5912
101,Spar- u. Vorschuss-Verein Aktiengesellschaft,281,5912,5912,5938
102,Aktiengesellschaft Spar- und Vorschussverein,282,5938,5938,5962
103,"Volksbank Gross-Zimmern, Akt.-Ges.",282,5962,5962,5998
104,"Hallescher Bankverein von Kulisch, Kaempf & Co.",283,5998,5998,6138
105,Commerz- und Privat-Bank Aktiengesellschaft,285,6138,6138,6439
106,"Deutsche Waren-Treuhand-Aktiengesellschaft,",289,6439,6439,6503
107,Finanzbank Aktiengesellschaft,290,6503,6503,6546
108,Getreidevereinigung Aktiengesellschaft,290,6546,6546,6603
