band,page,firmname
1,1044,Pfälzische Preßhefen- und Spritfabrik A.-G.
1,1045,Aktienbierbrauerei H. Liick Aktiengesellschaft.
1,1046,Vereinsbrauerei Mecklenburgischer Wirte Aktien-Gesellschaft.
1,1047,Lüneburger Kronenbrauerei Akt.-Ges. zu Lüneburg.
1,1047,Actien-Brauerei Neustadt-Magdeburg.
1,1049,Actien-Gesellschaft für Malzfabrikation u. Hopfenhandel vorm. Schröder-Sandfort.
1,1050,Altmünster-Brauerei Aktiengesellschaft.
1,1050,Mainzer Aktien-Bierbrauerei.
1,1052,Bierbrauerei Durlacher Hof A.-G. vorm. Hagen.
1,1053,Meisenheim-Schmeissbacher Mälzerei A.-G.
1,1054,Pfälzische Malzfabrik A.-G.
1,1054,Vereinigte Brauereien Aktiengesellschaft.
1,1055,Malzfabrik Mellrichstadt.
1,1056,Bürger- und Engelbräu Aktiengesellschaft.
1,1057,Actienbrauerei Merzig.
1,1057,Lammbrauerei Aktiengesellschaft.
1,1058,Miihlhäuser Malzfabrik Emil Bergener Aktiengesellschaft.
1,1058,"Brauerei Gebr. Ibing, Aktiengesellschaft."
1,1059,Aktienbrauerei zum Löwenbräu in München.
1,1061,Actiengesellschaft Hackerbräu.
1,1063,Actiengesellschaft Paulanerbräu Salvatorbrauerei /// und Thomasbräu.
1,1066,Bayerische Malzfabrikations- u. Export-Aktiengesellschaft.
1,1066,Pschorrbräu Aktiengesellschaft.
1,1067,Gabriel u. Jos. Sedlmayr Spaten—Franziskaner—Leistbräu A. G. München.
1,1068,Hennenbrauerei Aktiengesellschaft vormals Adolf Schröder.
1,1068,Janssen & Bechly Bierbrauerei-Aktiengesellschaft.
1,1069,Allgemeine Mälzerei-Aktiengesellschaft (Agmag).
1,1069,Pfalzbrauerei vorm. Geisel & Mohr Akt.-Ges.
1,1069,Siegthal-Brauerei Actien-Gesellschaft.
1,1070,Malzfabrik Niedersedlitz Aktiengesellschaft.
1,1071,"Gebr. Beyschlag, Brauerei zum Sixen, Akt.-Ges."
1,1071,Bürgerliches Brauhaus Aktiengesellschaft.
1,1071,Nordhaeuser Aktienbrauerei.
1,1074,Aktiengesellschaft.
1,1074,Brauhaus Nürnberg.
1,1079,Lederer-Bräu Aktiengesellschaft.
1,1081,Obercasseler Brauerei Aktiengesellschaft.
1,1082,Vereinsbrauerei Oelsnitz i. V. Aktiengesellschaft.
1,1082,Kronenbrauerei Aktiengesellschaft.
1,1083,Haslinde-Hoyer-Brauerei Aktiengesellschaft.
1,1083,Oldenburger Hefe- und Spirituswerke Aktiengesellschaft.
1,1084,Osnabrücker Aktien-Bierbrauerei.
1,1084,Ottweiler Brauerei-Aktien-Gesellschaft vorm. Carl Simon
1,1084,Aktien- & Vereins-Brauerei Aktiengesellschaft.
1,1085,Innstadt-Brauerei.
1,1086,"Brauhaus Pfaffenhofen a. Ilm, Aktiengesellschaft."
1,1086,Bayerisches Brauhaus Pforzheim A.-Gr.
1,1088,Brauerei Beckh Akt.-Ges.
1,1088,Schlossbrauerei Planegg bei
1,1090,Radeberger Export-Bierbrauerei A.-G.
1,1093,l) Einschi. Zuweisungen an Rücklagen; 1931 ausschl. Gewinn-Vortrag aus dem Vorjahr. Rastenburger Brauerei Aktien-Gesellschaft.
1,1094,Bürgerliches Brauhaus Ravensburg A.-G.
1,1095,Brauhaus Regehsburg Aktiengesellschaft.
1,1097,Brauerei Rheingold Jakob Grossterlinden Akt.-Ges.
1,1098,Kaiser-Brauerei Aktiengesellschaft.
1,1098,Berghrauerei Riesa Akt.-Ges.
1,1100,Auerbräu Aktiengesellschaft.
1,1100,Mahn & Ohlerich Bierbrauerei Aktien-Gesellschaft. //
1,1102,Bürgerliches Brauhaus Aktiengesellschaft.
1,1104,Aktienbrauerei Saarlouis.
1,1104,Brauerei Bergschlösschen Aktiengesellschaft.
1,1105,Kloster- und Vereinsbrauerei Aktiengesellschaft.
1,1105,Actien-Malzfabrik.
1,1106,"Klosterbräu Sankt Veit-Neumarkt a. R., Aktiengesellschaft."
1,1106,Leipziger Malzfabrik in Schkeuditz.
1,1107,Malzfabrik Schweinfurt Aktiengesellschaft.
1,1107,Bärenbrauerei Aktiengesellschaft.
1,1108,Schwanen-Brauerei Kleinschmitt Aktiengesellschaft.
1,1108,Siegener Actien-Brauerei.
1,1109,Aktienbrauerei Simmerberg.
1,1109,Aktien-Brauerei.
1,1110,"Brauerei Beckmann, , Schützenstraße."
1,1110,Vereinsbrauerei Aktiengesellschaft.
1,1110,Brauerei Schwartz-Storchen Aktiengesellschaft. M
1,1112,Hansa-Brauerei Aktiengesellschaft.
1,1113,Bohrisch Brauerei Aktiengesellschaft in Stettin.
1,1115,Ferd. Rückforth Nachfolger Aktien-Gesellschaft. //
1,1117,Stettiner Bergschloss-Brauerei Aktien-Gesellschaft. ///
1,1119,Stettiner Brauerei-Actien-Gesellschaft „Elysium“. ///
1,1121,Brauerei Wulle Aktiengesellschaft.
1,1123,Württembergisch-Hohenzollern’sche Brauereigesellschaft. ///
1,1125,Thüringer Malzfabrik Schloss Thamsbrück Aktiengesellschaft.
1,1125,Tilsiter Actien-Brauerei.
1,1127,"Vereinsbrauerei Tilsit, Aktiengesellschaft."
1,1128,Riebeck-Partuschke-Brauerei Aktiengesellschaft.
1,1128,Aktienbrauerei „Union“ (vormals C. Ueberle & E. Charlier) in Liqu.
1,1128,Uelzener Bierbrauerei-Gesellschaft.
1,1129,Viersener Aktienbrauerei Aktiengesellschaft.
1,1129,Vereinsbrauerei Richzenhain.
1,1130,Brauerei Warthausen vorm. Neher & Sohn A.-G.
1,1130,Bürgerbräu Weiden Akt.-Ges.
1,1131,"Feldschlösschen-Brauerei Weimar, Aktiengesellschaft."
1,1131,Engelhardt-Brauerei Aktiengesellschaft Weisswasser.
1,1132,Erste Wernesgrüner Aktienbrauerei (vorm. C. G. Männel) Aktiengesellschaft.
1,1132,Hasseröder Bierbrauerei-Aktiengesellschaft.
1,1133,Germania Brauerei-Gesellschaft Wiesbaden.
1,1133,"Actien-Bierbrauerei Wittenberg Aktiengesellschaft,"
1,1133,Filiale Wittenberg. Vereinigte Brauereien Nagelschmidt & Cramer A.-G.
1,1134,Eichbaum-Werger-Brauereien Aktiengesellschaft.
1,1135,Vereinigte Malzfabriken Aktiengesellschaft.
1,1136,Brauhaus Würzburg (Würzburger Hofbräu).
1,1138,"Kinzinger & d’Hengeliere, Bürgerliches Brauhaus Zell-Würzburg Aktiengesellschaft."
1,1138,"Wicküler-Küpper-Brauerei, Actiengesellschaft."
1,1141,Aktiengesellschaft Brauerei Zirndorf bei Nürnberg. ///
1,1143,Actiengesellschaft Societäts-Brauerei zu Zittau.
1,1143,Gorkauer Societäts-Brauerei Aktien-Gesellschaft. ///
1,1145,Park- und Bürgerbräu Aktiengesellschaft.
1,1147,Actiengesellschaft Vereinsbrauerei zu Zwickau.
1,1149,Bürgerliches Brauhaus Breslau Aktiengesellschaft.
1,1149,Fürstlich Fürstenbergische Brauerei Aktiengesellschaft. ///
1,1151,"umbau und Einriehtungsaufwendungen 102402 RM, Pensionsverpflichtungen 20000 RM, Entwertungskonto (Vorräte) 2. Fünftel 10694 RM, Kon­ Hoefel-Brauerei Actiengesellschaft zu Düsseldorf. //"
1,1153,"Die Bezüge des Vorst, u. A.-R. betragen 1932/33: 14300 RM bzw. 10080 RM. Hansa-Brauerei Aktiengesellschaft."
1,1155,"Zuckerfabriken, Mühlenfabrikate, Getreide- und Futterproduktion und -Verarbeitung. Brotfabrik Elbe Aktiengesellschaft."
1,1155,H. Fock Hochseefischerei Aktiengesellschaft.
1,1155,Ho W. Lange & Co. Aktiengesellschaft.
1,1156,Weinbrennerei Trüsart & Co. Aktiengesellschaft in Liqu.
1,1156,Terra Aktiengesellschaft für Samenzucht.
1,1157,Badersiebener Molkerei-Aktien-Gesellschaft.
1,1157,Bardinet Aktiengesellschaft.
1,1157,Cervusa Kakao- und Schokoladen-Fabrik Aktiengesellschaft.
1,1157,Deutsch-Russische Saatbau-Aktiengesellschaft in Liqu.
1,1158,Dom-Kellerei zu Köln Aktien-Gesellschaft.
1,1158,Gesellschaft für Getreidehandel Aktiengesellschaft.
1,1159,"J. A. Gilka, Aktiengesellschaft."
1,1159,Glöckner-Edelliköre Aktiengesellschaft.
1,1160,Hinz & Küster Aktiengesellschaft.
1,1160,Interessengemeinschaft Brandenburgischer Mühlen A.-G. in Liqu.
1,1160,Carl Mampe Aktiengesellschaft.
1,1161,"Meierei Cöpenick, Aktiengesellschaft."
1,1161,Norddeutsche Melassefutterfabrik Alhrecht Berliner A.-G.
1,1161,Rüwag Rügenwalder Wurst- und Fleischwaren-Werk Aktiengesellschaft.
1,1162,Wittler-Brot Kommanditgesellschaft auf Aktien.
1,1162,Malz- u. Nährextrakt-Werke Akt.-Ges.
1,1162,Zuckerraffinerie Braunschweig.
1,1163,£. & M. Bollmann Aktiengesellschaft.
1,1163,Bremer Rolandmühle A.-G.
1,1164,Gercke & Deppen — Hansamühle Akt.-Ges.
1,1165,"Hochseefischerei J. Wieting, Aktiengesellschaft."
1,1165,Emil Fache Aktiengesellschaft.
1,1166,Rheinische Margarinewerke Giesler & Trinius Akt.-Ges.
1,1166,Oscar Dörffler Aktiengesellschaft.
1,1168,Steinmeister Wwe. & Grüter A.-G.
1,1168,"Zuckerfabrik Calhe, Akt.-Ges."
1,1168,Deutsche Seefischhandels-Aktiengesellschaft.
1,1169,Böhme Aktiengesellschaft.
1,1169,Dortmunder Mühlenwerke Aktiengesellschaft.
1,1170,"Drema, Akt.-Ges. für Gewinnung, Herstellung und Vertrieb von Lebensmitteln."
1,1170,Vereinigte Fettstoff-Aktiengesellschaft.
1,1171,"Edmund Münster, Aktiengesellschaft."
1,1171,"Henze, Schokoladen- und Zuckerwarenfabrik, Aktiengesellschaft."
1,1171,Emder Heringsfischerei-Aktien-Gesellschaft.
1,1172,"Grosser Kurfürst, Heringsfischerei-Aktiengesellschaft."
1,1172,Heringsfischerei Dollart Aktiengesellschaft.
1,1173,"Neugebaur & Lohmasm, Aktiengesellschaft."
1,1173,"Finkenheerder Obstwerke Richard Sonnenburg, Akt.-Ges."
1,1174,Feist-Sektkellerei A.-G.
1,1174,"Frankfurter Mühlenwerke Gebrüder Wolff, Handels-Akt.-Ges."
1,1175,Mumm & Co. Aktiengesellschaft gegründet 1922 in Frankfurt a. M. (Deutschland).
1,1175,"Samenhandlung J. W. Wunderlich Akt-Ges,"
1,1175,Stärke-Zuekerfabrik-Actiengesellschaft vormals C. A. Koehlmann & Co.
1,1177,Zuckerfabrik Fraustadt.
1,1179,Norddeutsche Zucker-Raffinerie.
1,1180,Trautenmühle Aktiengesellschaft.
1,1180,Actienspritfabrik Geldern.
1,1180,Jac. Beterams Söhne Akt.-Ges.
1,1180,Zuckerraffinerie Genthin A.-G.
1,1181,* Glückstädter Heringsfischerei Aktiengesellschaft.
1,1182,"Bremen-Vegesacker Fischerei-Gesellschaft, Aktiengesellschaft. ///"
1,1183,Zuckerfabrik Groß-Peterwitz Aktiengesellschaft.
1,1183,"Mühlenwerke Guhrau, Aktiengesellschaft."
1,1184,"A. Prang, Dampf- und Wassermühlenwerke Aktiengesellschaft. //"
1,1186,D. Götte & Zimmermann Aktiengesellschaft.
1,1186,Halberstädter Molkerei Act.-Ges.
1,1187,"Fr. Hensel & Haenert, Aktiengesellschaft."
1,1187,Mignon Schokoladenwerke Aktiengesellschaft.
1,1188,F. W. Rolü Aktiengesellschaft.
1,1188,Zuckerraffinerie Halle.
1,1188,Zuckervertriebsgesellschaft Halle Aktiengesellschaft.
1,1189,Hans Berge Aktiengesellschaft.
1,1189,Deutsche Maizena-Werke Aktiengesellschaft.
1,1189,Hacifa Hamburger Cigarren Handels Aktiengesellschaft.
1,1189,"Michaölkuchen, Aktiengesellschaft."
1,1190,„Nordsee“ deutsche Hochseefischerei in Bremen-Cuxhaven // Aktiengesellschaft.
1,1194,Stärke Sirup Aktiengesellschaft.
1,1194,Vereinigte Deutsche Zuckerfabriken Aktiengesellschaft.
1,1194,M. & F. Liebhold Aktien-Gesellschaft.
1,1195,G. & W. Ruppert Aktiengesellschaft
1,1195,"H. Neuschäfer — F. W. Thraenhardt Akt.-Ges., Gewürzmühle u. Nährmittelfabrik."
1,1195,"Hans Gallo, Weingut- u. Weingrosshandel, Aktiengesellschaft."
1,1195,"Zuckerraffinerie Itzehoe, Aktien-Gesellschaft."
1,1196,Kammer-Kirsch Aktiengesellschaft für Edelbranntweine Karlsruhe.
1,1196,Rheika Aktiengesellschaft.
1,1196,Ungemach Aktiengesellschaft.
1,1197,Ehlers & Ko. Aktiengesellschaft.
1,1197,"Holdorf & Richter, Kieler Fischräucherei u. Fischkonservenfabrik, Akt.-Ges."
1,1197,Zuckerfabrik Klein-Wanzleben vormals Rabbethge & Giesecke Aktien-Gesellschaft.
1,1200,Heinr. Auer Mühlenwerke Aktiengesellschaft.
1,1200,Johann Walter van Munster Aktiengesellschaft
1,1201,Gebrüder Stollwerck Aktiengesellschaft.
1,1204,„Pinnau“ Actiengesellschaft für Mühlenbetrieb.
1,1206,Lippische Zuckerfabrik Aktiengesellschaft.
1,1207,Badische Essigwerke Akt.-Ges. vorm. Fr. Frank.
1,1207,Niederschlesische Mühlen-Aktiengesellschaft.
1,1207,"Uhlig & Weiske Mühlenwerke, Aktiengesellschaft."
1,1208,Vereinigte Leobschützer Mühlenwerke Aktiengesellschaft.
1,1208,Zuckerfabrik Froebeln Aktiengesellschaft.
1,1210,"Magdeburger Mühlenwerke, Aktiengesellschaft."
1,1212,"Zuckerraffinerie Magdeburg, Actien-Gesellschaft. ///"
1,1212,"H. Disque & Co., Kaffee-Import, Aktiengesellschaft."
1,1212,Heidsieck & Co. Monopole Aktiengesellschaft.
1,1213,Schönberger Cabinet Aktiengesellschaft.
1,1213,"Süddeutsches Fruchtröstwerk, Aktiengesellschaft."
1,1213,Süddeutsche Zucker-Aktiengesellschaft.
1,1216,Oeynhauser Mühlenwerke Carl Koch Aktiengesellschaft.
1,1216,"A. Batschari, Cigarettenfabrik Merzig Aktiengesellschaft."
1,1216,Haus Neuerburg Aktiengesellschaft.
1,1216,Feurich Keks Aktiengesellschaft.
1,1217,Kunstmühle Tivoli.
1,1218,Neuenstadt-Werke Aktiengesellschaft.
1,1218,Simons-Mühlen Aktiengesellschaft.
1,1218,Nordhäuser Tahakfabriken Aktien-Gesellschaft.
1,1219,Konservenfabrik Oebisfelde Aktiengesellschaft.
1,1219,"Vogtländischer Milchhof, Aktiengesellschaft."
1,1220,Plochina-Friichte Aktiengesellschaft in Liqu.
1,1220,"A. Himmelreich, Aktiengesellschaft."
1,1220,"Gebrüder Dippe, Aktiengesellschaft."
1,1221,"Ostpreussische Handelsmühlen Neumühl, Aktiengesellschaft."
1,1221,Rathenower Dampfmühlen-Aktiengesellschaft vorm. C. Hübener Naclifl.
1,1222,Gebrüder Bernard Aktiengesellschaft
1,1222,Hilbertmühle-Aktiengesellschaft.
1,1222,Rositzer Zucker-Raffinerie.
1,1224,Hoffmann’s Stärkefabriken Aktiengesellschaft. 7/
1,1226,„Bauernhand“ Aktiengesellschaft.
1,1226,' „Goldina“ Aktiengesellschaft.
1,1227,477 101 Konservenfabrik Seehausen-Altmark Aktiengesellschaft.
1,1228,Interessengemeinschaft Pommerscher Mühlen Aktiengesellschaft.
1,1228,Pommersche Provinzial-Zuckersiederei.
1,1229,Fried. Rückforth Ww. Aktiengesellschaft.
1,1230,H. A. Winkelhausen-Werke Aktiengesellschaft.
1,1231,"Alexander & Co., Aktiengesellschaft."
1,1231,"Buck Aktiengesellschaft, Kakao- u. Schokoladenfabrik."
1,1231,Zuckerraffinerie Tangermünde Fr. Meyers Sohn A.-Gr.
1,1232,Leonardi-Kunstmühle Aktiengesellschaft.
1,1232,Maul’s Kakao- und Schokoladen-Fabrik Akt.-Ges. in Liqu.
1,1232,Deutsche Fischerei Aktiengesellschaft.
1,1233,"Hochseefischerei Nordstern, Akt.-Ges."
1,1233,Norddeutsche Hochseefischerei Aktien-Gesellschaft.
1,1234,Seefischmarkt-Aktiengesellschaft.
1,1235,"Mühle Wettin, Aktiengesellschaft."
1,1235,Kant-Chocoladenfabrik Aktiengesellschaft.
1,1235,Zuckerfabrik Rheingau Aktiengesellschaft.
1,1236,Frankonia Schokoladenwerke Aktiengesellschaft.
1,1237,"Sektkellerei J. Oppmann, Aktiengesellschaft."
1,1237,Zuckerfabrik Frankenstein Akt.-Ges.
1,1237,"Gocht & Steffens, Aktiengesellschaft."
1,1238,Stettiner Oelwerke Aktiengesellschaft.
1,1239,Alle nur Handel treibenden Gesellschaften. Aktiengesellschaft für Beleuchtungs-Artikel.
1,1239,Aktiengesellschaft für Konzessionsunternehmen in Liqu.
1,1239,Aktiengesellschaft für Lebens- und Genussmittel.
1,1239,Paul Beil & Co. Akt.-Ges.
1,1240,Berliner Düngerhandel Aktiengesellschaft.
1,1240,Berliner Handels- u. Industrie-Ges. Aktiengesellschaft.
1,1240,Berliner Lederwaren Commissions-Aktien-Gesellschaft.
1,1240,Charlottenburger Handels-Aktiengesellschaft.
1,1240,„Danex“ Handels-Aktiengesellschaft.
1,1241,Deutsche Briefmarken-Handels-Akt.-Ges. (Debriehag).
1,1241,Handels-Aktiengesellschaft Grunewald.
1,1241,Handelshof Landsbergerallee Aktiengesellschaft.
1,1241,Emil Köster Deutsche Beamten-Einkaufs-Aktiengesellschaft.
1,1242,Mokadoro Grosshandels-Aktiengesellschaft.
1,1242,„Motor“ Akt.-Ges. für Kraft und Verkehrswesen in Liqu.
1,1242,Philipp Mühsam Aktien-Gesellschaft.
1,1243,Alwin Ochs Feinkost Aktiengesellschaft.
1,1243,„Orak“ Orientexport-Handels-Aktiengesellschaft.
1,1243,Verwaltungs- und Handels-Aktiengesellschaft.
1,1244,Zinneinfuhr Aktiengesellschaft.
1,1244,"Franz Jauch, Aktiengesellschaft."
1,1244,Wullbrandt & Seele Aktiengesellschaft.
1,1245,„Brema“ Kolonialwarenverkauf Aktien-Gesellschaft.
1,1245,Walther Faesch Aktiengesellschaft.
1,1246,Schlesische Handels- und Grunderwerbs-Aktiengesellschaft.
1,1246,"Geppert & Cie., Aktiengesellschaft."
1,1246,Reinhart Graessner Aktiengesellschaft.
1,1246,Carl Treeck Söhne Aktiengesellschaft.
1,1247,Haardt & Co. Aktiengesellschaft.
1,1247,Spezialitäten Westhandels-Aktiengesellschaft in Liqu.
1,1247,Stahlschmidt & Co. Aktiengesellschaft.
1,1247,"Gebrüder Kallmeyer, Aktiengesellschaft."
1,1248,Frankfurter Getreidehandel Aktiengesellschaft.
1,1248,Frankfurter Weinhandels-Aktiengesellschaft.
1,1248,"P. Wohl, Akt.-Ges."
1,1248,S. Zeimann Aktiengesellschaft.
1,1249,"Ernst Döring & Rückert, Aktiengesellschaft."
1,1249,Industriebedarf Aktien-Gesellschaft.
1,1249,Einkaufs-Gesellschaft für Gastwirte Aktiengesellschaft.
1,1250,Bd. Blumenfeld Kommanditges. auf Aktien.
1,1250,Bödiker Aktiengesellschaft.
1,1250,Brahmfeld & Gutruf Komm.-Ges. a. A.
1,1250,F. G. Brückner Erben Aktiengesellschaft.
1,1251,Hanse Zigarren Vertriebs Aktiengesellschaft.
1,1251,Jacob Hirsch Akt.-Ges.
1,1251,Bruno Loerzer Hamburg Aktiengesellschaft.
1,1251,Montan-Aktiengesellschaft.
1,1251,Gustav Nölter Hamburg Aktiengesellschaft.
1,1251,Rheinland Zigarren Vertriebs Aktiengesellschaft.
1,1252,überseeische Handels-Aktiengesellschaft.
1,1252,Willy Witt Hamburg Aktiengesellschaft.
1,1252,Eisen-Aktiengesellschaft Lothringen.
1,1253,Gustav Lichdi Akt.-Ges.
1,1253,Josef Karl & Co. Akt.-Ges.
1,1253,„Gepag“ Groß-Einkaufs- und Produktions-Aktiengesellschaft deutscher Konsumvereine in Liqu.
1,1253,Kistenverschluss Aktiengesellschaft.
1,1254,A. S. Danziger Akt.-Ges.
1,1254,"Waren-Einkaufs-Verein Lauban, Act.-Ges."
1,1254,Akt.-Ges. für Import und Export.
1,1255,Gebr. Assuschkewitz Aktiengesellschaft.
1,1255,Automaterial-Handels-Aktiengesellschaft.
1,1255,Ch. Eitingon Aktiengesellschaft.
1,1255,Milchvertriebs-Aktien-Gesellschaft.
1,1256,Ravag Rauchwaren-Versteigerungs-Akt.-Ges.
1,1256,"Ein- u. Verkaufsgesellschaft Erzgebirgischer Landwirte, Akt.-Ges."
1,1256,"Schwäbische Glashandelsgesellschaft, Aktiengesellschaft."
1,1257,Karl Wille Aktiengesellschaft.
1,1257,Pommersche Getreidehandels-Aktiengesellschaft.
1,1257,"Bellinghausen, Aktiengesellschaft."
1,1257,"„Kosmos“, Handel und Industrie Aktiengesellschaft."
1,1258,"Pommer & Thomsen, K.-G. a. A."
1,1258,Gebrüder Simon A.-G.
1,1258,"Mühlenvereinigimg Meiningen, Aktiengesellschaft."
1,1258,Walo Holzhandelsgesellschaft K.-G. a. A.
1,1259,Adolf Harth Aktiengesellschaft.
1,1259,„Merkur“ Aktiengesellschaft.
1,1259,"Emil Kraft, Holzgroßhandlung, Aktiengesellschaft."
1,1259,Viehverkaufshalle Wunstorf Akt-Ges.
1,1260,Schocken Aktiengesellschaft.
1,1260,V ersicherungs-Gewerbe. Berliner Hagel-Assecuranz-Gesellschaft von 1832. ir
1,1262,Deutsche Kranken-Versicherungs-Aktien-Gesellschaft.
1,1263,Iduna Holding Aktiengesellschaft.
1,1265,„Rühag“ Rückversicherungs-Akt.-Ges.
1,1265,Salus Gemeinnützige Krankenhauskosten-Versicherungs- Aktiengesellschaft.
1,1265,Wikinger Lloyd Transport-Versicherungs-A.-G.
1,1266,Katag Aktiengesellschaft für Verwaltung und Vermittlung von Versicherungen.
1,1266,„Brema“ Versicherungs-Aktien-Gesellschaft.
1,1266,Dresdner Rückversicherungsaktiengesellschaft.
1,1267,„Eos“ Deutscher Bestattungs- und Lebens-Versicherungs-Verein Aktiengesellschaft.
1,1267,Eos und Excelsior Deutsche Volks- und Lebens­ versicherungs-Aktiengesellschaft.
1,1268,Frankfurter Allgemeine Ver sicherungs-Akt-Ges. in Liqu.
1,1268,Gothaer Allgemeine Versicherungsbank Aktiengesellschaft
1,1269,„Albingia“ Versicherungs-Aktiengesellschaft in Hamburg. //
1,1271,Hamburger Lebensversicherung Aktiengesellschaft.
1,1272,"„Niedersachsen“ Versicherungs-Aktiengesellschaft, Hamburg."
1,1272,Schwarzmeer- und Ostsee-Transportversicherungs­ aktiengesellschaff.
1,1273,Badische Pferdeversicherungs-Anstalt A.-G.
1,1273,Karlsruher Lebensversicherungsbank A.-G.
1,1274,Kölnische Hagel-Versicherungs-Gesellschaft.
1,1276,"„Amisia“, Versicherungs-Aktien-Gesellschaft."
1,1276,Hansa-Lloyd Aktiengesellschaft für Versicherungsvermittlung.
1,1277,Magdeburger Hagelversicherungs-Gesellschaft.
1,1279,Münchener Rückversicherungs-Gesellschaft.
1,1281,Oldenburger Versicherungs-Gesellschaft.
1,1282,Versicherungs-Vermittlungs-Aktiengesellschaft „Siegerland“.
1,1282,Aktiengesellschaft für industrielle Versicherungen.
1,1283,„Anker“ Allgemeine Versicherungs- u. Transport- Aktiengesellschaft.
1,1283,"„Union“, Actien-Gesellschaft für See- u. Fluss-Versicherungen."
1,1284,"Württembergische Feuerversicherung, Aktiengesellschaft. ///"
1,1286,"Union, Allgemeine Deutsche Hagel-Versicherungs-Gesellschaft. //"
1,1288,"Verschiedene Gesellschaften, neueste Gründungen. Aktiengesellschaft fUr Industrie u. Technik."
1,1288,Aktiengesellschaft für Strahlentherapie.
1,1289,Asien-Kontor Aktiengesellschaft.
1,1289,Ausstelhmgs- Aktiengesellschaft.
1,1289,"Ausstellungshalle am Zoo, Aktiengesellschaft."
1,1290,Berlin-Cöpenicker Betriebsgesellschaft für Anschlußgleise Akt.-Ges.
1,1290,Berlin-Nord Industrie-Aktiengesellschaft.
1,1290,Berliner Industrie Akt.-Ges. (Berlinag).
1,1290,Dampfwäscherei Wilhelm Otto Aktiengesellschaft
1,1290,Deutsche Aktiengesellschaft für Landeskultur.
1,1291,Deutsche Desinfektions-Bedarfs-Aktiengesellschaft.
1,1291,Deutsche Photomaton Aktion-Gesellschaft.
1,1292,Deutsche Raumschutz-Aktiengesellschaft.
1,1292,Kartro-Aktien-Gesellschaft.
1,1292,Kores Aktiengesellschaft Fabrik für Bürobedarf.
1,1292,Tobis Tonbild-Syndikat Aktiengesellschaft.
1,1294,Lohmann -Werke Aktiengesellschaft.
1,1294,Breslauer Messe- und Ausstellungs-Aktiengesellschaft.
1,1295,Handelsgesellschaft Schlesischer Landwirte Aktiengesellschaft.
1,1295,Cuxhavener Fischmehl- u. Dampf trän-Werke Akt.-Ges.
1,1295,Deutsche Verkaufsapparate-Aktiengesellschaft.
1,1295,Industrie-Verwaltungs-Aktiengesellschaft.
1,1296,Frankfurter Kunstverein.
1,1296,Conrad Deines jr. Actien-Gesellschaft.
1,1297,Städtische Werke Aktiengesellschaft.
1,1297,Max Schetelig vormals Philipp Paulig Akt.-Ges.
1,1297,"Haus der Landwirte in München, Aktiengesellschaft."
1,1298,"Ifla Industrie für Landwirtschaft, Aktiengesellschaft."
1,1298,"Photo-Sparkauf-Aktiengesellschaft,"
1,1298,"Franz Ströher, Aktiengesellschaft."
1,1299,"Gebrüder Adt, Aktiengesellschaft."
1,1300,Ahrtalbank Aktiengesellschaft.
1,1301,Allgemeine Bau- und Zweckspar-Aktiengesellschaft in Liqu.
1,1301,Bank für wertbeständige Anlagen Aktiengesellschaft.
1,1301,Louis Berndt Nchf. Bank-Kommanditgesellschaft auf Aktien.
1,1302,Commercial Investment Trust Aktien-Gesellschaft (Gitag).
1,1302,Deutsche Automobilbank Aktiengesellschaft in Liqu.
1,1303,Deutsche Centralbodenkredit-Aktiengesellschaft. //
1,1318,Deutsche Bank und Disconto-Gesellschaft.
1,1321,Deutsche Hypothekenbank (Actien-Gesellschaft).
1,1324,Deutsche Landesbankenzentrale Aktiengesellschaft.
1,1326,Deutsche Rentenbank.
1,1329,Deutsche Rentenbank-Kreditanstalt (Landwirtschaftliche Zentralbank).
1,1335,Industrie-Kontrolle Aktiengesellschaft.
1,1335,Preussisches Leihhaus.
1,1336,* „Treubau“ Aktiengesellschaft für Baufinanzierungen im Deutschen Reiche.
1,1337,Treuverkehr Deutsche Treuhand-Aktiengesellschaft für Warenverkehr.
1,1337,"Hansabank Bonn, A.-G."
1,1338,Braunschweig-Hannoversche Hypothekenbank.
1,1341,Norddeutsche Finanzierungs-Aktien-Gesellschaft.
1,1341,Niederlausitzer Bank Aktiengesellschaft.
1,1342,Vereinsbank Crimmitschau Aktiengesellschaft vorm. C. G. Händel.
1,1343,"Bank von Danzig,"
1,1346,Danziger Hypothekenbank Aktiengesellschaft.
1,1350,Danziger Privat-Actien-Bank.
1,1352,Landwirtschaftliche — vormals Landschaftliche — Bank Aktiengesellschaft.
1,1352,Dresdner Kassen-Verein Aktiengesellschaft.
1,1353,Sächsische Bodencreditanstalt.
1,1358,Union-Bank Aktiengesellschaft.
1,1358,Frankfurter Hypothekenbank.
1,1364,"Frechener Volksbank für Handwerk, Industrie und Landwirtschaft"
1,1364,Freitaler Kredit-Bank Akt.-Ges.
1,1364,Getreidevereinigung Aktiengesellschaft.
1,1365,Vereinsbank & Spargesellschaft für Stadt- u. Landgemeinden A.-G.
1,1365,Heinsberger Volksbank.
1,1365,Hannoversche Bodenkredif-Bank.
1,1368,Norddeutsche Treuhand-Aktien-Gesellschaft.
1,1368,Ibhenbiirener Volksbank.
1,1369,Landesgewerbebank für Südwestdeutschland Akt.-Ges.
