band,page,firmname
1,262,Allgemeine Elsässische Bankgesellschaft (Societe Generale Alsacienne de Banque).
1,263,Süddeutsche Festwertbank Aktiengesellschaft.
1,264,Württembergische Hypothekenbank.
1,267,Württembergischer Kreditverein Aktiengesellschaft. /// — Bodenkreditanstalt. —
1,269,Thüringische Landes-Hypothekenhank Aktiengesellschaft. //
1,272,Thüringische Landes-Treuhand- u. Revisions-A.-G.
1,273,Geestemünder Bank.
1,273,Bayerische Bodencredit-Anstalt.
1,275,„Fides“ Treuhand-Aktiengesellschaft.
1,276,"Schacht bau, Asphaltgewinnung und -Verarbeitung. Gemeinnützige Baugeseilschaft für Aachen u. Burtscheid."
1,276,J. C. Degner & Söhne Aktiengesellschaft.
1,276,Gemeinnützige Heimstätten-Akt.-Ges. Bergedorf.
1,277,Aktien-Gesellschaft Werderscher Markt.
1,277,Aktiengesellschaft für Boden- u. Industriewerte.
1,277,Akt.-Ges. für Grundstücks-Verwaltung am Friedrichshain.
1,278,Aktiengesellschaft für Verwaltung von Grundstücken.
1,278,Algeni Bauaktiengesellschaft.
1,278,Allgemeine Häuserbau-Actien-Gesellschaft.
1,280,„Antik“ Grundstücks-Aktiengesellschaft.
1,280,Autogara Aktiengesellschaft für Automobilbetrieb.
1,281,Baugesellschaft Berlin-Innenstadt Akt-Ges.
1,281,Baugesellschaft Reichsstrasse 90/92 Akt.-Ges.
1,281,Bau-Kommanditgesellschaft auf Aktien für Ausführung und Beratung.
1,281,Bauka Grundstücks-Aktiengesellschaft.
1,281,Bayerischer Platz 1 Grundstücks-Aktiengesellschaft.
1,282,Becker-Fiebig-Bauunion Aktiengesellschaft.
1,282,Belzigerstraße 61 Grundstücksverwaltungsges. Akt.-Ges.
1,282,Berliner Bau- und Terrain-Aktiengesellschaft.
1,282,Berliner Grundstücksverwaltungs-A.-G. Kurfürstenstraße 103.
1,283,"Julius M. Bier, Aktiengesellschaft."
1,283,Brandenburgische Parzellierungs-Aktien-Geseilschaft.
1,283,Bürohaus Friedrichstraße Friedrichistraße 105.
1,283,Calvinstraße 4 Grundstücks-Aktiengesellschaft.
1,283,Chalokasi Grundstücks-Aktiengesellschaft.
1,284,Deutsche Grundbesitz-Akt.-Ges.
1,284,„Ditag“ Grundstücks-Aktiengesellschaft.
1,284,Einfamilienhaus „Rothenburg“ A.-G.
1,284,Ellenax Akt.-Ges. über das Grundstück Tieckstr. 29 zu Berlin.
1,285,Gartenstadt Atlantic Aktiengesellschaft.
1,285,Gerstella Grundstücks-Akt.-Ges.
1,285,„Gisella“ Grundstücks-Erwerbs- u. Verwaltungs-Akt.-Ges.
1,285,Goltz-Immobilien-Akt.-Ges.
1,286,Grundbesitz-Aktiengesellschaft.
1,286,* Grundbesitz-Verwaltungs-Aktiengesellschaft.
1,286,Grunderwerbsgesellschaft Dresdenerstraße 52/53 Aktiengesellschaft.
1,286,Grundstücks-Akt.-Ges. Am Dönhoffsplatz.
1,286,Grundstücks-Aktiengesellschaf t an der Eulerstrasse.
1,287,"Grundstücks-Akt.-Ges., Frankenstr. 14."
1,287,Grundstücks-Aktiengesellschaft Idyll Groß-Glienicke.
1,287,Grundstücks-Aktiengesellschaft Jülicherstrasse 1.
1,287,Grundstücksgesellschaft Keithstrasse 6 Aktiengesellschaft.
1,287,Grundstücksgesellschaft Kurfürstenstraße 48 Aktiengesellschaft.
1,288,Grundstücks-Treuhand- und Verwaltungs-Akt.-Ges.
1,288,Grundstücksverwaltungsgesellschaft Schrammstr. 3 Aktiengesellschaft.
1,288,Grundstücksverwertungs-Aktien-Gesellschaft Wilhelmstraße 40.
1,288,Gutsverwaltung Sachsenland Aktiengesellschaft.
1,288,Halskestrasse Grundstücks-Aktiengesellschaft.
1,289,Hugo Hart mann Aktiengesellschaft.
1,289,Hauptstädtische Häuser-Akt.-Ges.
1,289,Haus Freising Grundstücksverwertungs-Akt.-Ges. in Liqu.
1,289,Haus Friedrich-Karlstraße 7 Aktiengesellschaft.
1,289,Haus Pflügerstr. 60 Aktiengesellschaft.
1,289,Hausbau u. Grundstücksverkehr-Akt.-Ges.
1,290,"Hauserwa, Hauserwerbs-Aktiengesellschaft."
1,290,"Hoch- u. Siedlungshau-Akt.-Ges. „Husag“,"
1,290,Hohenzollern-Korso Grundstücks-Aktiengesellschaft.
1,290,Holzhallenbau Aktiengesellschaft „System Kühler“.
1,291,Industrie-Concern-Aktiengesellschaft in Liqu.
1,291,Industrie-Gebäude Berlin-Hohenschönhausen Aktiengesellschaft.
1,291,„Interbau“ Internationale Bau- und Finanzierungs- Aktiengesellschaft.
1,292,Isis Grundstücksverwertungs- Aktiengesellschaft.
1,292,Kaiser Wilhelmstraße 57/58 Verwaltungs- und Verwertungs-Aktiengesellschaft
1,292,Kinobau-Aktiengesellschaft.
1,292,"Komet Grundstücks-Aktiengesellschaft,"
1,292,"Lar Grundstücksverwaltungs-Aktiengesellschaft,"
1,293,„Lifag“ Grundstücks-Aktien-Gesellschaft.
1,293,„Lignum“ Grundstücks-Aktiengesellschaft.
1,293,Linkao Grundstücks-Aktiengesellschaft.
1,293,Loupieter Grundstücks-Aktiengesellschaft.
1,294,"Lützow-Haus Aktien-Gesellschaft,"
1,294,Luisenstraße 17 Grimdstücksverwertimgs-Akt.-Ges.
1,294,Medusa Grimdstücks-Akt.-Ges.
1,294,Meridian Grundstücks-Aktiengesellschaft.
1,294,Mohrenstraße 53 Grundstücks-Aktiengesellschaft.
1,295,Mühlenau Boden-Aktiengesellschaft.
1,295,Muhag Grundstücks-Aktiengesellschaft.
1,295,Norddeutsche Aktiengesellschaft für Grundbesitz.
1,295,Norddeutsche Immobilien-Aktiengesellschaft.
1,295,Nova Grundstücksaktiengesellschaft.
1,296,"Oikos, Grunderwerbs- u. Verwaltungs-Aktiengesellschaft."
1,296,"Preußenpark - Wohnbau Aktiengesellschaft,"
1,296,"Providentia Grundstücks-Aktiengesellschaft,"
1,296,Refacfa-Immobilien-Akt.-Ges.
1,296,Riehlstrasse 8 Grundstücks-Aktiengesellschaft.
1,297,Rosenthalerstraße 32 Grundstücks-Akt.-Ges.
1,297,Rudolfia-Grimdstiicks- Aktiengesellschaft.
1,297,Schönower Immobilien-Aktien-Gesellschaft.
1,298,Schrobsdorff & Herrmann Immobilien Aktiengesellschaft.
1,298,"Schweitzer & Oppler Borsigwalde, Aktiengesellschaft für Grundstücksverwalfung."
1,298,Seriosa Grundstücks-Aktiengesellschaft.
1,298,Standard Boden- und Terrain-Aktiengesellschaft.
1,299,Tempelhofer Feld Akt.-Ges. f. Grundstücksverwertung. //
1,300,Terrain- und Wohnungsbau Aktiengesellschaft „Germania“.
1,300,Terrain-Akt.-Ges. am Flugplatz Johannisthal-Adlershof in Liqu.
1,301,Terrain-Aktiengesellschaft Botanischer Garten—Zehlendorf West.
1,303,Terrain-Aktiengesellschaft Gladower-Schanze.
1,303,Terrain-Aktien-Gesellschaft Heiligensee.
1,303,"Trabener Straße 21, Grundstücks-Aktiengesellschaft."
1,303,"Uhlandstrasse 149, Grundstücksverwaltungs-Aktiengesellschaft."
1,303,Waldhaus-Siedlungs-Akt.-Ges.
1,304,West-City Grundstücks-Aktiengesellschaft.
1,304,Wohnag Aktiengesellschaft für Wohnungswesen.
1,304,Wohnhaus-Grundstücks-Verwertungs- Aktiengesellschaft Am Lehoiner Platz.
1,305,Äktien-Gesellscbaft. Straße 24/25 (bei Jul. Brettler).
1,305,Ravensberger Handels- und Immobiliengesellscbaft.
1,305,Aktiengesellschaft für Bodenverwertung.
1,306,Gemeinnützige Aktiengesellschaft für Urbarmachung und Siedlung.
1,306,Handelshof Aktiengesellschaft.
1,306,Sondermann & Stier Aktiengesellschaft.
1,307,"f Ohren, daß im letzten Jahre erstmalig die Zinsen für die Hypothek der Sächsischen Bodencredit-Anstalt in Höhe von 600000 RM aufzubringen waren. Eduard Hammer Akt-Ges."
1,308,Grafenberger Grundstiicksverwertungs Aktiengesellschaft.
1,308,„Hansa“ Rheinische Immobilien-Aktiengesellschaft in Liqu.
1,308,Industrieterrains Düsseldorf-Reisholz Aktiengesellschaft.
1,309,Eilenburger Nahrungsmittel-Werke Aktiengesellschaft.
1,309,Tiefbau-Aktiengesellschaft „Unterweser“.
1,309,Aktienhaugesellschaft für kleine Wohnungen.
1,310,"Franken-Allee, Aktiengesellschaft."
1,311,"Gartenstadt-Gesellschaft Frankfurt a. M., Aktiengesellschaft."
1,312,Aktiengesellschaft für Grundstücksverwertung.
1,312,Gemeinnützige Heimstätten-Akt.-Ges. Hamm i. W.
1,312,Baugesellschaft Hanau Aktien-Gesellschaft.
1,312,Continental-Asphalt-Aktiengesellschaft.
1,315,Deutsche Asphalt-Actien-Geselischaft der Limmer und // Vcrwohler Grubenfelder.
1,317,Hannoversche Immobilien-Gesellschaft in Liqu.
1,318,Terraingesellschaft „Am Maschpark“ Aktiengesellschaft.
1,318,"Treuhand-Akt.-Ges. für Industrie, Handel und Gewerbe."
1,319,"Aktiengesellschaft für Grundstücks-Verwaltung und Verwertung Köln, Hohestraße 11/13."
1,319,"Ostdeutsche Spar- u. Bau-Aktiengesellschaft für Beamte, Angestellte u. Arbeiter „Osba“ (Dewog-Verband)."
1,319,Gemeinnützige Krefelder Siedlungs-Aktiengesellschaft.
1,320,Leipziger Westend-Baugesellschaft.
1,320,Rheinische Hoch- und Tiefbau-Aktiengesellschaft.
1,321,"Baugesellschaft Nikolaiplatz, Aktiengesellschaft."
1,321,"Haus für Handel und Gewerbe, Aktien-Gesellschaft."
1,321,Immobiliengesellschaft München-Süd-Ost A.-G.
1,321,Warna Aktiengesellschaft für Grundbesitz.
1,322,Strassenbau-Aktiengesellschaft.
1,322,Bauaktiengesellschaft Bahnhofsvorplatz Oberhausen.
1,323,Oberhausener Baugesellschaft auf Aktien.
1,323,Saar-Land-Bau- Aktiengesellschaft.
1,323,Gemeinnützige Bau- und Siedlungs-Aktiengesellschaft.
1,323,Grundstücks-Verwertungs-Aktiengesellschaft Mangenherg in Liqu.
1,324,Grundstücks-Aktiengesellschaft zur Sonne.
1,324,"C. Oellrich, Aktiengesellschaft."
1,324,Cotta-Haus Aktien-Gesellschaft.
1,324,"Kronenbau Aktiengesellschaft,"
1,325,Boden-Aktiengesellschaft Hamburg-Wilhelmsburg.
1,325,Baugesellschaft Aktiengesellschaft.
1,325,"Hephaestus-Werk Aktienges., Vermietung und Verwertung von Grundbesitz."
1,325,Eisenbau Wyhlen Aktiengesellschaft.
1,326,"Erdöl-, Torf- und Graphit-Gewinnung, Aktiengesellschaft für Kohlenbergbau und Industrie."
1,326,Aktiengesellschaft für Unternehmungen der Eisen- und Stahlindustrie.
1,326,Gebr. Böhler & Go. Aktiengesellschaft.
1,328,Braunkohlen- und Brikett-Industrie Aktiengesellschaft — Buhiag.
1,330,Thyssen Eisen- und Stahl-Aktiengesellschaft.
1,331,"Vereinigte Königs- und Laurahütte, Actien-Gesellschaft // für Bergbau und Hüttenbetrieh."
1,334,Verkehrs- und Handels-Aktiengesellschaft.
1,334,Borsigwerk Aktiengesellschaft.
1,335,"Baroper Walzwerk, Aktien-Gesellschaft."
1,337,Capito & Klein Aktiengesellschaft.
1,338,"Storch & Schöneberg, Akt-Ges. für Bergbau u. Hüttenbetrieb in Liqu."
1,339,Eisenwerk Kraft.
1,340,358 950 Stahlwerk Ergste Aktien-Gesellschaft.
1,340,Fried. Krupp Aktiengesellschaft.
1,345,"Torfwerk Feilenbach, Actiengesellschaft."
1,346,Sächsische Gußstahl-Werke Döhlen Aktiengesellschaft.
1,348,"Geisweider Eisenwerke, Aktiengesellschaft."
1,350,Consolidirtes Braunkohlen-Bergwerk „Marie“ bei Atzendorf. II
1,351,"191 657 * Braunkohlenwerke Bruckdorf, Aktiengesellschaft."
1,352,Hüttenwerke Trotha Aktiengesellschaft.
1,352,Astrum-Erdöl-Aktiengesellschaft.
1,352,Bergbau- und Hütten-Aktien-Gesellschaft „Friedrichshütte“. //
1,355,*„Wurag“ Eisen- und Stahlwerke Aktiengesellschaft.
1,355,„Sachtleben“ Aktiengesellschaft für Bergbau und chemische Industrie.
1,358,Aktiengesellschaft für Brennstoffverwertung.
1,358,Prehlitzer Braunkohlen-Aktien-Gesellschaft.
1,359,"Bayerische Berg-, Hütten- u. Salzwerke Aktiengesellschaft."
1,359,"0, 5 %. Bleichertsche Braunkohlenwerke Neukirchen-Wyhra A.-G."
1,360,Stadtberger Hütte A.-G. in Liqu.
1,360,"Gutehoffnungshütte, Aktienverein für Bergbau und Hüttenbetrieb."
1,362,Griendtsveen Torfstreu - Aktiengesellschaft.
1,363,Düsseldorfer Eisenhüttengesellschaft.
1,364,Actien-Verein Johanneshütte.
1,365,Stahlwerke Brüninghaus Aktien-Gesellschaft.
1,365,Ruhrstahl Aktiengesellschaft.
1,367,"Edelmetall- und Schmuckwaren, Blattmetall, Metalltuch. Brause & Co., Aktiengesellschaft."
1,367,Rheinische Nadelfabriken Aktiengesellschaft.
1,368,"Joh. Moritz Rump, Akt.-Ges."
1,368,Bilstein Bandeisenwalzwerks-Akt.-Ges.
1,368,"Maschinenfabrik Esterer, Aktiengesellschaft."
1,369,Almweiler Email- u. Metall-Werke vorm. Franz Ullrich Söhne.
1,369,Alpine Akt.-Ges. Eisengießerei u. Maschinen-Fabrik.
1,370,Maschinenfabrik Augsburg-Nürnberg A.-G.
1,372,A. Bizer Aktiengesellschaft.
1,373,Akt.-Ges. für Industrie- u. Eisenbahnbedarf in Berlin.
1,373,Akuba Aktiengesellschaft für Industriewerte.
1,373,Ambi Waggon- und Apparatebau Aktiengesellschaft.
1,373,AWG Allgemeine Werkzeugmaschinen-Aktiengesellschaff.
1,374,Berliner Maschinenbau-Actien-Gesellschaft vormals // L. Schwartzkopff.
1,377,Fritz Caspary Akt.-Ges.
1,377,"Deutsche Babcock & Wilcox-Dampfkessel-Werke, Actien-Gesellschaft."
1,379,Deutsche Industrie-Werke Aktiengesellschaft.
1,381,Egersdörfer Maschinen Aktiengesellschaft.
1,381,Emaille-Weburg Aktiengesellschaft.
1,381,Carl Flohr Aktiengesellschaft.
1,383,Getriebe- und Maschinenbau Aktien-Gesellschaft.
1,383,"Curt von Grueber, Maschinenbau, Akt.-Ges."
1,384,Rud. A. Hartmann Aktiengesellschaft.
1,384,Hartung Aktiengesellschaft Berliner Eisengiesserei u. Gussstahlfabrik.
1,385,Heinrich Kämper Motorenfabrik Aktiengesellschaft.
1,386,Linke-Hofmann-Busch-Werke Aktiengesellschaft. //
1,391,Metallum Aktiengesellschaft.
1,391,„Primissima“ Metallhettstellen-Aktiengesellschaft.
1,391,Paul Sander & Co. Akt.-Ges.
1,391,Stock Motorpflug Aktiengesellschaft in Liqu.
1,392,Taifun Apparatebau Aktiengesellschaft.
1,392,Triebwagenbau Aktiengesellschaft.
1,392,Sächs.-Anhalt. Armaturenfabrik und Metallwerke Act.-Ges.
1,393,Bevenser Maschinenfabrik Aktiengesellschaft.
1,393,"Gehr. Dickertmaim Hebezeugfabrik, Aktiengesellschaft."
1,394,"Werkzeugmaschinen-Fabrik Gildemeister & Co., Akt.-Ges. //"
1,395,Neu walz werk Aktiengesellschaft.
