band,firmname_page,firmname
2,636,"Schriftgiesserei D. Stempel, Akt.-Ges."
2,637,Vag Vakuumanlagen- u. Kolbenring-Akt.-Ges.
2,637,Werkzeug- u. Maschinenbau A.-G.
2,638,"Schraubenspundfabrik Wm. Kromer, A.-G."
2,638,Fürstenberger Parzellierungs-Aktiengesellschaft
2,639,Hutzler & Pretsfelder Akt.-Ges. Metallw arenfabriken
2,639,Württembergische Metallwarenfabrik
2,640,"Karl Hamacher, Aktiengesellschaft"
2,641,Wesselmann-Bohrer Co. Akt.-Ges.
2,641,"Bockhacker Werk, Aktiengesellschaft"
2,642,APAG Apollo-Plantectorwerk-Aktiengesellschaft
2,642,"Gothaer Waggonfabrik, Akt.-Ges."
2,644,Leinbrock-Werke Akt.-Ges.
2,644,Erftwerk Aktiengesellschaft
2,646,Vereinigte Maschinenfabriken A.-G.
2,647,"Paradiesbettenfabrik M. Steiner & Sohn, Akt.-Ges."
2,649,"Paul Schreck, Akt.-Ges."
2,649,Wegelin & Hübner Maschinenfabrik und Eisengiesserei Aktiengesellschaft
2,650,"Metallwerk Hamburg Akt.-Ges. in Liqu., Hamburg"
2,650,Metallwerke Aktien-Gesellschaft vorm. Luckau & Steffen
2,650,"J. H. Watty & Sohn Akt.-Ges. in Liqu., Hamburg P.1,"
2,650,Vereinigte Herd- und Ofenfabriken C. Woeste Akt.-Ges.
2,651,G. D. Braeker Söhne Maschinenbau-Akt.-Ges.
2,651,Heraeus-Vakuumschmelze Akt.-Ges.
2,652,Hackethal-Industrie-Gesellschaft (Higes) Akt.-Ges.
2,652,Gebr. Körting Akt.-Ges.
2,654,Prometheus-Werke Akt.-Ges.
2,655,"M.H. Thofehrn Akt.-Ges,., Maschinenfabrik Hannover-\Wülfel"
2,655,Eisenwerk L. Meyer jun. & Co. Akt.-Ges.
2,656,"Kleinmaschinen-Aktiengesellschaft de Thon & Cie. in Liqu,,"
2,656,Schnellpressenfabrik Akt.-Ges. Heidelberg
2,658,Ostdeutsche Maschinenfabrik vorm. Rud. Wermke
2,659,Hugo Engelmann & Co. Akt.-Ges.
2,659,"Aluminium und Magnesium Fabrik, Act.-Ges."
2,660,Bremer Draht- und Seilindustrie Aktiengesellschaft
2,660,"M. H. Wilkens & Söhne, Akt.-Ges."
2,660,Stahl- u. Walzwerk Hennigsdorf A.-6.
2,661,"Herdfabrik und Eisengiesserei, Akt.-Ges."
2,662,"Adolf Deichsel, Drahtwerke und Seilfabriken Akt.-Ges."
2,662,"Fabrik für landwirtschaftliche Maschinen A.-G. in Liqu.,"
2,662,"Adolf vom Braucke, Aktiengesellschaft."
2,663,Kilb & Co. Aktiengesellschaft
2,663,Oskar Gehlhaar Akt.-Ges.
2,664,"G. M. Pfaff Akt.-Ges,,"
2,664,Federstahl Aktiengesellschaft
2,665,"Eisen- u. Stahl-Akt.-Ges. in Liqu., Kempten."
2,665,Ford Motor Company Aktiengesellschaft
2,667,"Gottfried Hagen, Akt.-Ges."
2,667,Metallhütte Brohl Akt.-Ges.
2,668,Rheinland-Garagenbetriebs-Aktiengesellschaft in Liqu.
2,668,"Walther & Cie., Aktien-Gesellsehaft"
2,669,Maschinen- und Werkzeugfabrik Aktiengesellschaft
2,670,Maschinenfabrik Act.-Ges. vorm. Wagner & Co.
2,671,"Deutsche Edelstahlwerke Aktiengesellschaft,"
2,672,"Maschinenfabrik Carl Zangs, Akt.-Ges."
2,672,Ostdeutsche Stanz- und Emaillierwerke Akt.-Ges. in Liqu.
2,673,„Imtag“ Internationale Maschinen- u. Tiefbohrgeräte-Fabrik
2,673,"Lauterberger Blechwarenfabrik, Aktiengesellschaft"
2,674,"Leipziger Stahlfederfabrik Herm. Müller, Akt.-Ges."
2,674,Leipziger Tangier-Werk Aktiengesellschaft
2,675,Pittler Werkzeugmaschinenfabrik Aktiengesellschaft
2,676,"Hugo Schneider, Akt.-Ges."
2,677,Gustav Tietze Akt.-Ges.
2,678,Ver. Metallwaren-Fabriken Carl Thielmann Akt.-Ges.
2,678,"Sohler-Werke, Aktiengesellschaft"
2,678,"Stahl- u. Eisenwerke Döhner, Akt.-Ges."
2,679,"Bremer u. Brückmann Blechwarenfabrik, Süddeutsche Abteilung, Aktiengesellschaft"
2,679,Lübecker Maschinenbau-Ges.
2,680,Schetelig & Nölck Akt.-Ges.
2,681,"Stanz- und Emaillirwerke, vormals Carl Thiel & Söhne"
2,682,"Potthoff & Flume, Aktiengesellschaft"
2,683,"Schiekler, Bohe & Co., Akt.-Ges. in Liqu., Lüttringhausen."
2,683,Kosmos-Mühlenbau Akt.-Ges.
2,683,"Maschinenfabrik Grevenbroich Aktiengesellschaft,"
2,684,"Elster & Co., Akt.-Ges."
2,684,"Julius Römheld, Akt.-Ges.,"
2,684,Heinrich Lanz Aktiengesellschaft
2,686,"Sehmidt & Willmes, Akt.-Ges,.,"
2,687,„Sümap“SüdwestdeutscheMetallwarenfabrik u. Apparatebau
2,687,R. & 6. Schmöle Akt.-Ges.
2,688,Th. Groke Aktiengesellschaft
2,688,Heymer & Pilz Akt.-Ges.
2,689,"Hüttenwerk, Eisengiesserei u. Maschinenfabrik Michelstadt"
2,690,"Gebr. Franke, Akt.-Ges."
2,690,Metall-Aetzwerke Akt.-Ges.
2,691,Metallpapier- Bronzefarben-Blattmetallwerke- Akt.-Ges.
2,692,Siiddeutsche Bremsen-Aktiengesellschaft
2,693,Frankfurter Sehleifmittel-Werk Eichler & Co. Akt.-Ges.
2,693,C. S. Schmidt Drahtwerke Aktiengesellschaft
2,694,"Armaturen- u. Maschinenfabrik, Aktiengesellschaft"
2,695,"Beldam-Werke, Maschinen- und Apparatefabrik Akt.-Ges."
2,696,Fränkische Handels- u. Industrie-Akt.-Ges.
2,696,"Gebrüder Meier, Metallkapselfabrik, Akt.-Ges,,"
2,696,Metallwaarenfabrik vorm. Max Dannhorn A. -6.
2,697,Press- Stanz- & Ziehwerke Rud. Chillingworth Akt.-Ges.
2,698,Maschinenfabrik vorm. Georg Dorst Ar 6.
2,698,Mauser-Werke A.-G.
2,699,Ramesohl & Schmidt Aktiengesellschaft
2,700,„Kronprinz“ Aktiengesellschaft für Metallindustrie
2,701,"G. Kromschröder, Akt.-Ges."
2,702,Enzinger-Union-Werke Akt.-Ges.
2,704,Allgemeine Gold- u. Silberscheide-Anstalt
2,705,Heimerle & Meule Akt.-Ges.
2,705,"Sandt-Raab Aktiengesellschaft, Schuhmasehinen- und Werkzeugfabrik"
2,706,H. B. Seissenschmidt Akt.-Ges.
2,706,Union-Werke Akt.-Ges. Kunstdruck-Metallwaren- und Plakatefabrik in Radebeul.
2,707,"Wilh. Hegenscheidt,. Akt.-Ges."
2,708,Dürrwerke Aktiengeselischaft
2,709,"Rudolf Geiger Akt.-Ges. in Liqu., Ravensburg."
2,709,Fortunabetten-Fabrik Akt.-Ges.
2,709,Hilgers Aktien-Gesellschaft
2,710,N. Pelzer Wwe. Aktiengesellschaft
2,711,"Carl Wolf, Rossweiner Achsen-, Federnfabrik und Gesenk- schmiede, Aktiengesellschaft"
2,711,"Rotenburger Kaltwalzwerk Akt.-Ges. in Liqu,,‚Rotenburga.F."
2,711,Prinz Carlshütte Eisengiesserei u. Maschinenbau Akt.-Ges.
2,712,„Industriewerke Akt.-Ges. Ri:
2,712,"C. A. Lux, Aktiengesellschaft"
2,712,"Saar-Garage, Akt.-Ges. ."
2,712,ringen“
2,713,"Saar-Metallwerke A.-G., (8. A. des Fonderies de Cuivre.),"
2,713,Bergedorfer Eisenwerk Akt.-Ges. Astra-Werke
2,713,Aktien-Feilen-Fabrik Sangerhausen
2,714,Maschinenfabrik Sangerhausen Aktien-Gesellschaft
2,715,Schlossfabrik-Actiengesellschaft vorm. Wilh. Schulte
2,716,Eumuco Akt.-Ges. für Maschinenbau
2,716,Gross jr. Aktiengesellschaft
2,717,Reinstrom & Pilz Akt.-Ges.
2,717,Hermann Schmidt & Sohn Akt.-Ges.
2,718,"Gebr. Voigtmann, Akt.-Ges."
2,718,Fichtel & Sachs Aktiengesellschaft
2,719,Vereinigte Kugellagerfabriken Aktiengesellschaft
2,720,Seesener Blechwarenfabrik Akt.-Ges.
2,721,Merkur Aktiengesellschaft für Handels- u. Industriebedarf
2,721,Felix Werkzeugfabrik- Aktiengesellschaft
2,721,"Solinger Gesenkschmieden Engels, Rauh & Co. Akt.-Ges."
2,722,Progress-Werk Oberkirch Aktiengesellschaft
2,722,"Gebrüder Heinemann, Akt.-G"
2,723,"Stassfurter Blechwarenwerke, Akt.-Ges."
2,723,Pommersche Eisengiesserei und Maschinenfabrik
2,724,"Süddeutsche Messer-, Sägen- u. Werkzeugfabrik Akt.-Ges."
2,725,Fortuna-Werke Spezialmaschinenfabrik Aktiengesellschaft
2,725,Schwarzwälder Metallhandel-Akt.-Ges.
2,725,Eduard Arps Akt.-Ges.
2,726,Büttner-Werke Aktien-Gesellschaft
2,728,Nathan Strauss Hüttenwerk Akt.-Ges.
2,728,Carl Prinz Akt.-Ges. für Metallwaren
2,728,"Carl Schmidt Sohn, Akt.-Ges. für Stahl- und Metallwaren,"
2,729,"Vereinigte Schlüsselfabriken, Aktiengesellschaft"
2,729,"Carlshütte, Act.-Ges. für Eisengiesserei und Maschinenbau"
2,730,Schlesische Motorwagen-Akt.-Ges.
2,731,Apparatebau Aktiengesellschaft Bühring
2,731,"Maschinenfabrik Weingarten, vormals Heinrich Schatz,"
2,732,Rheinische Blechwarenwerke Aktiengesellschaft
2,733,"Pyrophor-Metallgesellschaft, Akt.-Ges."
2,733,M. Achgelis Söhne Akt.-Ges.
2,734,Aktien-Gesellschaft Kordt & Rosch
2,734,"Wittener Masch.- u. Dampfkesselfabrik J. Westermann,"
2,734,"Bemberg Maschinenbau Akt.-Ges. in Liqu,"
2,734,Germaniawaffenwerk — Akt.-Ges.
2,734,J. G. Anschütz
2,735,"Franz Braun, Akt.-Ges."
2,736,Zittauer Maschinenfabrik Akt.-Ges.
2,737,Albert Hirt Akt.-Ges.
2,737,Audiwerke Aktiengesellschaft
2,738,Zwickauer Maschinenfabrik
2,740,"Elektrizitätswerke, elektrotechnische Industrie, Feinmechanik, Optik, photographische Apparate, Uhren."
2,740,"photographische Apparate, Uhren. Altenburger Land-Kraftwerke Akt.-Ges."
2,741,-Lech-Elektrizitätswerke Akt.-Ges.
2,742,"Günzburg, Illertissen, Kaufbeuren, Krumbach, Kempten,Landsberg,Markt-Oberdorf, Memmingen,"
2,745,"Bayerische Elektrieitäts-Lieferungs-Ges,, Akt.-Ges."
2,748,"Kraftwerk Altwürttemberg A.-G.,"
2,749,Akt.-Ges. für Elektrizitäts-Ausführungen
2,750,Aktiengesellschaft für Energiewirtschaft
2,750,Ariadne Draht- u. Kabelwerke Akt.-Ges.
2,751,Atena Gesellschaft für ärztlich-technische neue Apparate
2,751,"Bergmann-Elektrieitäts-Werke, Aktiengesellschaft"
2,754,Deutsch-Ueberseeische Elektrieitäts-Ges. in Liqu. in Berlin
2,754,Deutsche Kabelwerke Akt.-Ges.
2,757,Dominitwerke Aktiengesellschaft
2,758,Elektrizitäts-Aktiengesellschaft Hydrawerk
2,758,Elektrieitäts-Lieferungs-Gesellschaft
2,760,"Eltax-Elektro-Akt.-Ges. in Liqu., Berlin"
2,761,Fernseh Aktiengesellschaft
2,761,Gesellschaft für elektrische Unternehmungen — Ludw. Loewe & Co. Aktiengesellschaft
2,766,Dr. Erich F. Huth A.-6. für Funkentelegraphie
2,766,Ideal Werke Akt.-Ges. für drahtlose Telephonie
2,767,Kodak Aktiengesellschaft
2,768,Arnold Laboschinski Aktiengesellschaft
2,768,C. Lorenz Aktiengesellschaft
2,770,Märkisches Elektrieitätswerk Aktiengesellschaft
2,772,Dr. Paul Meyer Akt.-Ges.
2,773,"Nikolo Akt.-Ges. für elektrotechnische Bedarfsartikel,"
2,773,Preussische Elektrizitäts-Akt.-Ges.
2,777,Ralo-Aktiengesellschaft für elektrische Erzeugnisse in Liqn.
2,777,"Ferdinand Schuchhardt, Berliner Fernsprech- u. Telegraphenwerk Akt.-Ges."
2,778,Dr. Georg Seibt Aktiengesellschaft
2,779,"Signalapparatefabrik Julius Kräcker, Aktiengesellschaft"
2,779,Standard Elektrizitäts-Gesellschaft Aktiengesellschaft
2,781,"Telehor-Aktiengesellschaft,"
2,781,Telephonfabrik Berliner Aktiengesellschaft
2,782,Transradio Akt.-Ges. für drahtlosen Überseeverkehr in Liqu.
2,783,Vereinigte Isolatorenwerke Akt.-Ges.
2,784,C. J. Vogel Draht- und Kabelwerke Akt.-Ges.
2,786,Weissmainkraftwerk Röhrenhof Akt.-Ges.
2,787,Elektrieitätswerk Brandenburg (Havel) Akt.-Ges.
2,788,Hanseatische Notruf-Akt.-Ges.
2,788,Verkaufszentrale für Orthodontie Akt.-Ges.
2,788,W. Ludolph Akt.-Ges.
2,789,"Elektrizitätswerk Schlesien, Akt.-Ges."
2,792,Ostdeutsche Elektrizitäts-Akt.-Ges. in Liquid.
2,792,Schlesische Elektrieitäts- und Gas-Act.-Ges.
2,795,Überlandwerk Coburg Akt.-Ges.
2,796,Elektrizitäts-Akt.-Ges. Cosel
2,796,"Eleetrieitätswerk Crottorf, Akt.-Ges."
2,797,Lippische Elektrieitäts-Aktiengesellschaft
2,798,"Concordia Elektrizitäts-Akt.-Ges., Dortmund,"
2,798,"Elektra, Aktiengesellschaft"
2,800,"Energie-Versorgung Gross-Dresden, Akt.-Ges."
2,801,Koch & Sterzel Akt.-Ges.
2,801,Liehtsignalbau-Aktiengesellschaft
2,802,Rheinische Telefon-Gesellschaft Aktiengesellschaft
2,802,Tigges & Co. Aktiengesellschaft
2,803,Ritter Aktiengesellschaft
2,803,Rheingau-Elektrieitätswerke Akt.-Ges.
2,804,"Grosskraftwerk Erfurt, Akt.-Ges."
2,804,"Reiniger, Gebbert & Schall Akt.-Ges."
2,806,Neckarwerke Aktiengesellschaft
2,809,Württembergische Gesellschaft für Elektrizitätswerke
2,810,Emag Elektrizitäts-Aktien-Gesellschaft‘
2,811,"Hartmann & Braun, Aktiengesellschaft"
2,812,Main-Kraftwerke Akt.-Ges.
2,815,Philektra Aktiengesellschaft für Elektrotechnik
2,816,"Plaubel, Aktiengesellschaft für Feinmechanik und Optik"
2,816,Südwestdeutscher Rundfunk Aktiengesellschaft
2,816,"Voltohm, Seil- u. Kabelwerke, A.-G."
2,818,Elektrische Apparatebau Akt.-Ges.
2,818,Schluchseewerk Aktiengesellschaft
2,819,"Thowe-Kamera-Werk, Aktien-Gesellschaft"
2,820,Elektrizitätsgesellschaft Fulda Aktien-Gesellschaft
2,820,Aktiengesellschaft für wirtschaftliche Unternehmungen des Ennepe-Ruhr-Kreises
2,821,Mittelschwäbische Überlandzentrale Akt.-Ges.
2,822,Uhrenfabrik Aktiengesellschaft
2,823,"Physikalische Werkstätten, Aktiengesellschaft"
2,824,Kraftwerke Haag Akt.-Ges.
2,824,Kommunales Elektrizitäts-Werk Mark A.-G.
2,827,"Kabelwerk Nassau, Akt.-Ges."
2,827,Hanseatische Notruf-Akt.-Ges.
2,828,H. Maihak Aktiengesellschaft
2,828,Nordische Rundfunk Akt.-Ges.
2,829,Deutsche Elektromobil- und Motorenwerke Akt.-Ges.
2,829,"Elbtalwerk, Elektrizitäts-Akt.-Ges."
2,830,"R. Jung, Fabrik für Präzisionsapparate, Akt.-Ges."
2,830,"Grosskraftwerk Württemberg, Akt.-Ges."
2,831,Niederschlesische Elektrizitäts-Aktiengesellschaft
2,832,"Elektrizitätswerk Homburg v. d. H, Akt.-Ges."
2,833,Elektrizitätswerk Illingen Akt.-Ges.
2,833,Jenaer Elektrieitätswerke Act.-Ges.
2,835,Felten & Guilleaume Cariswerk Act.-Ges.
2,838,Ostmarken-Rundfunk Akt.-Ges.
2,839,Östpreussenwerk Akt.-Ges.
2,841,Exnerwerk Aktiengesellschaft
2,841,"Überlandwerk Krumbach, Akt.-Ges."
2,842,„Blektrowarte“ Akt.-Ges. Elektrotechnische Treuhand
2,842,"Körting & Mathiesen, Akt.-Ges."
2,843,"Langbein - Pfanhauser-Werke Akt.-Ges,.,"
2,845,Mitteldeutsche Rundfunk-Akt.-Ges.
2,845,Uhren-Rohwerke-Fabrik Glashütte Akt.-Ges.
2,846,Eleectrieitäts-Werke Liegnitz
2,848,"Lahnkraftwerke Aktien-Gesellschaft,"
2,848,"Pfalzwerke Aktiengesellschaft in Ludwigshafen a. Rh.,"
2,849,Erzeugte ' Bezogene | Verkaufe | Erzeugte | Bezogene Verkaufte
2,850,Elektrizitätswerk Westerwald Akt.-Ges.
2,851,"Rhön Elektrieitäts-Lieferungs-Gesellschaft, Akt.-Ges."
2,851,Aktiengesellschaft für elektrotechnische Unternehmungen
2,852,Aktiengesellschaft für Licht- u. Kraftversorgung
2,853,Bayerische Elektrieitäts-Werke.
2,855,Bayerische Kraftwerke Akt.-Ges. in München.
2,856,Bayernwerk Aktiengesellschaft
2,859,"Isarwerke Aktiengesellschaft,"
2,859,Kraftwerk Wagingersee Akt.-Ges.
2,860,"Friedrich Merk, Telefonbau-Akt.-Ges."
2,861,Mittlere Isar Akt.-Ges.
2,862,"Östbayerische Stromversorgung, Akt.-Ges."
2,864,Rhein-Main-Donau Akt.-Ges.
2,869,Walchenseewerk Aktiengesellschaft
2,870,"Überlandwerk Oberschlesien, Akt.-Ges."
2,871,H. Winterhalder Akt.-Ges. Uhrenfabrik in Liqu.
2,871,Kraftversorgung Rhein -Wied Akt.-Ges.
2,872,"Norddeutsche Seekabelwerke, A.-G."
2,872,"Bayerische Reisszeugfabrik, Akt.-Ges."
2,872,Elektrizitäts-Aktiengesellschaft vormals Schuckert & Co.
2,875,Fränkisches Ueberlandwerk Akt.-Ges.
2,876,Grosskraftwerk Franken Akt.-Ges.
2,878,Kabel- u. Metallwerke Neumeyer Akt.-Ges.
2,879,Elektrische Ueberland-Centrale Oberhausen Akt.-Ges.
2,880,"Steigerwald Überlandwerk, Gebrüder Zwanziger, Akt.-Ges."
2,880,Stromversorgungs-Aktiengesellschaft Oldenburg-Östfriesland in Oldenburg i. O.
2,881,Paderborner Elektrizitätswerk u. Strassenbahn Akt.-Ges.
2,882,Sächsische Elektrizitätswerk- und Strassenbahn-Akt.-Ges.
2,883,Emil Busch Akt.-Ges. Optische Industrie
2,885,Lauenburgische Landeskraftwerke Akt.-Ges.
2,885,Oberpfalzwerke A.-G. für Elektrizitätsversorgun
2,887,Kraftübertragungswerke Rheinfelden.
2,891,Schorch-Werke Akt.-Ges.
2,892,"Elektrizitätswerk Riesa, Aktiengesellschaft"
2,892,Elektrieitätswerke- Betriebs- Aktien- Gesellschaft
2,893,Bayerisches Kabelwerk Riffelmacher & Engelhardt A.-G.
2,893,* Heimelektra Aktiengesellschaft
2,894,Kommunale Elektricitäts-Lieferungs-Ges. Akt.-Ges.
2,895,Sächsische Elektrieitäts-Lieferungs-Gesellschaft A.-G.
2,897,Überlandzentrale Pommern Akt.- Ges.
2,899,"Gesellschaft für elektrische Anlagen, Aktiengesellschaft"
2,900,Neckar- Aktiengesellschaft
2,904,R. Stahl Akt.-Ges.
2,904,Württembergische Elektrizitäts-Akt.-Ges.
2,906,"Stromversorgungs - Aktiengesellschaft, \Veissenfels - Zeitz"
2,907,Elektrizitätswerk & Strassenbahn Tilsit Akt.-Ges.
2,907,Himmelwerk Akt.-Ges.
2,910,Kabelwerk Vacha Aktiengesellschaft
2,910,Aktiengesellschaft Thüringische Werke
2,911,Thüringische Landeselektrizitätsversorgungs-Akt.-Ges. „Thüringenwerk“
2,912,"Elektrizitätswerk Weissenhorn Akt.-Ges.,"
2,913,Willstätter Elektrizitätswerk Aktiengesellschaft
2,913,Elektrizitätswerk Wolfach Akt.-Ges.
2,913,Kreis-Elektrizitätsversorgung Unterfranken Akt.-Ges.
2,916,"Industrie der Steine und Erden, Baumaterial, Töpferwaren, Schiefer- gewinnumng, Schmirgelwerke,"
2,916,"Tonwerk Acherting Akt.-Ges. in Liqu., Acherting."
2,916,"Louis Nicolai, Aktiengesellschaft"
2,916,Steingutfabrik Amberg Akt.-Ges.
2,917,"Annaburger Steingutfabrik, A.-G."
2,918,Arloffer Thonwerke A.-G.
2,918,Aktienziegelei Bayreuth
2,918,"„Adler“, Deutsche Portland-Cementfabrik, Actiengesellschaft"
2,921,Deutsche Asbestzement-Aktiengesellschaft
2,922,Deutsche Frewenziegel Aktiengesellschaft
2,922,Duroplattenwerk Akt.-Ges.
2,922,Havelberger Ton-Industrie Akt.-Ges.
2,923,Keramische Industrie-Bedarfs-Akt.-Ges.
2,923,Max Philipp Nachf. Aktiengesellschaft
2,923,Portland-Cementfabrik Blaubeuren Gebrüder Spohn A.-G.
2,924,"Wessels Wandplatten-Fabrik, Akt.-Ges."
2,925,Dampfziegelei Habenhausen Akt.-Ges.
2,925,"Deutsche Cement-Industrie, A.-G."
2,926,Steingutwerke Aktiengesellschaft
2,926,"Villeroy & Boch, Keramische Werke A.-G."
2,927,Portland-Cementwerk Burglengenfeld A.-G.
2,927,Grünsteinwerke Rentzschmühle Akt.-Ges.
2,928,Porzellanfabriken Creidlitz Akt.-Ges.
2,928,Odenwälder Hartstein-Industrie A.-G.
2,930,Baustoff-Werke Akt.-Ges. Delmenhorst
2,930,Portland-Cementwerk Diedesheim-Neckarelz A.-G.
2,931,Westdeutsche Marmor- und Granitwerke Akt.-Ges.
2,931,Akt.-Ges. für Glasindustrie vorm. Friedr. Siemens
2,933,C. Frommherz Müller Nachflg. Akt.-Ges.
2,934,Actien-Gesellschaft der Gerresheimer Glashüttenwerke
2,936,Aktiengesellschaft Glasfabrik Capellen in Liqu.
2,936,Rheinische Zement-Industrie Akt.-Ges.
2,936,Eibenstocker Schmirgelwerke Akt.-Ges.
2,937,Eisenacher Ziegelei-Actien-Gesellschaft
2,937,Aktiengesellschaft Eiserfelder Steinwerke
2,938,"Lozalit Aktiengesellschaft, Fabrik keramisch -technischer Artikel,"
2,939,Steingutfabrik Witteburg A.-G.
2,939,Aktiengesellschaft für Tonerde. und chemische Industrie
2,939,* Deutsche Opakglas-Werke Aktiengesellschaft
2,940,Jacob Büchenbacher & Söhne Akt.-Ges.
2,940,Deutsche Tafelglas Aktiengesellschaft (Detag)
2,942,Fürther Spiegelglas-Akt.-Ges. vorm. Leopold Büchenbacher
2,942,Porzellanfabrik Günthersfeld A.-G.
2,942,"Deutsche Libbey-Owens-Gesellschaft für maschinelle Glasherstellung, Akt.-Ges. (Delog)"
2,943,Gelsenkirchener Zementwarenfabrik Ostermann & Comp.
2,943,"Geseker Kalk- und Cementwerke Monopol, Akt.-Ges."
2,944,"Wilhelm Gail’sche Tonwerke, Akt.-Ges."
2,944,"Oberschlesische Chamotte-Fabrik,"
2,945,Sächsiseh-Thüringische Portland-Cement-Fabrik
2,946,Brandenburgische Steinbruch-Aktiengesellschaft
2,947,"Akt.-Ges. Wick-Werke, vereinigte Fabriken Merkelbach & Wick, Merkelbach, Stadelmann & Co."
2,947,Grohner Wandplatten-Fabrik Akt.-Ges.
2,948,Vereinigte Grossalmeroder Thonwerke
2,948,Pfälzische Chamotte- und Thonwerke
2,950,Lehrer—von Siemens Akt.-Ges. in Halle i. Westf.
2,950,Alsen’sche Portland-Cement-Fabriken
2,951,Th. Hartmann & Schultze Akt.-Ges.
2,951,"Heinrich Hempelmann, Aktiengesellschaft"
2,951,Norddeutsche Portland-Cement-Fabrik Misburg.
2,953,"Portland-Cementfabrik Germania Aktiengesellschaft,"
2,954,Vorwohler Portland-Cement-Fabrik Aktien-Gesellschaft
2,956,"Transatlantische Handels-Akt.-Ges.,"
2,956,Portland-Cementwerke Heidelberg-Mannheim-Stuttgart
2,958,Glashütte Heilbronn Akt.-Ges.
2,959,"Ziegelwerk Heinrich Lehrmann, Akt.-Ges."
2,959,Portland Cementfabrik Hemmoor
2,961,Portland-Cementfabrik Alemannia A.-G.
2,961,Glashüttenwerke Holzminden Akt.-Ges.
2,962,Thüringische Glas-Instrumenten-Fabrik
2,963,"Tonwerke Kandern, Akt.-Ges."
2,963,"Portland-Cement-Fabrik Karlstadt a. M., Aktiengesellschaft."
2,964,"Casseler Basalt-Industrie, Akt.-Ges."
2,965,Bayerisches Portlandzementwerk Kiefersfelden Akt.-Ges.
2,966,Deutsche Spiegelglas-Actien-Gesellschaft
2,967,"Deutsche Asbestonwerke, Akt.-Ges."
2,968,Dolerit-Basalt Akt.-Ges.
2,969,Rheinkies- und Betonwerke Aktiengesellschaft Wassermann & Beton-Bohr- und Pressgesellschaft
2,970,Westdeutsche Kalkwerke Akt.-Ges.
2,971,J. Wirth Akt.-Ges.
2,971,"Östpreussische Glashandels- Akt.-Ges,,"
2,972,„Reussengrube“ Aktiengesellschaft
2,973,Breitenburger Portland-Cement-Fabrik
2,974,Mitteldeutsche Glashandels-Akt.-Ges.
2,974,Kalkwerk Tschirnhaus Aktiengesellschaft
2,974,Basalt- Actien-Gesellschaft
2,977,Ziegelwerke Ludwigsburg Aktiengesellschaft
2,978,Kalk- und Mergelwerke vorm. Cementfabrik Akt.-Ges.
2,979,"Schöninger Ton- u. Hohlsteinwerke, Akt.-Ges."
2,980,Baustoffe-Grossvertrieb Aktiengesellschaft
2,980,Bayerisches Portlandeementwerk Marienstein A.-G.
2,981,Rheinische Chambotte- u. Dinas-Werke
2,982,„Keramag“ Keramische Werke Akt.-Ges.
2,984,Meissner Ofen- und Porzellanfabrik (vorm. C. Teichert)
2,986,Somag Sächsische Ofen- und Wandplatten-Werke A.-G.
2,987,Aktien-Ziegelei München
2,988,Bayrische Hartstein-Industrie A.-6.
2,990,Feierabend & Ort Akt-Ges.
2,990,Oberpfälzische Tongruben Aktiengesellschaft
2,990,"Porzellan-Fabrik Waldershof, Akt.-Ges. vorm. Joh. Haviland."
2,991,Solenhofer Aktien-Verein
2,992,Vereinigte Zwieseler & Pirnaer Farbenglaswerke A.-G.
2,993,Süddeutsches Portland-Cement-Werk Akt.-Ges.
2,994,"Czamowanzer Glashütte, Aktiengesellschaft"
2,994,Portland-Zement- u. Kalkwerke „Anna“ Akt.-Ges.
2,995,Neukirchen-Lugauer Ziegelwerke Akt.-Ges.
2,995,"Tritschler, Winterhalder & Co. Akt.-Ges."
2,996,Friedr. Remy Nachfolger Akt.-Ges.
2,996,Ullersdorfer Werke
2,998,Euling & Mack Aktiengesellschaft
2,999,Beton-Schleuderwerke Akt.-Ges.
2,999,Schieferbau-Actien-Gesellschaft „Nuttlar“
2,1000,"Annawerk, Schamotte- und Tonwaren-Fabrik,"
2,1001,Glasplakatefabrik Offenburg Akt.-Ges.
2,1001,Oldenburgische Glashütte A.-G.
2,1002,"Portland Cement-Fabrik „Stadt Oppeln“, A.-G."
2,1004,Schlesische Portland-Zement-Industrie Aktiengesellschaft
2,1006,Osnabrücker Ziegelwerke Aktiengesellschaft
2,1007,A.-G. Glashüttenwerke Adlerhütten in Penzig bei Görlitz.
2,1008,Rheinische Ziehglas Aktiengesellschaft
2,1008,Deutsche Ziegeleien-Akt.-Ges.
2,1009,"Querfurter Kalkindustrie, Akt.-Ges."
2,1009,Radeberger Parivit- und Glasraffinerie Akt.-Ges. in Liqu.
2,1010,"Porzellanfabrik Zeh, Scherzer & Co., Akt.-Ges."
2,1011,Deutsche Steinindustrie A.-G.
2,1011,Spiegelglasfabrik Reisholz Akt.-Ges.
2,1012,Reudener Ziegelwerke Aktiengesellschaft
2,1013,"Hohburger Quarz-Porphyr-Werke, Akt.-Ges."
2,1014,Schmiedeberger Klinker- und Dachsteinwerk Akt.-Ges.
2,1014,Schmiedeberg. Akt. -Ges.
2,1015,Keramische Hütte Aktiengesellschaft
2,1016,"Siegersdorfer Werke vorm. Fried. Hoffmann,"
