band,firmname_page,firmname
1,289,"Deutsche Waren-Treuhand-Aktiengesellschaft,"
1,290,Finanzbank Aktiengesellschaft
1,290,Getreidevereinigung Aktiengesellschaft
1,291,Hamburger Treuhand Aktiengesellschaft
1,291,Handels- u. Verkehrs- Bank A.-G.
1,292,"Hypothekenbank in Hamburg,"
1,296,"Liquidations-Casse in Hamburg Akt.-Ges,.,"
1,297,Treuhand-Syndikat-Akt.-Ges.
1,298,Vereinsbank
1,299,Hannoversche Gesellschaft für Industrie u. Bankwesen
1,300,"Treuhand- u. Wirtschaftsberatungs-Akt.-Ges.,"
1,300,Westholsteinische Bank
1,301,Hertener Volksbank Akt.-Ges.
1,302,Ibbenbürener Volksbank
1,302,Badische Bank
1,304,"Vereinsbank Kirchberg, Akt.-Ges."
1,304,Allgemeine Wirtschaftsbank Aktien-Gesellschaft
1,305,"Kölner Handelsbank Akt.-Ges.,"
1,305,Revisions- und Organisations-Treuhand-Akt.-Ges.
1,305,Rheinisch-Westfälische Boden-Credit-Bank
1,310,Treuhand Akt.-Ges. für Haus- und Grundbesitz
1,310,Königsberger Bank Akt.-Ges. in Liqu. in Königsberg i. Pr.
1,311,Ostdeutsche Warenkreditbank Aktiengesellschaft
1,311,"Lauchaer Bankverein, Actiengesellschaft"
1,312,Bank für Handel u. Gewerbe Akt.-Ges.
1,313,Leipziger Handels- und Verkehrs-Bank A.-G.
1,314,Treuhand-Aktiengesellschaft
1,315,Lommatzscher Bank Akt.-Ges.
1,315,"Pfälzische Bank Akt.-Ges. in Liqu.,, Ludwigshafen a. Rh."
1,315,Pfälzische Hypothekenbank
1,320,Lübecker Hypothekenbank Aktiengesellschaft
1,321,Spar- und Leihkasse im Flecken Ahrensbök
1,322,‘Landwirtschaftlieher Creditverein für das Wendland
1,322,Rheinische Hypothekenbank
1,327,"Rheinische Treuhand-Ges., Akt.-Ges."
1,327,„Ländl. Spar- und Vorschussverein für Bohnitzsch
1,328,Krögiser Bank Akt.-Ges.
1,328,"Bankhaus L. Waitzfelder Akt.-Ges. in Liqu, München."
1,329,Bayerische Bank für Handel und Industrie Akt.-Ges.
1,329,Bayerische Handelsbank Bodenkreditanstalt
1,332,"100, ‚Augsburg: 100,50°],."
1,334,Bayerische Hypotheken- und Wechsel-Bank
1,339,Bayerische Notenbank
1,341,Bayerische Vereinsbank
1,347,Deutsche Allgemeine Treuhand — Treuhand Bayerischer Rechtsanwälte Akt.-Ges.
1,348,"Deutsche Hauptbank für Hypothekenschutz, Akt.-Ges."
1,349,Kreditbank deutscher Haus- und Grundbesitzer
1,350,"Landesbank bayerischer Grund- u. Hausbesitzervereine,"
1,350,Münchener Kassen -Verein Aktiengesellschaft
1,351,Süddeutsche Bodencreditbank
1,354,Niddaer Bank Akt.-Ges.
1,355,Bayerische Disconto & Wechsel-Bank A. G.
1,355,Treuhand- & Revisions-Aktien-Gesellschaft
1,356,Vereinsbank in Nürnberg
1,359,gestellt.
1,359,Treuhand -Akt.-Ges. Oldenburg
1,360,Banque de France in Paris.
1,361,*Kredit-Aktiengesellschaft Potsdam
1,362,Landwirtschaftliche u. Gewerbebank Akt.-Ges. Pyritz
1,362,Kreisbank Recklinghausen Akt.-Ges.
1,362,Reichenbacher Bank Akt.-Ges.
1,363,Riesaer Bank A.-G.
1,364,Erste Allgemeine Sparversicherungsbank A.-G.
1,365,"Saarländische Immobilien-Kredit-Zentral-Kasse, Akt.-Ges."
1,365,"„Sasag“ Saarbrücker Sparbank A.-G., Saarbrücken."
1,365,Saarländische Depositenbank Akt.-Ges.
1,366,Mecklenburgische Depositen- u. Wechselbank
1,367,Treuhand- und Verwaltungs-Aktiengesellschaft
1,368,Allgemeine Elsässische Bankgesellschaft
1,369,Süddeutsche Festwertbank Akt.-Ges.
1,370,Württembergische Hypothekenbank
1,373,Württ. Industrietreuhand-Aktiengesellschaft
1,374,Württembergischer Kreditverein Aktiengesellschaft
1,376,Thüringische Landes-Hypothekenbank Akt.-Ges.
1,380,Bankverein Werther Akt.-Ges.
1,381,"Allgemeine Effekten- und Kreditbank-Akt.-Ges.,"
1,381,"Bank für Grundbesitz, Handel und Gewerbe Akt.-Ges.,"
1,382,Bayerische Bodencredit-Anstalt
1,384,"Frankenbank Akt.-Ges. in Liqu., Würzburg."
1,385,Barmer Creditbank
1,385,"Barmer Bank-Verein Hinsberg, Fischer & Comp."
1,385,"Ban-, Terrain- und Immobilien-Gesellschaften, Schachtbau, Asphaltgewinnung und -Verarbeitung."
1,385,Asphaltgewinnung und -Verarbeitung. Augsburger Volkshaus Akt.-Ges.
1,386,AGEKA Aktiengesellschaft für Kleinwohnungsbau
1,386,Aktiengesellschaft für Grundbesitz u. Versicherungswesen
1,386,"Akt.-Ges. für Grundstücksverkehr, Berlin C 2, Burgstr. 13/14."
1,386,Akt.-Ges. für Industrie-Unternehmungen am Friedrichshain
1,387,Aktiengesellschaft für Verwaltung von Grundstücken
1,387,Aktien-Gesellschaft Werderscher Markt
1,388,„Am Nordring“ Grundstücksverwaltungs-Akt.-Ges.
1,388,Bau-Akt.-Ges. Friedrichstrasse am Oranienburger Tor
1,389,"Baugesellschaft am Zoologischen Garten Akt.-Ges.,"
1,389,"Bauverband Aktiengesellschaft in Liqu., Berlin."
1,389,"Bayerischer Platz 1 Grundstücks-Aktiengesellschaft,"
1,390,Bellaria Grundstücksverwaltungs-Akt.-Ges.
1,390,Berliner Bürohaus Grundstücksverwertungs-Akt.-Ges.
1,390,Berliner Grundstticksverwalt. -A.-G. Kurfürstenstrasse 103
1,391,"Julius M. Bier, Akt.-Ges."
1,391,Bodengesellschaft Passauerstrasse 2 Akt.-Ges. in’ Ligu.
1,391,"Brennerstrasse 8, Grundstücks-Aktiengesellschaft"
1,392,"Brunhildstrasse 5, Grundstücks-Akt.-Ges."
1,392,"Bürobau Akt.-Ges. in Liqu., Berlin."
1,392,"Cartonnagen-Maschinen-Industrie und Faconschmiede,"
1,392,Celeritas Grundstücks-Aktiengesellschaft in Liqu.
1,392,Charlottenstrasse 13 Grundstücks-Aktienges in Liqn.
1,393,Derfflingerstrasse4 Grundstücksaktiengesellschaft in Liqu.
1,393,"Deutsche Aufbau-Akt.-Ges. für Grundbesitz,"
1,393,"Industrie u. Schiffahrt in Liqu., Berlin"
1,394,"Deutsche Grundstücks-Akt.-Ges., Berlin."
1,394,Domus maxima Grundstücks-Akt.-Ges.
1,394,"Ellenax Akt.-Ges. über das Grundstück Tieckstr.29 zu Berlin,"
1,395,Elssholzstrasse 16Grundstücksverwertungs-Akt.-Ges. inLiqu.
1,395,„Elsterplatz“ Boden- und Bau-Aktien-Gesellschaft in Liqu.
1,395,Gepa Grundstücks-Aktien-Gesellschaft in Liqu.
1,395,Geschäfts- u. Haus-Verwaltungs-Akt.-Ges.
1,396,"Gross-Berliner Boden-Akt.-Ges., Berlin."
1,396,"Gross-Berliner-Boden-Verwaltungs-Akt.-Ges., Berlin."
1,396,Grundbesitz-Akt.-Ges.
1,396,"Grunderwerbsgesellschaft Dresdener Str. 5253, Akt.-Ges.,"
1,396,Grundstücks - Akt.-Ges. Kaiser Friedrichstrasse 164 und Stuttgarter Strasse 17 in Liqu. in Berlin.
1,397,Grundstücks-Akt.-Ges. Paulsbornerstrasse
1,397,Grundstücks -Erwerbs- u. Verwertungsgesellschaft Schöneberg Akt.-Ges. in Berlin.
1,397,Grundstücksgesellschaft Keithstrasse 6 Akt.-Ges.
1,398,"Grundstücks-Gesellschaft Kochstrasse 8 Aktiengesellschaft,."
1,398,Grundstücksgesellsehaft Kurfürstendamm 42 Akt.-Ges.
1,398,Gutsverwaltung Sachsenland Akt.-Ges.
1,399,Hallesches Tor Grundstücks-Verwaltungs-Akt.-Ges.
1,399,Handelsstätte Spittelmarkt Akt.-Ges.
1,399,„Handimag“ Handels- und Immobilien-Akt.-Ges. in Liqu.
1,399,Hardenbergstrasse 9a Grundstücksverwaltungs-
1,400,Albert 0. Hartmann Grundstücks-Aktiengesellschaft
1,400,Haus- und Agentur-Akt.-Ges. in Liqu. in Berlin.
1,400,Haus am Königssee-Aktiengesellschaft
1,400,Haus der Technik Aktiengesellschaft
1,401,Haus Kaiser Friedrichstrasse 163 u. Stuttgarterstrasse 18 Grundstücks-Akt.-Ges. in Liqu. in Berlin.
1,401,"Haus Merkur Kochstrasse 6/7 Aktien-Gesellschaft,"
1,402,Haus Pflügerstr. 60 Akt.-Ges. in Liqu. in Berlin.
1,402,"Hauserwa, Hauserwerbs-Akt.-Ges."
1,402,"Hausgesellschaft Schöneberg, Körnerstr. 48, Beckerstr. 13/14, Knausstr. 1, Akt.-Ges."
1,402,Heimenia Grundstücks-Verwaltungs-Akt.-Ges. in Liqu.
1,403,Hermsdorfer Boden-Akt.-Ges. in Liqu.
1,403,"Holzhallenbau Akt.-Ges., „System Kübler“"
1,403,"Ideal Grundstücks-Verwaltungs-Aktiengesellschaft,"
1,404,Im Exportviertel Grundstücks-Verwaltungs- und Verwertungs-Akt.-Ges.
1,404,„Klingsor“ Grundstücksverwaltungs- u. Verwertungs- Aktiengesellschaft
1,404,Kochstrasse 55 Grundstücks-Aktiengesellschaft in Liqu.
1,405,Königgrätzerstrasse 66 Grundstücks-Akt.-Ges. in Liqu.
1,405,Konstanzerstrasse 65 Grundstücksverwertungs-Akt.-Ges.
1,405,"Labina Grundstücks Akt.-Ges., Berlin."
1,405,"„Landag“ Land- u. Stadt-Grundstücks-Aktiengesellschaft,"
1,406,Lehrter Strasse 21/22 Grundstücksverwaltungs-Akt.-Ges.
1,406,Lichterfelder Grundstücks-Aktiengesellschaft
1,406,„Lifag“ Likörfabrik Aktien-Gesellschaft
1,406,Linkao Grundstücks-Aktiengesellschaft
1,407,Mariannenufer 9 Akt.-Ges. in Berlin.
1,407,"Marienstrasse 24, Grundstücks-Akt.-Ges., Berlin."
1,407,Maros Grunderwerbs-Akt.-Ges.
1,407,„Mowega“ Grundstücksverwertungs-Aktiengesellschaft
1,407,„Nedag“ Niederdeutsche Immobilien-Akt.-Ges.
1,407,Neue Friedrichstrasse 47 Grundstücks-Verwaltungs-
1,408,"Nordland Grundstücks-Aktiengesellschaft, Berlin."
1,408,"Odin Grundstücks-Verwaltungs-Akt.-Ges. Neue Kantstr. 6,"
1,408,"„Oikos“ Akt.-Ges.,"
1,408,Potsdamer Platz Akt.-Ges.
1,409,Potsdamer Strasse 88 Grundstücksverwertungs-Akt.-Ges.
1,409,Providentia Grundstücks-Akt.-Ges.
1,409,Radius Grundstücks-Akt.-Ges.
1,409,Real-Interessen Akt.-Ges.
1,410,Romanisches Haus Grundstücks-Akt.-Ges.
1,410,Seharmag Terrainaktiengesellschaft in Berlin.
1,410,Schönower Immobilien-Aktien-Gesellschaft
1,411,„Solidaris“ Grundstücks-Akt.-Ges. über das Grundstück Lutherstrasse 6 zu Berlin.
1,411,Soziale Wohnungsbau-Aktiengesellschaft
