,Master US firm name,Master German firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum
109,The Hobart Manufacturing Company,"Hobart Maschinen Gesellschaft, m.b.H.",True,True,True,False
110,United States Hoffman Machinery Corporation,Hoffman Bugelmaschinen Gesellschaft m.b.H.,True,False,True,True
111,"Hugo Stinnes Industries, Inc.",Holm & Molzen G.m.b.H.,True,False,False,False
112,Schilling Estate Company,Holzwarth Gasturbinen,True,False,False,False
113,The Hoover Co.,Hoover G.m.b.H.,True,False,False,False
114,Hudson Motor Car Company,Hudson Esser Motors Company M.H.,True,False,False,False
115,"Hugo Stinnes Industries, Inc.",Hugo Stinnes G.m.b.H.,True,True,True,True
116,International Harvester Company,"International Harvester Company, m.b.H.",True,True,True,True
117,International Harvester Export Co.,"International Harvester Company, m.b.H.",True,True,True,True
118,Chicago Pneumatic Tool Co.,Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg),True,True,True,True
119,Intertype Corporation,Intertype Fabrik G.m.b.H.,True,True,True,False
120,Intertype Corporation,Intertype Setzmaschinen G.m.b.H.,True,True,True,False
121,Underwood Elliott Fisher Company,Iris Type G.m.b.H.,True,False,False,False
122,J. E. Bernard & Co. Inc.,J. E. Bernard & Co. G.m.b.H.,True,False,False,False
123,"Hugo Stinnes Industries, Inc.",Jacob Trefz & Soehne,True,False,False,False
124,Remington Rand Inc.,Jahresuhren Fabrik G.m.b.H.,True,False,False,False
125,Kraft Cheese Company,Jocca Werke G.m.b.H.,True,False,False,True
126,"Hugo Stinnes Industries, Inc.",Johann Lorenz Michel G.m.b.H.,True,False,False,False
127,International Agricultural Corporation,Kaliwerke Sollstedt Gewerkschaft,False,False,False,True
128,Remington Rand Inc.,Kardex System G.m.b.H.,True,False,False,False
129,Corn Products Refining company,Karl Fr. Tollner Nachrmittelfabrik G.m.b.H.,True,False,False,False
130,Julius Kayser & Company,"Kayser Textile-Gesellschaft, m. b. H. in Saxony",False,True,True,False
131,I. B. Kleinert Rubbert Company,"Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung",True,True,True,False
132,Eastman Kodak Company,Kodak Gesellschaft m. b. H.,False,False,True,False
133,"Hugo Stinnes Industries, Inc.",Koenigsberger Kohlen & Koks G.m.b.H.,True,False,False,False
134,Combustion Engineering Co. Inc.,"Kohlenscheidungs-Gesellschaft, m.b.H.",True,True,False,False
135,Kraft Cheese Company,Kohler-Werke G.m.b.H.,True,False,False,True
136,"Hugo Stinnes Industries, Inc.",Kohleverkauf Ludwig Jung G.m.b.H.,True,False,False,False
137,Crown Cork International Corporation,"Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany",False,True,False,False
138,Kraft Cheese Company,Kraft Kaese Werke G.m.b.H.,True,False,False,True
139,L. C. Smith & Corona Typewriters Inc.,L. C. Smith & Corona Schreihmaschinen G.m.b.H.,True,True,True,False
140,Kraft Cheese Company,Lindor Werke G.m.b.H.,True,False,False,True
141,Mergenthaler Linotype Company,"Linotype, G.m.b.H.",True,False,False,False
142,International Telephone and Telegraph Corp.,Lorenz Radio Vertriebe G.m.b.H.,True,False,False,True
143,International Telephone and Telegraph Corp.,Ludwig Sudicates G.m.b.H.,True,False,False,True
144,International Telephone and Telegraph Corp.,Ludwig Sudicatis G.m.b.H.,True,False,False,False
145,"Hugo Stinnes Industries, Inc.",M. Rast & Sohn G.m.b.H.,True,False,False,False
146,Corn Products Refining company,Maizenhaus Gesellschaft m.b.H.,True,False,False,False
147,"New England Industries, Inc.",Maschinen-Export G.m.b.H.,True,False,False,False
148,"Robert Reiner, Incorporated",Maschinenfabril EINSIEDEL G.m.b.H.,True,False,False,False
149,Gulf Oil Corporation,Maschinenoel Import Gesellschaft m.b.H.,True,False,False,False
150,"Hugo Stinnes Industries, Inc.",Mathias Stinnes G.m.b.H.,True,False,True,True
151,Jadev Corporation,Mecklenburgische Erdol G.m.b.H.,True,False,False,False
152,Mergenthaler Linotype Company,"Mergenthaler Setzmaschinen-Fabrik, G.m.b.H.",True,True,True,True
153,Central European Holding Corporation c/o Cotton Brenner & Wrigley,"Metallkentor, G.m.b.H.",True,False,False,False
154,The Torrington Company,"Metallkentor, G.m.b.H.",True,False,False,False
155,Metallic Products Corp. c/o US Corp. Co.,Metallpulver G.m.b.H.,True,False,False,False
156,The Torrington Company,"Metallwaaren Gesellschaft m. b. H., of Aachen",False,True,True,True
157,Gillette Safety Rasor Company,Metallwarenvertrieb G.m.b.H.,True,False,False,False
158,International Telephone and Telegraph Corp.,"Mix & Genest Hansawerke , G.m.b.H.",True,False,False,True
159,Corn Products Refining company,Mondamin Gesellschaft,True,False,False,False
160,Armour & Company,Morris & Co. G.m.b.H.,True,False,False,False
161,Moto Meter Gauge & Equipment Corp.,"Moto Meter Gesellschaft, m. b. H.",False,True,True,False
162,"Hugo Stinnes Industries, Inc.",Muelberger & Co. G.m.b.H.,True,False,False,False
