firm_id,page,block,line,firmname,firmname_y_start,firmname_y_end
1,163,3,1,"Treuhand- und Finanzierung-Gesellschaften, Lombardgeschäfte. Treuhand-Aktiengesellschaft.",172.81094360351562,187.30618286132812
2,163,7,2,"Vorschuß-Verein zu Alsleben, Baumeier, Otto, Kieling & Co., Kommandit-Ges. auf Aktien.",348.024658203125,365.7334289550781
3,163,10,1,Göltzschtalbank Aktiengesellschaft.,531.8362426757812,550.914794921875
4,164,4,1,Akt.-Ges. für Industrie- und Kommunalkredit.,216.8509979248047,233.07408142089844
5,164,7,1,Bank Slowiariski-Slawische Bank Aktiengesellschaft.,358.3310241699219,376.8887939453125
6,164,10,1,Bank des Berliner Kassen-Vereins. ,629.1115112304688,647.365234375
7,167,2,1,Bank für Industriewerte Aktiengesellschaft.,69.41175079345703,87.79711151123047
8,167,4,1,Bank für Industrie und Verwaltung Aktiengesellschaft.,487.7607116699219,506.54315185546875
9,168,2,1,"Berliner Bank für Handel und Grundbesitz, Akt.-Ges. in Liqu„",64.41686248779297,81.80619049072266
10,168,5,2,Berliner Handels-Gesellschaft. Kommandit-Gesellschaft // auf Aktien.,363.70098876953125,379.9241027832031
11,170,10,1,Berliner Hypothekenbank Aktiengesellschaft. ,307.123046875,324.18756103515625
12,173,4,1,Comptoir Foncier Aktiengesellschaft für Grundkredif.,227.8160400390625,244.29624938964844
13,173,7,1,Deutsche Bau- u. Bodenbank Aktiengesellschaft. ,337.0346374511719,354.743408203125
14,177,4,1,Deutsche Holzwirtschaftsbank Aktiengesellschaft in Liqu.,233.9567413330078,253.93153381347656
15,177,7,1,Deutsche Kreditsicherung Aktiengesellschaft.,546.5109252929688,565.9525756835938
16,178,4,1,"Deutsche Schiffspfandbriefbank, Aktiengesellschaft, Berlin. //",279.9644470214844,308.6348571777344
17,180,11,1,Deutsche Treuhand-Gesellschaft.,393.31146240234375,411.56524658203125
18,181,4,1,Deutsche Zuckerbank Aktiengesellschaft. ,237.07528686523438,252.94970703125
19,183,6,2,Finanzierungsgesellschaft für Industrielieferungen Aktienges. (Maschinenbank).,438.849609375,453.095947265625
20,184,2,1,"Finanzierungsgesellschaft für Landmaschinen Akt-Ges. (Figelag),",63.402217864990234,79.96664428710938
21,184,5,1,Fundamentum Treuhand-Aktiengesellschaft.,414.37548828125,428.8646545410156
22,184,8,1,Heimbank Aktiengesellschaft.,551.5512084960938,568.3675537109375
23,185,5,1,Industrie- und Grundkredit Aktiengesellschaft.,341.8206481933594,360.60308837890625
24,185,8,1,Industrie- und Privat-Bank Aktien-Gesellschaft.,489.2109375,506.35736083984375
25,186,2,1,Industriefinanzierungs-Aktiengesellschaft Ost.,62.230979919433594,80.78877258300781
26,187,4,1,Industrieverwaltung Aktiengesellschaft.,164.10601806640625,180.5862274169922
27,187,7,1,„Intrag“ Industrie-Treuhand A.-G.,325.0983581542969,343.5804748535156
28,187,10,1,Kreünag Kredit Finanzierungs-Aktiengesellschaft.,394.8272399902344,414.9068603515625
29,187,13,1,"„Landhank“, Aktien-Gesellschaft.",553.3106689453125,572.0931396484375
30,188,4,1,Lombardbank Aktiengesellschaft.,325.934814453125,343.5642395019531
31,188,7,1,Mitteldeutsche Treuhand Aktiengesellschaft.,593.8715209960938,612.125244140625
32,189,2,1,Preußische Staatsbank (Seehandlung). ,70.57566833496094,88.8239517211914
33,191,9,1,Preussische Vermögensverwaltungs-Aktiengesellschaft.,322.15362548828125,340.4837341308594
34,191,13,1,Reichsanleihe-Aktiengesellschaft. 111 (Reichsibank).,525.3397827148438,540.306396484375
35,199,23,38,„Revision“ Treuhand-Aktien-Gesellschaft.,519.352294921875,540.9158325195312
36,200,2,1,Treuhänder Aktiengesellschaft.,66.26123809814453,83.07756805419922
37,200,5,1,Treuhandgesellschaft für Kommunale Unternehmungen A.-G»,264.0983581542969,282.5804748535156
38,200,7,1,Treuhand-Vereinigung Aktiengesellschaft.,425.67681884765625,443.0661315917969
39,201,2,1,Treuhandverwaltung für Grundstückswerte Aktiengesellschaft.,71.76683807373047,89.15616607666016
40,201,5,1,Treviag Treuhänder und Revisoren Aktiengesellschaft.,235.2615203857422,253.51528930664062
41,201,8,1,Westfalenbank Aktiengesellschaft.,398.774658203125,416.4834289550781
42,202,4,1,Bremen-Amerika Bank Aktiengesellschaft.,133.5883331298828,152.07044982910156
43,202,7,1,Bremer Kreditbank A. G.,425.2246398925781,442.93341064453125
44,203,4,1,Bremer Liquidationskasse von 1924 Akt.-Ges.,132.21168518066406,152.77359008789062
45,203,7,1,Coburg-Gothaische Bank Aktien-Gesellschaft. ,370.1772766113281,390.25689697265625
46,204,4,1,Vereinsbank Cottbus Aktiengesellschaft.,131.6846466064453,149.39340209960938
47,204,7,1,Deutsche Realkreditbank Aktiengesellschaft. ,468.373046875,485.43756103515625
48,204,10,1,Bank für Bauten. ,596.852783203125,612.0973510742188
49,205,4,1,"ohne Berücksichtigung von Baulichkeiten 1950 000, | Dresdner Handelsbank Aktiengesellschaft,, ",530.8167114257812,546.9531860351562
50,207,3,12,Sächsische Bank zu Dresden (Sächsische Notenbank). //,131.60556030273438,174.34872436523438
51,209,2,1,Sächsische Landwirtschaftsbank Aktiengesellschaft.,64.06675720214844,84.04154968261719
52,210,2,1,Dürener Bank.,62.250972747802734,79.39739990234375
53,210,5,1,Dürener Volksbank Aktiengesellschaft.,459.5677795410156,475.17510986328125
54,211,4,2,Revisions- und Treuhand-Aktiengesellschaft beeidigter  Bücherrevisoren und Wirtschaftsberater.,227.25929260253906,244.92239379882812
55,211,7,1,"Allgemeine Revisions- u. Verwaltungs-Aktiengesellschaft,",365.9538879394531,383.9538879394531
56,211,11,1,Allgemeine Wirtschaftsprüfungs Aktiengesellschaft.,629.6187133789062,648.1926879882812
57,212,4,1,Deutsche Waren-Treuhand-Aktiengesellschaft.,175.3106689453125,194.09310913085938
58,212,7,1,"Finanzbank Aktiengesellschaft,",489.71685791015625,507.1061706542969
59,213,4,1,Handels- u. Verkehrs-Bank A.-G.,140.2020263671875,159.20700073242188
60,213,7,1,Hypothekenbank in Hamburg. ,537.2060546875,553.686279296875
61,216,9,1,Liquidations-Gasse in Hamburg Aktiengesellschaft. III,411.67169189453125,456.5700378417969
62,217,4,1,Tabak Treuhand Aktiengesellschaft.,527.696044921875,543.2133178710938
63,218,3,6,Vereinsbank in Hamburg. ,110.01123809814453,126.82756805419922
64,219,10,1,Waaren-Commissions-Bank in Hamburg.,431.5697326660156,451.857177734375
65,220,2,1,Treuhand Aktiengesellschaft.,63.56308364868164,80.6275863647461
66,220,3,16,Westholsteinische Bank. ,201.61306762695312,218.6775665283203
67,221,2,1,Bausparkasse Aktiengesellschaft Heilhronn.,66.28840637207031,84.7705307006836
68,221,5,1,"Kamenzer Bank, Aktiengesellschaft.",204.34222412109375,220.90664672851562
69,221,8,1,Badische Bank. ,522.0778198242188,537.6851806640625
70,223,10,1,Revisions- und Organisations-Treuhand-Aktien-Gesellschaft.,345.519775390625,363.6966247558594
71,223,13,1,Rheinisch-Westfälische Boden-Credit-Rank. ,441.7611999511719,458.5775451660156
72,227,11,1,"Vermögensverwaltungs-Gesellschaft, Aktiengesellschaft.",352.9187316894531,371.4927062988281
73,227,14,1,"Lauchaer Bankverein, Actiengesellschaft.",459.5067138671875,479.4815368652344
74,228,4,1,„Herold“ Kreditkasse Aktiengesellschaft.,118.41686248779297,135.80618286132812
75,228,7,1,Leipziger Handels- und Verkehrs-Bank A.-G. ,297.16070556640625,315.9431457519531
76,229,4,1,Rossberg-Treuhand-Aktiengesellschaft.,145.7447509765625,160.78892517089844
77,229,7,1,Sächsische Re visions- u.Treuhandgesellschaf t Aktiengesellschaft.,289.9063720703125,305.1990051269531
78,230,2,1,Treuhand-Akt.-Ges. für Wirtschaftsprüfung (Treuwirtschaft)*,65.91120147705078,82.72753143310547
79,230,5,1,Lübecker Hypothekenbank Aktiengesellschaft. ,323.3214416503906,341.5752258300781
80,231,4,1,Deutsche Hypotheken-Renten-Bank.,381.5255126953125,400.8951416015625
81,231,7,1,Rheinische Hypothekenbank. ,537.727783203125,553.3351440429688
82,235,4,1,"Rheinische Treuhand-Gesellschaft, Akt-Ges.",153.170654296875,171.95309448242188
83,235,7,2,Ländlicher Spar- und Vorschußverein für Bohnitzsch und Umgegend.,481.4460144042969,496.9632873535156
84,236,2,1,Bayerische Handelsbank Bodenkreditanstalt. ,63.300960540771484,80.4473876953125
85,239,3,12,Bayerische Hypotheken- und Wechsel-Bank. ,153.8622283935547,171.98306274414062
86,243,12,1,Bayerische Notenbank. ,529.0631103515625,546.1275634765625
87,245,28,1,Bayerische Vereinsbank. ,510.1752624511719,526.0496826171875
88,251,4,1,Commercialbank Aktien-Gesellschaft.,112.12682342529297,129.51614379882812
