firm_id,page,block,line,firmname,firmname_y_start,firmname_y_end
1,157,2,1,Westmärkische Handels-Aktien-Gesellschaft.,173.53912353515625,188.93368530273438
2,157,5,1,"Vereinigte Schlüsselfabriken, Aktiengesellschaft.",499.6462707519531,518.4609375
3,158,1,1,Niederbarnizner Eisenbalm-Akt.-Ges,52.40385055541992,70.40385437011719
4,160,5,1,Westfälische Landes-Eisenbahn-Gesellschaft.,207.36761474609375,224.42611694335938
5,161,1,1,Westafrikanische Pflanzungs-Gesellschaft „Victoria“.,54.22125244140625,75.57505798339844
6,162,1,1,"Elektra, Aktiengesellschaft. ",60.03693389892578,76.74022674560547
7,164,3,1,Deutsche Pyrotechnische Fabriken.,217.4776611328125,234.53616333007812
8,164,6,1,Eisenhütte Holstein Aktiengesellschaft.,504.45782470703125,523.1121826171875
9,165,1,1,Ford Motor Company Aktiengesellschaft. ,60.35120391845703,77.16753387451172
10,167,3,1,Elektrizitätsgesellschaft Fulda Aktien-Gesellschaft.,153.7354736328125,168.46212768554688
11,167,6,1,"F. Cochu Aktiengesellschaft,",373.6009521484375,389.8240661621094
12,168,1,3,"Carlshütte,  Aktien-Gesellsehaft für Eisengießerei und Maschinenbau.",74.58460998535156,92.29336547851562
13,170,1,1,Citroen-Automobil Aktiengesellschaft.,62.81363296508789,81.14373016357422
14,170,2,26,"Actiengesellschaft für Glasfahrikafion, vorm. Gebr. Hoffmann.",306.57916259765625,323.8994445800781
15,171,4,2,Aktien-Gesellschaft für Eisenindustrie und Brückenbau (vormals Johann Caspar Harkort in Duisburg). ,129.5062713623047,147.4503173828125
16,172,8,1,"*) Aufgelöst zur teilweisen Deckung des vorjährigen Verlustes. — 2) Davon: Bankschulden 401855, Kredite 1050000 RM. Internationale Handelsbank, K.-G. a. A.",361.9347839355469,379.564208984375
17,173,1,1,Tuchfabrik Klein & Vogel Aktiengesellschaft.,61.96530532836914,77.8397216796875
18,173,3,1,"Scharfenberg & Hartwig, Aktiengesellschaft.",172.11532592773438,187.98974609375
19,173,5,1,Gebr. Dix Aktiengesellschaft.,332.34222412109375,348.9066467285156
20,173,8,2,Metaliwerke Aktiengesellschaft  (Societe Anonyme de produits metallnrgiques).,544.2246704101562,561.9334716796875
21,174,1,1,Maschinenbau-Gesellschaft.,67.13816833496094,82.13816833496094
22,174,4,1,Deutscher Bausparer Aktiengesellschaft.,369.5638122558594,387.5638122558594
23,174,7,1,Paulaner-Thomasbräu Interessengemeinschaft Akt.-Ges.,600.3860473632812,619.2800903320312
24,175,1,1,Brauerei Deetjen & Schröder Aktiengesellschaft.,63.83692169189453,80.54021453857422
25,175,4,1,Wertheim Bank Aktiengesellschaft,367.09320068359375,387.8772888183594
26,175,7,1,"Papierfabrik Neumühle, Aktiengesellschaft in Liqu.",554.2656860351562,572.5139770507812
27,176,1,1,Kosmos Bausparkasse Aktiengesellschaft.,63.128746032714844,81.70272064208984
28,176,3,42,Ludwig Krumm Aktiengesellschaft Vereinigte Lederwaren-Fabriken Ludwig Krumm — Gebr. Langhardt.,422.15460205078125,436.7900390625
29,177,1,1,Treuhand-Aktiengesellschaft für Verkehrs- und Industrie werte. //,63.51067352294922,82.29312133789062
30,177,3,1,Central-Bausparkasse Aktiengesellschaft in Liqu.,482.2750244140625,497.1473693847656
31,177,6,1,Reichsheim-Bausparkasse Aktien-Gesellschaft in Liqu.,583.4066772460938,604.2389526367188
32,178,1,1,Pfälzische Gas-Aktiengesellschaft.,60.45671081542969,80.43150329589844
33,178,4,1,Mittelschlesische Bank Aktiengesellschaft.,252.64080810546875,272.91357421875
