firm_id,page,block,line,firmname,firmname_y_start,firmname_y_end
377,521,4,1,La Proprietaria Grundstücks-Akt.-Ges.,218.3677978515625,233.97512817382812
378,521,7,1,Lehag Grundstücks-Aktiengesellschaft.,333.7962951660156,351.7403564453125
379,521,10,3,Werkzeug- und Maschinenbau Aktiengesellschaft  vorm. A. Stuttmann & Co.,497.46685791015625,514.856201171875
380,522,1,2,„Passage-Palast Kottbuserdamm 79“ Grundstücks-  Verwaltungs-Aktiengesellschaft.,71.8022232055664,86.30895233154297
381,522,4,1,Villen-Parzelien- Aktiengesellschaft.,207.0431365966797,221.6937255859375
382,522,7,1,Warex Grundstücks-Aktiengesellschaft.,353.5512390136719,370.3675842285156
383,522,9,1,Fellner & Ziegler Aktiengesellschaft.,498.960693359375,517.7431640625
384,523,1,1,Peter Fix Söhne Aktiengesellschaft.,58.70389938354492,76.70390319824219
385,523,4,1,Gemeinnütziger Bauverein Oberland Akt.-Ges.,223.0538787841797,241.0538787841797
386,523,7,2,Rheinische Sensenfahrik Gustav Wippermann & Co.  Kommanditgesellschaft auf Aktien.,381.18084716796875,401.45361328125
387,523,10,1,Landmaschinenfahrik Heinrich Haase Akt.-Ges.,540.6260986328125,559.5201416015625
388,524,1,1,0. A. Schietrumpf & Co. Aktiengesellschaft.,55.7361946105957,74.81475830078125
389,524,4,1,"Förster’sche Maschinen- u. Armaturen-Fabrik, Akt.-Ges.",332.2060546875,348.686279296875
390,524,8,1,Gußstahlwerk Wittmann Aktiengesellschaft.,482.4131164550781,499.4776306152344
391,525,1,1,Kueper & Co. Aktiengesellschaft.,59.16686248779297,76.55619049072266
392,525,4,1,Wippermann junior Aktien-Gesellschaft.,219.2615203857422,237.51528930664062
393,525,7,1,P. Fischer & Co. Aktiengesellschaft.,377.1962890625,395.1403503417969
394,525,9,1,"Friedrich Busch Akt.-Ges., Eisengießerei u. Maschinenfabrik.",534.8463134765625,552.7903442382812
395,526,1,1,Carl Brunswig Akt.-Ges.,56.21118927001953,73.02751922607422
396,526,4,1,Weißflog Metall-Aktiengesellschaft.,193.37144470214844,211.62521362304688
397,526,7,1,Metall- und Kaltwalzwerk Akt.-Ges.,368.916015625,385.396240234375
398,527,1,1,"Schraubenspundfabrik Wm. Kromer, A.-G.",59.25122833251953,76.06755828857422
399,527,3,2,"Kalker Trieurfabrik und Fabrik gelochter Bleche  Mayer & Gie., Akt-Ges.",363.2512512207031,380.0675964355469
400,527,6,1,"Herweg Akt-Ges, für Armaturen- und Apparatebau.",559.4168701171875,576.8062133789062
401,528,1,1,Climax-Werke Aktiengesellschaft.,54.35673522949219,74.33152770996094
402,528,4,1,Ruhr Montanindustrie Aktiengesellschaft.,260.5928649902344,277.0245361328125
403,528,7,1,Westdeutsche Tiefbohr-Aktiengesellschaft.,444.986083984375,464.65838623046875
404,528,10,1,Unterelbe Brikettwerk und Kohlenhandels-Akt-Ges.,624.5538330078125,641.9603271484375
405,529,2,32,W. Güttler Akt.-Ges.,289.17608642578125,308.0701599121094
406,529,3,23,Gienanth-Werke Hochstein Aktiengesellschaft.,492.852294921875,514.4158325195312
407,530,1,2,"Schumag, Schumacher Metallwerke Aktiengesellschaft  für Präzisionsmechanik.",74.71920013427734,92.03948974609375
408,530,4,1,Kaliwerke „Adolfs Glück“ Aktiengesellschaft.,276.8285217285156,296.5767517089844
409,531,3,1,"Steinkohlenbergwerk Friedrich Heinrich, Akt.-Ges,",231.36741638183594,251.72381591796875
410,532,3,1,Bodenprodukte Aktiengesellschaft.,363.4038391113281,378.3700866699219
411,532,6,1,"Hartung, Kuhn & Co., Maschinenfabrik, Akt.-Ges.",509.2962951660156,527.2403564453125
412,533,1,2,Vereinigte Graphit- u. Tiegelwerke Obernzell-Untergriesbach Aktiengesellschaft.,71.84647369384766,87.02021789550781
413,533,4,1,"Süddeutsche Eisengesellschaft Akt-Ges,",256.00518798828125,273.7528076171875
414,533,6,31,Torfwerk Oldenburg Akt.-Ges.,518.5385131835938,538.2867431640625
415,534,1,1,Merfeld Akt.-Ges. für Torfindustrie und Oedlandkultur.,58.841976165771484,77.8469467163086
416,534,5,1,Braimkohienabbau-Verein „zum Fortschritt“. ,361.6653137207031,377.53973388671875
