firm_id,page,block,line,firmname,firmname_y_start,firmname_y_end
1,163,3,1,"Treuhand- und Finanzierung-Gesellschaften, Lombardgeschäfte. Zwecksparverband für Eigenheime Aktiengesellschaft.",174.26919555664062,191.06182861328125
2,163,4,42,Schleswig-Holsteinische Treuhand-Aktiengesellschaft.,513.8295288085938,534.8295288085938
3,163,5,12,"Bankverein Artern, Spröngerts, Büchner & Co.  Kommanditgesellschaft auf Aktien.",640.7395629882812,661.7395629882812
4,164,4,2,"Augsburger Handels- und Gewerbebank (Viehmarktbank), Akt.-Ges.",346.6959228515625,360.94708251953125
5,164,7,4,Ranquc des Reglements International!* (B. R. I.). — Banca dei Regolamenti  Internazionali (R. R.I.). — Rank for International Settlements (R. I. S.).,618.9046020507812,633.5400390625
6,168,9,1,Akt.-Ges. für Verwaltung von Gemeinschaftsvermögen in Liqu.,246.03851318359375,265.7867431640625
7,168,12,1,Aktiengesellschaft für Wirtschaftsprüfung Deutsche Baurevision.,375.62872314453125,394.20269775390625
8,168,15,1,Allgemeine Wirtschaftsbank Aktien-Gesellschaft.,592.6808471679688,612.95361328125
9,169,4,1,Bank Elektrischer Werte Aktiengesellschaft. ,158.33743286132812,174.11669921875
10,171,4,1,Bank für Kommunal- und Grundkredit Aktiengesellschaft.,129.4746856689453,147.18344116210938
11,171,7,1,Bank für Landwirtschaft Aktiengesellschaft.,351.65606689453125,368.13629150390625
12,172,3,1,"„Behak“ Beamten-, Handels- unc",292.5691833496094,309.36181640625
13,172,8,1,Berliner Revisions-Aktiengesellschaft.,428.5635986328125,446.8937072753906
14,172,10,22,Berliner Stadfschafts-Bank Aktiengesellschaft.,632.459228515625,650.1223754882812
15,173,4,1,„Consulta“ Treuhand-Aktiengesellschaft.,593.4974365234375,612.7062377929688
16,174,4,1,* Continentale Commerz-Gesellschaft Aktiengesellschaft.,130.720947265625,150.16259765625
17,174,7,1,Deutsche Bauernbank Aktiengesellschaft.,257.6968994140625,274.40020751953125
18,174,11,1,Deutsche Beamten-Zentral-Bank Aktiengesellschaft.,606.4528198242188,628.2926635742188
19,175,4,1,"Deutsche Gartenbau-Kredit Aktiengesellschaft,",245.7156219482422,263.9638977050781
20,176,2,1,Deutsche Genossenschaftsbank Aktiengesellschaft.,70.40229797363281,91.96581268310547
21,176,5,1,Deutsche Genossenschafts-Hypothekenbank Akt.-Ges. //,168.4021453857422,211.00479125976562
22,178,8,2,Deutsche Genossenschafts-Revisions- und Treuhand- Aktiengesellschaft.,642.446533203125,657.6202392578125
23,179,4,1,Deutsche Golddiskonthank. ,203.45220947265625,220.01663208007812
24,182,38,1,Deutsche Kredit- und Handelsgesellschaft Aktiengesellschaft.,633.07763671875,650.1361694335938
25,183,4,1,Deutsche Länderbank Aktiengesellschaft.,341.45196533203125,360.4569396972656
26,184,4,1,Deutsche Landvolk-Bank Akt.-Ges.,200.83616638183594,219.91473388671875
27,184,7,1,Deutsche Raiffeisenbank A.-G. in Liqu.,539.3562622070312,557.30029296875
28,185,4,1,Deutsche Revisions- und Treuhand-Aktiengesellschaft.,510.0431823730469,530.8272705078125
29,186,4,1,Deutsche Treuhand- und Revisions-Aktiengesellschaft.,209.6031951904297,230.38726806640625
30,186,7,1,Deutsche Unionbank Aktiengesellschaft.,399.0362243652344,417.8509216308594
31,187,4,1,Deutsche Wirtschaftsbank Aktiengesellschaft.,186.1460418701172,205.818359375
32,187,7,1,Deutsche Wohnstätten-Hypothekenbank Aktiengesellschaft. //,551.0238647460938,579.4839477539062
33,190,3,1,"Noten-, Kredit- und Hypothekenbanken. Deutschland Bauspar-Aktiengesellschaft für Stadt u.Land inLiqu.",73.67916870117188,90.47179412841797
34,190,6,1,Diskont und Kredit Aktiengesellschaft.,359.6776123046875,376.7361145019531
35,190,9,2,Finanzgesellschaft industrieller Unternehmungen  Aktiengesellschaft.,571.14697265625,586.3333129882812
36,191,2,1,Grundwerte-Treuhand Aktiengesellschaft in Liqu.,72.39518737792969,90.14279174804688
37,191,5,1,Handelsbank Aktiengesellschaft in Liqu.,152.25363159179688,170.583740234375
38,191,7,28,Heine’sche Vermögens-Verwaltung Aktiengesellschaft.,398.2634582519531,418.7569885253906
39,191,10,1,Immobiliarkredit-Aktiengesellschaft.,499.97601318359375,515.0448608398438
40,192,2,1,Investa Aktiengesellschaft für Anlage und Verwaltung.,71.18608093261719,90.08012390136719
41,192,4,15,"F. W. Krause & Go. Bankgeschäft, K.-G. a. A. in Liqu.",218.81874084472656,237.39271545410156
42,192,6,24,Kreditanstalt Deutscher Brauereien Aktien-Gesellschaft.,433.3255615234375,454.3966979980469
43,192,8,11,"Kreditanstalt für Verkehrsmittel, Akt.-Ges. in Liqu.",553.30126953125,570.447265625
44,193,2,1,Kreditbank-Aktiengesellschaft in Liqu.,72.76123809814453,89.57756805419922
45,193,5,1,Märkische Bank Aktiengesellschaft in Liqu.,228.5768280029297,245.96615600585938
46,193,8,1,Mercator Aktiengesellschaft für Finanz- u. Versicherungs-Wesen.,402.4706726074219,421.25311279296875
47,193,11,1,Mühlenindustrie-Bank Akt.-Ges. in Liqu.,594.3447265625,611.9741821289062
48,194,2,1,Rentenbrief-Aktiengesellschaft.,75.45764923095703,90.6299057006836
49,194,5,1,A. Scharfenberger & Co. Bank-Kommanditges. auf Aktien.,287.11761474609375,304.1761169433594
50,194,8,1,Solidaris Treuhand-Aktien-Gesellschaft.,446.0287170410156,464.6026916503906
51,194,11,1,Spar- und Kredit-Anstalt Aktiengesellschaft.,604.8577880859375,623.5121459960938
52,195,4,1,Sparkraft-Aktiengesellschaft für Kapiialhildung.,219.9613037109375,241.3151092529297
53,195,7,1,Textil Treuhand u. Verwaltungs-Aktiengesellschaft.,460.5962219238281,479.4109191894531
54,195,10,1,August Thyssen-Bank Aktiengesellschaft.,620.265625,635.757080078125
55,196,4,1,„Treuhand“ Aktiengesellschaft für Buch- und Betriebs-Prüfung.,327.7408142089844,348.0135803222656
56,196,7,1,"Treuhand Akt.-Ges. für Industrie, Handel und Gewerbe.",542.3135986328125,560.6436767578125
57,196,10,1,Treuhandgesellschaft Eintracht Aktiengesellschaft.,639.3960571289062,659.068359375
58,197,4,1,Union Bank Kommanditgesellschaft auf Aktien.,209.85360717773438,228.1837158203125
59,197,7,2,Vereinigte Industrie-Unternehmungen Aktiengesellschaft // (Viag).,493.64385986328125,508.75518798828125
60,200,2,1,Wirtschafts-Treuhand Aktiengesellschaft.,72.5709228515625,92.01256561279297
61,200,5,1,„Wuw“ Akt-Ges. für Waren und Wertpapiere.,285.38604736328125,304.2801208496094
62,200,8,1,Vereinssparkasse in Bersenbrück Akt.-Ges.,444.7287292480469,463.3027038574219
63,200,11,1,Treuhand- und Revisionsaktiengesellschaft Bielefeld.,582.1860961914062,601.0801391601562
64,201,2,1,Kommunalbank Aktiengesellschaft.,74.9114761352539,93.16524505615234
65,201,5,1,Gewerbebank Böblingen A.-G.,318.4166564941406,334.5531311035156
66,201,8,2,Fleckenskasse A.-G. (vormals Flecken Bramstedter Spar- und Leihkasse Akt.-Ges.),563.8704833984375,583.1676025390625
67,202,2,1,Ostpreußische Revisions- u. Treuhand-Aktiengesellschaft.,71.3109130859375,90.75255584716797
68,202,5,3,"beratung (vorm. Dipl.-Kfm, Willer und Dipl.-Kfm. Lang Treuhandgesellschaft)",211.5128173828125,226.6650390625
69,202,8,1,Bankverein für Nordwestdeutschland Aktiengesellschaft.,423.7860412597656,442.68011474609375
70,203,4,1,Bremer Volks- und Sparbank Aktiengesellschaft.,269.7532043457031,290.53729248046875
71,203,7,1,Norddeutsche Kreditbank Aktiengesellschaft.,412.8408203125,433.11358642578125
72,204,4,1,Norddeutsche Treuhand-Verwaltung Aktiengesellschaft.,349.5874938964844,368.7962646484375
73,204,7,1,Breslauer Baubank. ,503.8013610839844,520.9473266601562
74,205,4,1,Breslauer Kassenverein u. Effektengirobank Aktiengesellschaft.,385.1177673339844,403.7721252441406
75,206,2,1,Hansa-Bank Schlesien Aktiengesellschaft.,69.19664001464844,88.32737731933594
76,206,6,1,Bank für Handel u. Verkehr Aktiengesellschaft.,391.7760925292969,410.670166015625
77,207,2,1,Chemnitzer Bank Aktiengesellschaft.,73.2138671875,90.62033081054688
78,207,5,1,Chemnitzer Bank für Grundbesitz Aktiengesellschaft.,311.4538879394531,329.4538879394531
79,207,8,1,Cochemer Volksbank Actiengesellschaft.,580.5156860351562,598.7639770507812
80,208,3,1,Coseler Bankverein,142.1868896484375,162.38571166992188
81,208,9,1,Demminer Kreisbank Aktiengesellschaft.,388.4538879394531,406.4538879394531
82,208,12,1,Donauhank Aktiengesellschaft.,633.5374755859375,649.3167114257812
83,209,4,1,Allgemeine Treuhand-Aktien-Gesellschaft.,157.5355987548828,178.60671997070312
84,209,7,1,Dresdner Bank.,409.169189453125,425.9618225097656
85,214,4,1,Sächsische Getreidekreditbank Aktiengesellschaft.,216.72915649414062,234.0494384765625
86,214,6,29,Sächsische Handelsbank in Liqu.,471.5077819824219,490.1621398925781
87,215,4,1,Deutsche Werkmeister Sparbank Aktiengesellschaft.,133.27914428710938,150.07177734375
88,215,7,1,Ernst Tewes Bank- und Verwaltungsaktiengesellschaft.,253.8638458251953,271.86383056640625
89,215,10,1,Deutsche Schiffskreditbank Aktiengesellschaft. ,477.43603515625,496.3301086425781
90,217,7,7,Revisions- und Treuhand-Akt-Ges. „Westdeutschland“.,444.6474609375,463.8562316894531
91,217,8,23,Rheinisch-Westfälischer Kassen-Verein Akt.-Ges.,648.6318359375,668.9046020507812
92,218,4,1,Frankenthaler Volkshank Aktiengesellschaft.,247.86309814453125,264.9276123046875
93,218,7,1,Deutsche Effecten- und Wechsel-Bank. ,542.6610107421875,559.8074340820312
94,220,10,1,Frankfurter Bank. ,384.52764892578125,401.5861511230469
95,222,2,1,"Frankfurter Baukasse, Aktiengesellschaft.",69.55662536621094,88.68736267089844
96,222,4,29,Westbank Aktiengesellschaft.,316.0528259277344,332.4844970703125
97,222,5,41,Oberhessische Bank Actiengesellschaft.,648.027587890625,665.0861206054688
98,223,4,1,"Volksbank Füssen, Akt.-Ges.",216.62977600097656,234.80661010742188
99,224,4,1,Gederner Bank Aktiengesellschaft.,115.16680145263672,132.55612182617188
100,224,7,1,Geltinger Kreditbank Aktiengesellschaft.,351.4021911621094,367.96661376953125
101,224,10,2,Aktiengesellschaft Spar- und Vorschußverein  Großhartmannsdorf.,552.9506225585938,567.1956176757812
102,225,2,1,Gross Strehlitzer Bank Aktiengesellschaft.,71.17463684082031,88.88339233398438
103,225,5,1,Volksbank Groß-Zimmern Aktiengesellschaft.,296.73724365234375,316.81689453125
104,225,8,1,"Elektro-Spar- und Kreditbank, Aktiengesellschaft.",563.3909301757812,581.94873046875
105,226,2,1,"Hademarscher Spar- u. Leihkasse, A.-G.",72.53743743896484,91.74622344970703
106,226,5,1,Gewerbe- u. Handelsbank Aktiengesellschaft. ,253.86387634277344,271.8638610839844
107,226,7,1,Hallesche Effecten- u. Wechselbank Actiengesellschaft.,635.5960693359375,655.2683715820312
108,227,4,2,"Hallescher Bankverein von Kulisch, Kaempf & Co. //  Hommandit-Ges. auf Aktien.",288.2860412597656,307.18011474609375
109,229,2,1,Bank für deutsche Arbeit und Sparbank von 1820 Akt.-Ges.,71.2204360961914,90.5176010131836
110,229,5,1,Commerz- und Privat-Bank Aktiengesellschaft. ,258.7112121582031,275.5275573730469
111,232,13,1,Deutsche Schiffsbeleihungs-Bank Akt.-Ges. ,452.97161865234375,473.53350830078125
112,233,4,1,Hamburger Treuhand Aktiengesellschaft.,646.142822265625,662.574462890625
113,234,8,1,1923 Aktiengesellschaft.,236.57763671875,253.63613891601562
114,235,4,1,Hanseatische Kreditanstalt für Verkehrsmittel Aktiengesellschaft.,166.9346466064453,184.64340209960938
115,235,7,1,Waren-Credit-Anstalt in Hamburg. ,318.2168273925781,335.60614013671875
116,235,12,1,"Gebr. Dammann Bank Kommandit-Ges, auf Aktien.",602.9768676757812,620.3662109375
117,236,4,1,Hannoversche Gesellschaft für Industrie u. Bankwesen Akt.-Ges.,140.7193145751953,158.38241577148438
118,236,7,1,Wirtschaftsbank für Niederdeutschland Aktiengesellschaft.,349.6593017578125,367.3223876953125
119,237,2,1,Handels- und Gewerbebank Heilbronn A.-G.,69.41680145263672,86.8061294555664
120,237,6,1,"Industrie- und Landbank, Aktiengesellschaft.",560.4847412109375,578.1141967773438
121,238,4,1,Spar- und Vorschußbank A.-G.,261.663818359375,279.0702819824219
122,238,9,1,Hertener Volksbank Aktiengesellschaft.,457.4331359863281,473.49505615234375
123,239,2,1,Schleswig-Holsteinische Bank. ,72.36090087890625,91.80254364013672
124,240,13,1,Schleibank.,431.6535339355469,446.6333312988281
125,241,2,1,"Landkreditbank Schleswig-Holstein, Aktiengesellschaft.",72.91305541992188,89.9775619506836
126,241,5,1,"Vereinsbank Kirchberg, Aktiengesellschaft.",287.9609680175781,304.18408203125
127,241,8,1,Rheinische Landbank Aktiengesellschaft.,555.2706909179688,574.0531616210938
128,242,4,1,Bausparkasse Germania Aktiengesellschaft.,204.41871643066406,222.99269104003906
129,242,8,1,Kölner Kassen-Verein Aktiengesellschaft.,637.8928833007812,654.3245239257812
130,243,4,1,Rheinisch-Westfälische „Revision“ Treuhand Akt.-Ges.,279.2368469238281,299.1059875488281
131,243,7,1,Rheinische Banernbank Aktiengesellschaft in Liqu.,546.8107299804688,565.5932006835938
132,244,4,2,Rheinische Kreditgesellschaft für Haus- und Grundbesitz Aktiengesellschaft.,280.28692626953125,295.4732666015625
133,244,7,1,Allgemeine Deutsche Credit-Anstalt. ,454.03607177734375,472.9301452636719
134,248,4,1,Communal-Bank für Sachsen. ,313.4462585449219,331.39031982421875
135,250,4,1,„Crehag“ Credit- u. Handels-Aktiengesellschaft.,267.6609191894531,287.1025695800781
136,250,7,1,Leipziger Kassen-Verein Aktiengesellschaft.,534.3538208007812,551.7603149414062
137,251,4,1,Kreis-Hypothekenbank Lörrach.,125.10381317138672,140.070068359375
138,251,7,1,Pfälzische Hypothekenbank. ,580.89111328125,595.5443725585938
139,254,5,1,"Pfälzische Wirtschaftshank, Gemeinnützige Aktiengesellschaft.",523.2100830078125,543.2596435546875
140,255,4,1,Commerz-Bank in Lübeck. ,262.1130676269531,279.1775817871094
141,256,28,1,Landwirtschaftlicher Creditverein für das Wendland.,606.5562744140625,626.070068359375
142,257,4,1,Magdeburger Viehmarkt-Bank.,205.52684020996094,222.91616821289062
143,257,7,2,"Rheinische Garantiehank, Kautions-Versicherungs-  Aktiengesellschaft.",464.7865295410156,479.44580078125
144,258,4,1,Treuhand-Aktiengesellschaft Rheinland.,162.31874084472656,180.89271545410156
145,258,7,1,Getreide-Kredit Aktiengesellschaft in Liqu.,350.3531799316406,371.13726806640625
146,258,10,1,Mayener Volksbank.,505.16448974609375,526.4481201171875
147,259,2,1,Meeraner Bank Aktiengesellschaft.,72.42916870117188,89.22179412841797
148,259,5,1,Revisions- u. Treuhand-Aktiengesellschaft „Thüringen“.,334.6709289550781,354.1125793457031
149,259,8,1,Krögiser Bank Aktiengesellschaft.,426.0287170410156,444.6026916503906
150,259,11,1,Sauerländischer Bankverein Akt.-Ges.,621.6181640625,642.1845703125
151,260,4,1,Aktiengesellschaft für private Vermögensverwaltung.,226.7093048095703,244.37240600585938
