US Company,TFR-500_link_type,TFR-500,Tenenbaum_link_type,Tenenbaum,Moodys 32_link_type,Moodys 32,Moodys 34_link_type,Moodys 34,HB 32_link_type,HB 32,HB 34_link_type,HB 34,HB GmbH_link_type,HB GmbH
Ford Motor Company,USO,True,USO,True,USO,True,USO,True,USO,True,USO,True,,False
"Foreign Investments, Incorporated",USO,True,,False,,False,,False,,False,,False,,False
"Fownes Brothers & Co., Inc.",,False,,False,,False,Others,True,,False,,False,,False
"G. Hirsch Sons, Inc.",USO,True,,False,,False,,False,,False,,False,,False
General American Tank Car Corp ,,False,,False,,False,,False,USOP,True,USOP,True,,False
General American Transportation Corporation,,False,USO,True,,False,USO,True,,False,,False,,False
General Motors Acceptance Corporation,USO,True,,False,USO,True,USO,True,,False,,False,,False
General Motors Corporation (Overseas Operations),USO,True,USO,True,USO,True,USO,True,USO,True,USO,True,USO,True
German-American Tobacco Co.,,False,,False,,False,Others,True,,False,,False,USO,True
Gillette Safety Rasor Company,USO,True,,False,,False,,False,,False,,False,,False
Gillette Safety Razor Company,USO,True,USO,True,,False,,False,,False,,False,USO,True
Globe Steel Tubes Company,,False,,False,,False,Others,True,,False,,False,,False
"Grant, (W. T.) Company",,False,,False,,False,,False,,False,,False,USOP,True
Guardian Life Insurance Co. of America,,False,,False,,False,,False,,False,USOP,True,,False
Gulf Oil Corporation,USO,True,,False,USO,True,Others,True,,False,,False,,False
"Harris, Forbes & Co.",,False,,False,,False,,False,USC,True,USOP,True,,False
Haskins & Sells,USO,True,,False,,False,,False,,False,,False,,False
Hazeltine Corp.,,False,,False,,False,USC,True,,False,,False,,False
Heyden Chemical Corp.,,False,,False,USC,True,USC,True,,False,,False,,False
"Heyden Chemical Corporation, New York",,False,DEO,True,,False,,False,,False,,False,,False
"Holophane Company, Inc.",,False,,False,,False,,False,,False,,False,USOP,True
Hudson Motor Car Company,USO,True,,False,,False,,False,,False,,False,,False
Hugo Stinnes Corporation,USO,True,Others,True,USO,True,USO,True,,False,,False,,False
"Hugo Stinnes Industries, Inc.",USO,True,USO,True,USO,True,USO,True,,False,,False,,False
Hupp Motor Car Corporation,,False,,False,,False,,False,,False,,False,USOP,True
I. B. Kleinert Rubbert Company,USO,True,,False,USO,True,USO,True,,False,,False,,False
Ingersoll-Rand Company,,False,,False,,False,,False,,False,,False,USO,True
International Affiliated Corporation,USO,True,,False,,False,,False,,False,,False,,False
International Agricultural Corporation,,False,USO,True,,False,,False,,False,,False,,False
International Business Machine Corp.,USO,True,Others,True,USO,True,,False,,False,,False,,False
International Finance Company,USO,True,,False,,False,,False,,False,,False,,False
International General Electric Company Inc.,USC,True,USO,True,USOP,True,USO,True,USOP,True,USO,True,,False
International Harvester Company,USO,True,USO,True,USO,True,USO,True,,False,,False,USO,True
International Harvester Export Co.,USO,True,,False,,False,,False,,False,,False,,False
International Mercantile Marine Co.,,False,,False,,False,Others,True,,False,,False,,False
International Mortgage & Investment Corporation c/o Alien Property Custodian,USO,True,,False,,False,,False,,False,,False,,False
"International Patent Corporation, Maryland",,False,DEO,True,,False,,False,,False,,False,,False
International Securities Company,USO,True,,False,,False,,False,,False,,False,,False
International Standard Electric Corp.,USO,True,USO,True,,False,,False,,False,,False,,False
International Telephone and Telegraph Corp.,USO,True,USO,True,,False,,False,USO,True,USO,True,,False
Intertype Corporation,USO,True,,False,USO,True,USO,True,,False,,False,,False
J. E. Bernard & Co. Inc.,USO,True,,False,,False,,False,,False,,False,,False
Jadev Corporation,USO,True,,False,,False,,False,,False,,False,,False
Johnson & Son. St. Louis,,False,USO,True,,False,,False,,False,,False,,False
Jones (J. Edward) Royalty Trust,,False,,False,,False,Others,True,,False,,False,,False
Julius Kayser & Company,,False,USO,True,USO,True,USO,True,,False,,False,,False
Koenig Medicine Co.,USOP,True,,False,,False,,False,,False,,False,,False
Kraft Cheese Company,USO,True,USO,True,,False,,False,,False,,False,USO,True
Kupfer Bros. Co. Inc.,USO,True,,False,,False,,False,,False,,False,,False
L. C. Smith & Corona Typewriters Inc.,USO,True,,False,USO,True,USO,True,,False,,False,,False
Lehn & Fink Products Corporation,USO,True,,False,,False,,False,,False,,False,,False
Lehn & Pink Products Corporation,USO,True,,False,,False,USO,True,,False,,False,,False
"Lentheric, Incorporated",USO,True,,False,,False,,False,,False,,False,,False
Libbey-Owens-Ford Glass Company,,False,USO,True,USC,True,USC,True,,False,,False,,False
"Libby, McNeill & Libby",USO,True,,False,,False,,False,,False,,False,,False
Ligget & Myers Tobacco Co.,,False,USOP,True,,False,,False,,False,,False,,False
"Lingner Corporation, New York",,False,DEO,True,,False,,False,,False,,False,,False
Loew's Incorporated,USO,True,,False,,False,,False,USOP,True,,False,,False
"Lykes Bros. Steamship Co., Inc.",USO,True,,False,,False,,False,,False,,False,,False
Magdalena Syndicate,USO,True,,False,USO,True,,False,USO,True,,False,,False
Markt & Co. Inc.,USO,True,,False,,False,,False,,False,,False,,False
Markt & Hammacher Co.,USOP,True,,False,,False,Others,True,,False,,False,,False
"Mccann-Erickson, Inc.",USO,True,,False,,False,,False,,False,,False,,False
Mergenthaler Linotype Company,USO,True,USO,True,USO,True,USO,True,,False,,False,,False
Metal and Thermit Corp.,,False,DEO,True,,False,,False,,False,,False,,False
Metallic Products Corp. c/o US Corp. Co.,USO,True,,False,,False,,False,,False,,False,,False
Metals Coating Company of America,,False,,False,,False,,False,USO,True,USO,True,,False
Metro-Goldwyn-Mayer Pictures Corporation,,False,USO,True,,False,,False,,False,,False,,False
Moto Meter Gauge & Equipment Corp.,,False,,False,USO,True,USO,True,,False,,False,,False
National Lead Company,USO,True,USO,True,USO,True,USO,True,,False,,False,,False
"New England Industries, Inc.",USO,True,,False,,False,,False,,False,,False,,False
