German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Vol,Grossaktionär is a US comp,Director attached to a US company,US location linked to a director,US-sounding names,Bond issuance in the US,Other indicators,Other indicators are strong
„Miag“ Mühlenbau u. Industrie Aktiengesellschaft,,USC,AG,,„Miag“ Mühlenbau u. Industrie Aktiengesellschaft,"Vol 3, p. 543",False,False,True,False,True,,False
Actien-Bierbrauerei,,USC,AG,,Actien-Bierbrauerei,"Vol 1, p. 1249",False,False,True,False,False,,False
Adam Opel Aktiengesellschaft,General Motors Corporation (Overseas Operations),USO,AG,General Motors Corporation. New York.,Adam Opel Aktiengesellschaft,"Vol 4, p. 765",True,False,False,False,False,,False
Akt.-Ges. für Erwerb und Verwaltung von Grundbesitz,,USC,AG,,Akt.-Ges. für Erwerb und Verwaltung von Grundbesitz,"Vol 3, p. 271",False,False,True,False,False,,False
Aktiengesellsehaft für Konzessionsunternehmen,,USC,AG,,Aktiengesellschaft für Konzessionsunternehmen,"Vol 3, p. 1548",False,False,True,False,False,,False
"Alex. Zink, Filzfabrik, Akt.-Ges.",,USC,AG,,"Alex. Zink, Filzfabrik, Akt.-Ges.","Vol 4, p. 1075",False,False,True,False,False,,False
Allgemeine Automobil-Versicherungs-Aktiengesellschaft,,USOP,AG,,Allgemeine Automobil-Versicherungs-Aktiengesellschaft in Liqu.,"Vol 3, p. 1272",False,False,False,True,False,"last name ""Opel"" included, which suggests it's a subsidiary of Opel",True
Allgemeine Elektricitäts-Gesellschaft,International General Electric Company Inc.,USOP,AG,General Electric Comp. in New York,Allgemeine Elektricitäts-Gesellschaft,"Vol 1, p. 692",False,True,True,False,False,"Kapital: ""In Verfolg der im Juli 1929 getroffenen Vereinbarungen mit der General Electric Comp. in New York (s. auch oben) ist der International General Electric Company als Trägerin der Auslandsinteressen der General Electric Company eine Kapitalbeteilig, bei der G e s . dergestalt eingeräumt worden, dass sie RM. 30000.GOO St.-Akt. der Ges. zum Kurse von 200% erwirbt"" i.e., General electric received shares in the company.",False
Allgemeine Transportmittel Aktiengesellschaft,General American Tank Car Corp ,USOP,AG,General American Tank Car Corp ,Allgemeine Transportmittel Finanzierungs AG,"Vol 4, p. 1465",False,True,True,False,False,"Entwicklung: General American Tank Car Corp. was granted shares amounting to RM 627,500 (u. der General American Tank Car Corp. Aktien im Betrage von RM. 627 500 gewährt).",True
Amira Akt.-Ges.,,USC,AG,,Amira Akt.-Ges.,"Vol 1, p. 1822",False,False,True,False,False,,False
Anhaltische Kohlenwerke,,USC,AG,,Anhaltische Kohlenwerke,"Vol 2, p. 503",False,False,True,False,False,,False
August Thyssen-Bank Akt.-Ges.,Union Banking Corp. Cornelis Lievense,USOP,AG,"Union Banking Corp. Cornelis Lievense, New York",August Thyssen-Bank Akt.-Ges.,"Vol 1, p. 258",False,True,True,False,False,,False
Bayerische Mineral Industrie AG,Bavarian oil and Gas Corporation,USO,AG,Bavarian oil and Gas Corporation,Bayerische Mineral-Industrie Aktiengesellschaft,"Vol 4, p. 522",True,False,False,False,False,"Large shareholder ""90% of the A.-K. is owned by an American group.""",False
Bayerische Reisszeugfabrik AG,,USC,AG,,"Bayerische Reisszeugfabrik, Akt.-Ges.","Vol 2, p. 872",False,False,True,False,False,,False
Berliner Kraft- und Licht-Aktiengesellschaft,"Harris, Forbes & Co.",USC,AG,"Harris, Forbes & Co.",Berliner Kraft- und Licht-Aktiengesellschaft,"Vol 1, p. 699",False,False,True,False,False,"Kapital: ""von der amerikanischen Gruppe unter Führung der Firma Harris, Forbes & Co. u. der J. Henry Schröder Banking Corporation in New York . . . . . . . „ 3 2 00000"" i.e. American group underwrote RM 32,000,000 worth of shares so they have equity in the company",False
