German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Vol,Grossaktionär is a US comp,Director attached to a US company,US location linked to a director,US-sounding names,Bond issuance in the US,Other indicators,Other indicators are strong
Berliner Städtische Elektrizitätswerke Akt.-Ges. (BEWAG),,USC,AG,,Berliner Städtische Elektrizitätswerke Akt.-Ges. (BEWAG),"Vol 3, p. 689",False,False,True,False,True,,False
"Billeter & Klunz, Aktiengesellschaft",,USC,AG,,"Billeter & Klunz, Aktiengesellschaft","Vol 3, p. 496",False,False,True,False,False,,False
Bronzefarbenwerke A.-G. vorm. Carl Schlenk,U.S. Bronze Powder Works Inc.,USOP,AG,"U.S. Bronze Powder Works Inc., New York",Bronzefarbenwerke A.-G. vorm. Carl Schlenk,"Vol 2, p. 1207",False,True,False,False,False,,False
C. Lorenz AG,International Telephone and Telegraph Corp.,USO,AG,International Telephone and Telegraph Corp. (I. T. T.),C. Lorenz Aktiengesellschaft,"Vol 2, p. 768",True,False,False,False,False,,False
Ch. Eitingon AG,"Eitingon Schild Co., Inc.",USC,AG,"Eitingen Schild Co., New York",Ch. Eitingon Aktiengesellschaft,"Vol 4, p. 1715",False,False,True,False,False,"Business arrangment with New York based branch (Eitingen Schild Co., New York) but does not appear to be a subsidiary. ",False
Commercial Investment Trust Akt.-Ges. (Citag),Commercial Investment Trust Corp.,USO,AG,Commercial Investment Trust Corp.,Commercial Investment Trust Akt.-Ges. (Citag),"Vol 1, p. 219",True,False,False,False,False,,False
Concordia Hotel-Akt.-Ges.,,USC,AG,,Concordia Hotel-Akt.-Ges.,"Vol 4, p. 1429",False,False,True,False,False,,False
Credit Aktiengesellschaft für Ford-Fahrzeuge.,,USC,AG,,Credit Aktiengesellschaft für Ford-Fahrzeuge.,"Vol 2, p. 1895",False,False,True,False,False,,False
Danziger Handels- und Industriebank Akt.-Ges.,,USC,AG,,"Danziger Handels- und Industriebank Akt.-Ges,.,","Vol 1, p. 269",False,False,True,False,False,,False
Danziger Hypothekenbank Akt.-Ges.,,USC,AG,,Danziger Hypothekenbank Akt.-Ges.,"Vol 2, p. 243",False,False,True,False,False,,False
Dartex Aktiengesellschaft für Kautschuk-Verarbeitung,Dewey & Almy Chemical Co.,USO,AG,"Dewey and Almy Chemical Comp., Cambridge/Mass.",Dartex Aktiengesellschaft für Kautschuk-Verarbeitung,"Vol 3, p. 1160",True,False,True,False,False,,False
Deutsch-Amerikanische Petroleum-Gesellschaft,Standard Oil Company (New Jersey),USO,AG,"Standard Oil Company, (N. J.) New York",Deutsch-Amerikanische Petroleum-Ges.,"Vol 2, p. 1914",True,False,False,False,False,,False
Deutsch-Atlantische Telegraphengesellschaft,"W. A. Harriman & Co., Inc., New York.",USOP,AG,"W. A. Harriman & Co., Inc., New York.",Deutsch-Atlantische Telegraphengesellschaft,"Vol 1, p. 703",False,False,False,False,False,"Kapital: ""Dann lt. gleicher G.-V. erhöht um EM. 625000 in 625 St.-Akt. zu EM. 1000 mit Div.-Ber. vom Tage der Einzahl, ab, übernommen von der Firma W. A. Harriman & Co., Inc., New York."" American bank therefore has equity.",True
Deutsche Fox-Film Aktiengesellschaft,Twentieth Century-Fox Film Corp.,USOP,AG,Fox Film Corporation,Deutsche Fox-Film Aktiengesellschaft,"Vol 2, p. 1487",False,False,True,False,False," in Zweck: ""The company's further purpose is, in particular, the distribution and rental of films from the Fox Film Corporation in New York in the territory of the German Reich, including the Saar region, the Free City of Danzig, and the Memel region.""",True
Deutsche Johnson A. G.,,USC,AG,,Deutsche Johnson Aktiengesellschaft in Liqu.,"Vol 3, p. 507",False,False,True,False,False,"Purpose: Sale and distribution of electric floor polishers and other products made by Johnson & Sohn, as well as trading in any other commercial products.",False
Deutsche Maizena Werke AG,,USC,AG,,Deutsche Maizena-Werke Akt.-Ges.,"Vol 1, p. 1478",False,False,True,False,False,,False
Deutsche Ueberseeische Bank,,USC,AG,,Deutsche Ueberseeische Bank,"Vol 1, p. 1592",False,False,True,False,False,,False
Dreipreis Waren-Vertriebs-Aktiengesellschaft in Liqu.,,USC,AG,,Dreipreis Waren-Vertriebs-Aktiengesellschaft in Liqu.,"Vol 1, p. 1524",False,False,True,False,False,,False
Damm & Ladwig Kommandit Gesellschaft und Dulv Aktiengesellschaft,The Yale & Towne Manufacturing Company,USOP,AG,"The Yale & Towne Mfg. Co., Stamford (Conn., U.S.A.)",Dulv Aktiengesellschaft,"Vol 3, p. 1602",False,True,False,False,False,,False
Dynamit-Act.-Ges. vormals Alfred Nobel & Co.,E.I. du Pont de Nemours and Company,USO,AG,E. I. du Pont de Nemours & Company,Dynamit-Act.-Ges. vormals Alfred Nobel & Co.,"Vol 2, p. 1289",True,False,False,False,False,"Grossaktionäre: I. G. Farbenindustrie A.-G., Imperial Chemical Industries Ltd., London u. Du Pont Ges.",False
Eduard Winter Akt.-Ges. für Kraftfahrzeuge,General Motors Corporation (Overseas Operations),USC,AG,General Motors Company,Eduard Winter Akt.-Ges. für Kraftfahrzeuge,"Vol 3, p. 534",False,False,True,False,False,"Purpose: ""Sales agency of General Motors Company. 1930 Acquisition of the general agency of Adam Opel A.-G. in Rüsselsheim.""",False
"Emlichheimer Kartoffelmehlfabrik, Aktiengesellschaft,",,USC,AG,,"Emlichheimer Kartoffelmehlfabrik, Aktiengesellschaft,","Vol 4, p. 1582",False,False,True,False,False,,False
Europäische Titeflex Metallschlauch-Aktiengesellschaft,Titeflex Metal Hose Co.,USOP,AG,"Titeflex Metal Hose Co., Newark N.J. U.S.A.",Europäische Titeflex Metallschlauch-Aktiengesellschaft,"Vol 3, p. 517",False,True,False,False,False,,False
Ford-Werke AG,Ford Motor Company,USO,AG,Ford Motor Company,Ford Motor Company Aktiengesellschaft,"Vol 2, p. 665",True,False,False,False,False,Name of company,True
Fox Tönende Wochenschau Aktiengesellschaft,,USC,AG,,Fox Tönende Wochenschau Aktiengesellschaft,"Vol 3, p. 1173",False,False,True,True,False,,False
Geo. Borgfeldt & Co. Aktiengesellschaft,,USC,AG,,Geo. Borgfeldt & Co. Aktiengesellschaft,"Vol 1, p. 1540",False,False,True,False,False,,False
"Ha-No-Mex, Handels-Akt.-Ges.",,USC,AG,,"Ha-No-Mex, Handels-Akt.-Ges.","Vol 3, p. 1582",False,False,True,False,False,,False
"Haendler & Natermann, Akt.-Ges.",,USC,AG,,"Haendler & Natermann, Akt.-Ges.","Vol 3, p. 602",False,False,True,False,False,,False
"Heinrich Koppers, Akt.-Ges.",,USC,AG,,"Heinrich Koppers, Akt.-Ges.","Vol 3, p. 792",False,False,True,False,False,,False
Herz-Oelfabriken-Wittenberge-Aktiengesellschaft,,USC,AG,,Herz-Oelfabriken-Wittenberge-Aktiengesellschaft,"Vol 4, p. 1117",False,False,True,False,False,,False
Iduna Holding Aktiengesellschatt,Rossia International Corporation,USO,AG,Rossia International Corporation in Hartford-Conn. (U.S.A.),Iduna Holding Aktiengesellschatt,"Vol 3, p. 1222",True,False,False,False,False,,False
Kardex Akt.-Ges. fir Büroartikel,,USC,AG,,Kardex Akt.-Ges. fir Büroartikel,"Vol 3, p. 1805",False,False,True,False,False,,False
Kastor & Co. Akt.-Ges.,,USC,AG,,Kastor & Co. Akt.-Ges.,"Vol 3, p. 651",False,False,True,False,False,,False
Kodak Aktiengesellschaft,Eastman Kodak Company,USO,AG,Eastman Kodak Company,Kodak Aktiengesellschaft,"Vol 2, p. 767",True,False,False,False,False,"Grossaktionäre: Kodak Ltd., London",False
Kohlenveredlung und Schwelwerke Aktiengesellschaft,International General Electric Company Inc.,USOP,AG,General Electric Comp. in New York,Kohlenveredlung und Schwelwerke Aktiengesellschaft,"Vol 2, p. 1235",False,False,False,False,False,Grossaktionäre: Allgemeine Elektrizitäts-Ges. Berlin,True
Königstadt-Aktiengesellschaft f. Grundstücke u. Industrie,,USC,AG,,Königstadt-Aktiengesellschaft f. Grundstücke u. Industrie,"Vol 1, p. 1665",False,False,True,False,False,,False
"M. Wulfsohn & Co., Aktiengesellschaft in Liqu.",,USC,AG,,"M. Wulfsohn & Co., Aktiengesellschaft in Liqu.","Vol 3, p. 1040",False,False,True,False,False,,False
Maschinenfabrik Turner AG,,USC,AG,,Maschinenfabrik Turner Akt.-Ges.,"Vol 1, p. 1714",False,False,True,False,False,,False
Mercedes Buromaschinen Werke AG,Underwood Elliott Fisher Company,USOP,AG,"Underwood Elliott Fisher Company, New York","Mercedes Büromaschinen-Werke Aktiengesellschaft,","Vol 1, p. 527",False,False,True,False,False,"In Zweck: On December 22/12, 1930, an agreement was reached between the company and the Underwood Elliott Fisher Company, New York, under which both companies will mutually exchange their industrial property rights and manufacturing experience. The agreement aims to further develop both companies and promote mutual interests.",True
Metallisator Akt.-Ges.,Metals Coating Company of America,USO,AG,Metals Coating Company of America in Philadelphia,Metallisator Akt.-Ges.,"Vol 1, p. 521",True,False,False,False,False,,False
Metallisator Berlin Akt.-Ges.,Metals Coating Company of America,USO,AG,Metals Coating Company of America in Philadelphia,Metallisator Berlin Akt.-Ges.,"Vol 3, p. 524",True,False,False,False,False,,False
Metro-Goldwyn-Mayer Film AG,Loew's Incorporated,USOP,AG,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer Film Aktiengesellschaft,"Vol 4, p. 1394",False,False,False,True,False,"no mention of American ownership, board memebrs are from Paris and Berlin, company's purpose is to distrubute MGM rentals but does not appear to be owned by the MGM American company. 'William H. King' is a US-resembling name.",True
Mineraloel-Raffinerie vorm. August Korff,Standard Oil Company (New Jersey),USO,AG,"Standard Oil Comp. of New Jersey, New York",Mineraloel-Raffinerie vorm. August Korff,"Vol 2, p. 1250",True,False,False,False,False,,False
Mix & Genest AG,International Telephone and Telegraph Corp.,USO,AG,International Telephon & Telegraph Comp.,Mix & Genest Aktiengesellschaft,"Vol 2, p. 580",True,False,False,False,False,,False
Mülheimer Bergwerke Verein AG,,USC,AG,,Mülheimer Bergwerksverein,"Vol 2, p. 524",False,False,True,False,False,,False
Münchener Rückversicherungs-Gesellschaft,,USC,AG,,"Münchener Rückversicherungs-Gesellschaft (shorthand, Munich Re)","Vol 4, p. 1458",False,False,True,False,False,,False
National-Film Verleih- u. Vertriebs-Aktiengeseilschaft,,USOP,AG,,National-Film Verleih- u. Vertriebs-Aktiengesellschaft,"Vol 1, p. 1057",False,False,False,False,False,The Aufsichtsrat has an American lawayer (amerikanische Rechtsanwalt),True
Neue Gross-Berliner Haus-Aktiengesellschaft,,USC,AG,,Neue Gross-Berliner Haus-Aktiengesellschaft,"Vol 2, p. 362",False,False,True,False,False,,False
Norddeutsche Mineralöl-Aktiengesellschaft,Magdalena Syndicate,USO,AG,Magdalene Syndicate Corp.,Norddeutsche Mineralöl-Aktiengesellschaft,"Vol 4, p. 511",True,False,False,False,False,"Large shareholder is US-resembling company name ""Magdalene Syndicate Corp.""",False
Optima-Maschinenfabrik A.-G.,,USC,AG,,Optima-Maschinenfabrik A.-G.,"Vol 3, p. 667",False,False,True,False,False,,False
Paramount Film AG,"Paramount Pictures, Inc.",USOP,AG,Paramount,Paramount Film Aktiengesellsehaft,"Vol 2, p. 1492",False,False,False,True,False,"US sounding names: ""Gustave J. Schaefer, Harvey D. Ott, George P. Vallar."" and Paramount is a famous US company",True
Pfaudler-Werke AG,The Pfaudler Co.,USO,AG,"Pfaudler Co., Rochester N.Y.",Pfaudler-Werke Akt.-Ges.,"Vol 4, p. 775",True,False,False,False,False,,False
Pittler Werkzeugmaschinenfabrik Aktiengesellschaft,The National Acme Co.,USOP,AG,"The National Acme Co. in Cleveland, Ohio, U.S.A.",Pittler Werkzeugmaschinenfabrik Aktiengesellschaft,"Vol 2, p. 675",False,False,True,False,False," Verträge: Unter dem 30./9. 1930 ist die Ges. auf Grund eines Vertrages in freundschaftliche Beziehungen zur „The National Acme Co in Cleveland, Ohio U. S. A."" getreten. (Contracts: On September 30, 1930, the company entered into friendly relations with ""The National Acme Co. in Cleveland, Ohio, U.S.A."" based on a contract.)",True
Porzellanfabriken Paul Rauschert Aktiengesellschaft,,USC,AG,,Porzellanfabriken Paul Rauschert Aktiengesellschaft,"Vol 3, p. 833",False,False,True,False,False,,False
"Rheinische Schellackbleiche Ernst Kalkhof, Akt.-Ges.",,USC,AG,,"Rheinische Schellackbleiche Ernst Kalkhof, Akt.-Ges.","Vol 3, p. 1008",False,False,True,False,False,,False
Richard Hudnut Aktiengesellschaft,,USC,AG,,Richard Hudnut Aktiengesellschaft,"Vol 2, p. 1226",False,False,True,False,False,,False
Ritter AG,"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)",USO,AG,Ritter Dental Manufacturing Comp. Inc.,Ritter Aktiengesellschaft,"Vol 2, p. 803",True,False,False,False,False,,False
Rödingshof Grundstücks-Akt.-Ges.,,USC,AG,,Rödingshof Grundstücks-Akt.-Ges.,"Vol 3, p. 382",False,False,True,False,False,,False
Ruhrgebiet-Gasbrennerwerk Akt.-Ges. zu Langendreer,,USC,AG,,Ruhrgebiet-Gasbrennerwerk Akt.-Ges. zu Langendreer,"Vol 4, p. 707",False,False,True,False,False,,False
Singer Nahmaschinen AG,,USC,AG,,Singer Nähmaschinen Aktiengesellschaft,"Vol 2, p. 590",False,False,True,False,False,,False
"Sparo Aktiengesellschaft, Altona-Bahrenfeld. (In Konkurs.)",,USC,AG,,"Sparo Aktiengesellschaft, Altona-Bahrenfeld. (In Konkurs.)","Vol 4, p. 543",False,False,True,False,False,,False
Standard Elektrizitats Ges. AG,International Telephone and Telegraph Corp.,USOP,AG,International Telephon & Telegraph Comp.,Standard Elektrizitäts-Gesellschaft Aktiengesellschaft (S.E.G.),"Vol 2, p. 779",False,True,False,False,False,,False
The Goodyear Tire & Rubber Co. Aktiengesellschaft,The Goodyear Tire & Rubber Company,USOP,AG,The Goodyear Tire & Rubber Co.,The Goodyear Tire & Rubber Co. Aktiengesellschaft,"Vol 2, p. 1475",False,False,False,True,False,The name The Goodyear Tire & Rubber Co. Aktiengesellschaft is very suggestive,True
Tobis Tonbild-Syndikat Aktiengesellschaft,Warner Bros,USO,AG,Warner Bros,Tobis Tonbild-Syndikat Aktiengesellschaft,"Vol 1, p. 1818",True,False,False,False,False,,False
Torpedo-Werke A.G.,Remington Rand Inc.,USO,AG,"Remington Rand Inc., Delaware (U.S.A.),","Torpedo-Fahrräder u. Schreibmaschinen, Weilwerke A.-G.","Vol 4, p. 658",True,False,False,False,False,"Grossaktionär: James H.Rand jr., Buffalo; Joint venture: In March 1932, the company entered into a joint venture with Remington Rand Inc., Delaware (U.S.A.), which includes an exchange of their patent processes and manufacturing methods in the fields of typewriters, organizational accounting machines, and calculating typewriters.",False
Vaterland Oel Aktiengesellschaft,,USC,AG,,Vaterland Oel Aktiengesellschaft,"Vol 3, p. 437",False,False,True,False,False,"The founders are Americans: ""Founded: July 22, 1932: registered May 5, 1932. 1932. Founders: N.V. Nederlandsch Afrikaansche Financierings Maatschappij Netherlands African Investment Trust, The Hague; American attorney Stanley Ivan La Cov, New York; American attorney Dr. Charles Henry Huberich, New York; Chamber Court trainee Dr. jur. Eberhard Nitschke, secretary Miss Hertha Hartogsohn, Berlin.""",False
Vereinigte Königs- und Laurahütte,Consolidated Silesian Steel Corporation,USO,AG,Consolidated Silesian Steel Corporation,Vereinigte Königs- und Laurahütte Aktien-Gesellschaft für Bergbau- und Hüttenbetrieb,"Vol 1, p. 449",True,False,False,False,False,,False
Vereinigte Riegel- und Schlossfabriken Act.-Ges.,The Yale & Towne Manufacturing Company,USOP,AG,Yale and Towne,Vereinigte Riegel- und Schlossfabriken Act.-Ges.,"Vol 3, p. 676",False,False,True,False,False,Purpose says the company belongs to Yale and Towne Group in Velbert.,True
Warsteiner und Herzoglich Schleswig-Holsteinische Eisenwerke Aktiengesellschaft,,USC,AG,,Warsteiner und Herzoglich Schleswig-Holsteinische Eisenwerke Aktiengesellschaft,"Vol 4, p. 794",False,False,True,False,False,,False
Wrigley Aktiengesellschaft,Wm. Wrigley Jr. Company,USOP,AG,Wrigley,Wrigley Aktiengesellschaft,"Vol 3, p. 1160",False,False,True,True,False,In HB: The company is part of the American Chewing Gum group. Also the name Wrigley is very suggestive.,True
"""Borvisk"" Kunstseiden A. G.",,,,,„Borvisk“ Kunstseiden-Aktiengesellschaft,"Vol 4, p. 952",,,,,,,
"""Debag"" Betriebstoff A.G.",,,,,„Debag“ Deutsche Betriebsstoff-Akt.-Ges.,"Vol 4, p. 1670",,,,,,,
"""Dom"" Finanz A. G. für chemische Unternehmenungen",,,,,„Dom“ Finanz-Aktiengesellschaft für chemische Unternehmungen,"Vol 2, p. 224",,,,,,,
"""Rustica"" A.G. fuer Grunderwerb",,,,,„Rustica“ Akt.-Ges. für Grunderwerb,"Vol 2, p. 1947",,,,,,,
A. S. Hinds AG,,,,,Hinds Aktiengesellschaft,"Vol 2, p. 1295",,,,,,,
A.G. vormals Seidel and Neumann,,,,,Actiengesellschaft vorm. Seidel & Naumann,"Vol 3, p. 1682",,,,,,,
"Aktien-Malsfabrik Landsburg, A. G.",,,,,Aktien-Malzfabrik Landsberg,"Vol 4, p. 1536",,,,,,,
"Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany)",,,,,Aktiengesellschaft für Geschäftshausbau,"Vol 4, p. 443",,,,,,,
Askania Werke A. G.,,,,,Askaniawerke Akt.-Ges.,"Vol 4, p. 824",,,,,,,
Busscher & Hoffman Aktiengesellschaft,,,,,Büsscher & Hoffmann Akt.-Ges.,"Vol 3, p. 955",,,,,,,
C. H. Knorr A.G.,,,,,"C. H. Knorr, A.-G.","Vol 3, p. 1464",,,,,,,
Continentale Gummiwerke A.G. ,,,,,Continental Gummi-Werke Aktiengesellschaft,"Vol 1, p. 1047",,,,,,,
Convertgarten A.G.,,,,,Conventgarten-Aktien-Gesellschaft,"Vol 1, p. 1072",,,,,,,
D. S. Loewe Radio A.G. of Berlin (Germany) ,,,,,"Radioaktiengesellschaft D. S. Loewe,","Vol 1, p. 713",,,,,,,
Deutsche Burroughs Rechenmaschinen AG,,,,,Deutsche Burroughs Rechenmaschinen Aktiengesellschaft,"Vol 3, p. 506",,,,,,,
Deutsche Gasolin AG,,,,,"Deutsche Gasolin Aktiengesellschaft,","Vol 4, p. 1113",,,,,,,
Deutsche Heraklith A.G.,,,,,Deutsche Heraklith-Akt.-Ges.,"Vol 1, p. 804",,,,,,,
Deutsche Landerbank Aktiengesellschaft,,,,,Deutsche Länderbank Aktiengesellschaft,"Vol 2, p. 217",,,,,,,
Deutsche Libbey-Owens Gesellschaft für machinelle Glasherstellung A.G.,,,,,"Deutsche Libbey-Owens-Gesellschaft für maschinelle Glasherstellung, Akt.-Ges. (Delog)","Vol 2, p. 942",,,,,,,
Deutsche Tafelglas Aktiengesellschaft (Detag). ,,,,,Deutsche Tafelglas Aktiengesellschaft (Detag),"Vol 2, p. 940",,,,,,,
"Deutsche Universal Film, A.G.",,,,,Deutsche Universal-Film Aktiengesellschaft,"Vol 2, p. 1487",,,,,,,
Deutsche Vacuum Oel AG,,,,,Deutsche Vacuum Oel Akt.-Ges.,"Vol 2, p. 1289",,,,,,,
Deutsche-Fox Film A.G.,,,,,Deutsche Fox-Film Aktiengesellschaft,"Vol 2, p. 1487",,,,,,,
Duco AG,,,,,Duco Aktiengesellschaft,"Vol 1, p. 910",,,,,,,
E. Gundlach A.G.,,,,,E. Gundlach Aktiengesellschaft,"Vol 2, p. 1393",,,,,,,
Ebano Asphalt-Werke Aktiengesellschaft,,,,,"Ebano Asphalt-Werke, Aktiengesellschaft","Vol 1, p. 1793",,,,,,,
Edoel-Bergbau Aktiengesellschaft Celle Norddeutsche Mineraloel Aktiengesellschaft,,,,,Norddeutsche Mineralöl-Aktiengesellschaft,"Vol 4, p. 511",,,,,,,
Eisenbahn Verkehrsmittel A.-G.,,,,,Eisenbahn-Verkehrsmittel-Akt.-Ges.,"Vol 3, p. 515",,,,,,,
Elektrolux A.G.,,,,,Elektrolux Aktiengesellschaft,"Vol 3, p. 698",,,,,,,
Emas A.G. fuer Strassenbaubedarf,,,,,„Emas“ Aktiengesellschaft für Strassenbaubedarf,"Vol 3, p. 1792",,,,,,,
Emil Koster Aktiengesellschaft,,,,,"Emil Köster A.-G., Lederfabriken","Vol 2, p. 1347",,,,,,,
"Erdolbergbau A.G., Celle",,,,,„Ebag“ Erdölbergbau-Aktiengesellschaft,"Vol 4, p. 484",,,,,,,
Europäische Tanklager und Transport AG,,,,,Europäische Tanklager- und Transport-Aktiengesellschaft,"Vol 4, p. 1466",,,,,,,
Ferdinand Schuchhardt Berliner Fernsprech-und Telegraphenwerk AG,,,,,"Ferdinand Schuchhardt, Berliner Fernsprech- u. Telegraphenwerk Akt.-Ges.","Vol 2, p. 777",,,,,,,
Finkenheerder Obstwerke Richard Sonnenberg AG,,,,,Finkenheerder Syrupwerke Richard Sonnenburg Akt.-Ges.,"Vol 1, p. 1466",,,,,,,
"Fuerstenhof Carlton Hotel, A.G.",,,,,"Fürstenhof Carlton-Hotel Aktiengesellschaft (Esplanade- Palasthotel) in Frankfurt a. M., Bahnhofsplatz 18.","Vol 4, p. 1407",,,,,,,
"Glasfabrik, Aktiengesellschaft.",,,,,"Glasfabrik, Aktiengesellschaft","Vol 4, p. 889",,,,,,,
Glaswerke Ruhr A.G.,,,,,Glaswerke Ruhr Aktiengesellschaft,"Vol 3, p. 850",,,,,,,
Godecke & Co. Chemische Fabrik A.G.,,,,,Gödecke & Co. Chemische Fabrik Akt.-Ges.,"Vol 3, p. 960",,,,,,,
Godecke & Co. Chemische Fabrik und Export A.G.,,,,,Goedecke & Co. Chemische Fabrik und Export-Akt.-Ges.,"Vol 3, p. 960",,,,,,,
Gustav Lohse AG,,,,,Gustav Lohse Aktiengesellschaft in Berlin.,"Vol 2, p. 1236",,,,,,,
"H. & P. Sauermann, A.G.",,,,,H. & P. Sauermann Akt.-Ges.,"Vol 3, p. 1481",,,,,,,
Hamburg-Amerika Linie,,,,,Hamburg-Amerika Linie,"Vol 2, p. 1741",,,,,,,
Hamburger Hof A.G.,,,,,"„Hamburger Hof“, Aktien-Gesellschaft","Vol 3, p. 381",,,,,,,
Hirsch-Bräu Aktiengesellschaft.,,,,,Adler- und Hirsch-Brauerei Aktiengesellschaft,"Vol 1, p. 1313",,,,,,,
Hotel Atlantic A.G.,,,,,Atlantic-Hotel-Aktiengesellschaft,"Vol 4, p. 1409",,,,,,,
Hugo Stinnes Reederei A.G.,,,,,Hugo Stinnes Reederei Aktiengesellschaft,"Vol 3, p. 1328",,,,,,,
I. G. Farbenindustrie,,,,,1. 6. Farbenindustrie Aktiengesellschaft,"Vol 2, p. 1267",,,,,,,
Ilseder Hütte,,,,,Ilseder Hütte,"Vol 2, p. 499",,,,,,,
Industrie lackwerke A.G.,,,,,"Industrielackwerke, Akt.-Ges.","Vol 4, p. 1136",,,,,,,
Industrie-Export Aktiengesellschaft,,,,,Industrie und Export Aktien-Gesellschaft,"Vol 3, p. 219",,,,,,,
Injecta Aktiengesellschaft zur Fabrikation Chiurgischer Instruments,,,,,Injeeta Akt.-Ges. zur Fabrikation chirurgischer Instrumente,"Vol 3, p. 699",,,,,,,
J. P. Bemberg A.G.,,,,,"J. P. Bemberg, Aktien-Gesellschatft,","Vol 1, p. 896",,,,,,,
Julius Pintsch A.-G.,,,,,"Julius Pintsch, Aktiengesellschaft","Vol 2, p. 585",,,,,,,
Kohlen Import & Poseidon A.G.,,,,,Kohlen-Import und Poseidon Schiffahrt A.-G.,"Vol 3, p. 1334",,,,,,,
Kristall Glaswerk A.G.,,,,,Kristallglaswerk Akt.-Ges.,"Vol 3, p. 803",,,,,,,
Kuehltransit A.-G.,,,,,Kühltransit-Aktiengesellschaft,"Vol 2, p. 1457",,,,,,,
Kurt Wachtel AG,,,,,Rauchwaren-Zurichterei und -Färberei Kurt Wachtel.,"Vol 4, p. 1206",,,,,,,
"Lohse, Gustave A.G.",,,,,Gustav Lohse Aktiengesellschaft in Berlin.,"Vol 2, p. 1236",,,,,,,
