German subsidiary,TFR-500_link_type,TFR-500_org_type,TFR-500,Tenenbaum_link_type,Tenenbaum_org_type,Tenenbaum,Moodys 32_link_type,Moodys 32_org_type,Moodys 32,Moodys 34_link_type,Moodys 34_org_type,Moodys 34,IDed in HB 32_link_type,IDed in HB 32_org_type,IDed in HB 32,IDed in HB 34_link_type,IDed in HB 34_org_type,IDed in HB 34,IDed in HB GmbH_link_type,IDed in HB GmbH_org_type,IDed in HB GmbH
Great American Insurance Co. - Home Insurance Co. - Hartford Fire Insurance Co.,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Gustav Lohse AG,,,False,USO,AG,True,,,False,,,False,,,False,,,False,,,False
"H. & P. Sauermann, A.G.",USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"H. A. Bender Bohne, of Mannheim, Germany",,,False,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False
H. B. Blumenthal,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"H. K. Mccann Company, m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
H. W. Heidman,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
H. Westphal & Co.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Ha-No-Mex, Handels-Akt.-Ges.",,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
"Haendler & Natermann, Akt.-Ges.",,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Hamburg-Amerika Linie,,,False,USOP,Others,True,,,False,,,False,,,False,,,False,,,False
Hamburg-Amerikanische Mineralol-G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False
Hamburger Hof A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Hanseatische Grundbitz Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Harburger Bergbau G.m.b.H.,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
Haskins & Sells Revision-Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Heinrich Koppers, Akt.-Ges.",,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Herz-Oelfabriken-Wittenberge-Aktiengesellschaft,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Hirsch-Bräu Aktiengesellschaft.,,,False,,,False,,,False,,,False,,,False,USC,AG,True,,,False
"Hobart Maschinen Gesellschaft, m.b.H.",USO,GmbH,True,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,USO,GmbH,True
Hoffman Bugelmaschinen Gesellschaft m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False
Holm & Molzen G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Holophane-Gesellschaft,,,False,,,False,,,False,,,False,,,False,,,False,USOP,GmbH,True
Holzwarth Gasturbinen,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Hoover G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Hotel Atlantic A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Houghton Deutsche Fabrik K.G.,USC,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Hudson Esser Motors Company M.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Hugo Stinnes G.m.b.H.,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Hugo Stinnes Reederei A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Hupp Motors,,,False,,,False,,,False,,,False,,,False,,,False,USOP,GmbH,True
I. G. Farbenindustrie,,,False,,,False,,,False,USC,AG,True,,,False,,,False,,,False
Iduna Holding Aktiengesellschatt,,,False,,,False,,,False,,,False,USO,AG,True,USO,AG,True,,,False
Ilseder Hütte,,,False,,,False,,,False,,,False,,,False,USOP,AG,True,,,False
Industrie lackwerke A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Industrie-Export Aktiengesellschaft,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Ingersoll-Rand,,,False,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
Injecta Aktiengesellschaft zur Fabrikation Chiurgischer Instruments,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Intava Arbeitsgemeinschaft Der Deutsche-Amerikanischen Petroleum-Gesellschaft Und Der Deutschen Vacuum Oil - Aktiengesellschaft Fur Entwicklung Und Vertrieb Von Luftfahrt-Kraft- Und Schmierstoffen,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
"International Harvester Company, m.b.H.",USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,USO,GmbH,True
International Mortgage & Investment Corporation,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg),USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Intertype Fabrik G.m.b.H.,USO,GmbH,True,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Intertype Setzmaschinen G.m.b.H.,USO,GmbH,True,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Iris Type G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Ivers & Company,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
J. E. Bernard & Co. G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
J. P. Bemberg A.G.,,,False,,,False,DEO,AG,True,DEO,AG,True,,,False,,,False,,,False
Jacob Trefz & Soehne,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Jahresuhren Fabrik G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Jocca Werke G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Johann Lorenz Michel G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Julius Pintsch A.-G.,,,False,USO,AG,True,USC,AG,True,USC,AG,True,,,False,,,False,,,False
Kaehler,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Kaliwerke Sollstedt Gewerkschaft,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Kardex Akt.-Ges. fir Büroartikel,USO,AG,True,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Kardex System G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Karl Fr. Tollner Nachrmittelfabrik G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Kastor & Co. Akt.-Ges.,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
"Kayser Textile-Gesellschaft, m. b. H. in Saxony",,,False,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
"Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung",USO,GmbH,True,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Kodak Aktiengesellschaft,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,,,False,,,False
Kodak Gesellschaft m. b. H.,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
Koehlmann Werke A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Koenig Medicine Company,USOP,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Koenigsberger Kohlen & Koks G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Kohlen Import & Poseidon A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"Kohlenscheidungs-Gesellschaft, m.b.H.",USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False
Kohlenveredlung und Schwelwerke Aktiengesellschaft,,,False,,,False,,,False,,,False,USOP,AG,True,,,False,,,False
Kohler-Werke G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Kohleverkauf Ludwig Jung G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany",,,False,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False
Kraft Kaese Werke G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,USO,GmbH,True
Kristall Glaswerk A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Kuehltransit A.-G.,,,False,,,False,USC,AG,True,USC,AG,True,,,False,,,False,,,False
Kurt Wachtel AG,USO,AG,True,,,False,,,False,USO,AG,True,,,False,USC,AG,True,,,False
Königstadt-Aktiengesellschaft f. Grundstücke u. Industrie,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
L. C. Smith & Corona Schreihmaschinen G.m.b.H.,USO,GmbH,True,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Lindor Werke G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"Linotype, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Lohse, Gustave A.G.",USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Lorenz Radio Vertriebe G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"Lorenz, C. A.G.",USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Ludwig Sudicates G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
M. Rast & Sohn G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"M. Wulfsohn & Co., Aktiengesellschaft in Liqu.",,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Magnesium Development Co.,,,False,,,False,,,False,USC,Others,True,,,False,,,False,,,False
Maizenhaus Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Markt & Co.,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Maschinen-Export G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Maschinenfabrik Augsburg Nurnberg A. G. of Germany,,,False,,,False,,,False,USC,AG,True,,,False,,,False,,,False
Maschinenfabrik Banning & Seybold A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Maschinenfabrik Turner AG,USO,AG,True,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. ),USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Maschinenfabril EINSIEDEL G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Maschinenoel Import Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Mathias Stinnes G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False
Mecklenburgische Erdol G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Mercedes Buromaschinen Werke AG,USO,AG,True,USO,AG,True,USOP,AG,True,USOP,AG,True,USOP,AG,True,USO,AG,True,,,False
"Mergenthaler Setzmaschinen-Fabrik, G.m.b.H.",USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Metal & Thermit Corporation,,,False,,,False,,,False,USC,Others,True,,,False,,,False,,,False
Metallgesellschaft A.G.,,,False,DEO,Others,True,,,False,,,False,,,False,,,False,,,False
Metallisator Akt.-Ges.,,,False,,,False,,,False,,,False,USO,AG,True,USC,AG,True,,,False
Metallisator Berlin Akt.-Ges.,,,False,,,False,,,False,,,False,USO,AG,True,USO,AG,True,,,False
"Metallkentor, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Metallpulver G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Metallwaaren Gesellschaft m. b. H., of Aachen",,,False,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Metallwarenvertrieb G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Metro-Goldwyn-Mayer Film AG,USO,AG,True,USO,AG,True,,,False,,,False,USOP,AG,True,,,False,,,False
Midgard Deutsche Seeverkehrs A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Mineraloel-Raffinerie vorm. August Korff,USO,AG,True,USO,AG,True,,,False,,,False,USO,AG,True,USO,AG,True,,,False
Minimax A. G.,,,False,DEO,AG,True,,,False,,,False,,,False,,,False,,,False
Mix & Genest AG,USO,AG,True,USO,AG,True,,,False,,,False,USO,AG,True,USO,AG,True,,,False
"Mix & Genest Hansawerke , G.m.b.H.",USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Mondamin Gesellschaft,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Morris & Co. G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Moto Meter Gesellschaft, m. b. H.",,,False,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Muelberger & Co. G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Muelheimer Bergwerks Verein A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"Mundlos Akteingesellschaft, Magdeburg",USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Mülheimer Bergwerke Verein AG,,,False,USO,AG,True,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Münchener Rückversicherungs-Gesellschaft,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Nassauer Hof A.G. (Hotel Nassau),USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
National-Film Verleih- u. Vertriebs-Aktiengeseilschaft,,,False,,,False,,,False,,,False,USOP,AG,True,USOP,AG,True,,,False
National-Krupp Registrier-Kassen G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False
Nationale Radiator Gesellschaft m.b.H.,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
Neue Gross-Berliner Haus-Aktiengesellschaft,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Nica Nickelindustrie A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"Nickel Informationburo, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Niederrheinische Papier- u. Pappenfabrik Aktiengesellschaft.,,,False,,,False,,,False,,,False,,,False,USOP,AG,True,,,False
Nobel-Good-Group,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False
Nord-Europaeische Oel,USOP,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Norddeustche Eiswerke A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Norddeustche Mineraloelwerke Stettin G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Norddeutsche Mineralöl-Aktiengesellschaft,,,False,,,False,USO,AG,True,,,False,USO,AG,True,,,False,,,False
Norddeutsche Oelmuehlenwerke A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Norddeutsche Portland Cementfabrik Misburg,USOP,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Nordeuropaeische Oelgesellschaft m.b.H.,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
Northeastern Insurance Co. of Hartford,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Nuernberger Kohlenhandles G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
O-Cedar,,,False,,,False,,,False,,,False,,,False,,,False,USC,GmbH,True
Oberrheinische Kohlenvertretung,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Oelwerke Julius Schindler G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Oesterreische Magnesit A. G.,,,False,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Oldenburgische Erdol Gesellschaft m.b.H.,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False
Oldenburgische Oelausbeutungesellschaft m.b.H.,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
Opel Automobil Versicherungs AG,USO,AG,True,USO,AG,True,,,False,,,False,,,False,USOP,AG,True,,,False
Oppelener Lagerhaus Gesellschaft,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Oppenheimer Casing Co. m.b.H. Hamburg,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Optima-Maschinenfabrik A.-G.,,,False,,,False,USO,AG,True,,,False,USC,AG,True,USC,AG,True,,,False
Orga Akt. Ges.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Osram G.m.b.H. Kommanditgesellschaft,USC,Others,True,USOP,GmbH,True,USOP,GmbH,True,USC,Others,True,,,False,,,False,,,False
Ost-Oel G.m.b.H.,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False
Ostrhederei,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Ota Schlesische Schurwerke Ottmuth A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Otis Aufzugswerke G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False
Ottensenser Eisenwerke AG,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"P. Wohl, Akt.-Ges.",,,False,,,False,,,False,,,False,,,False,USC,AG,True,,,False
Palmolive-Binder & Ketals G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False
Paramount Film AG,USO,AG,True,,,False,,,False,,,False,USOP,AG,True,USOP,AG,True,,,False
"Paramount Film Vertreib G. m. b. H., Berlin, Germany",,,False,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False
"Parfume Lentheric, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Parker A. G.,,,False,,,False,,,False,Others,AG,True,,,False,,,False,,,False
"Parker Pen Co., G.m.b.H., Berlin, Germany",,,False,,,False,USO,GmbH,True,,,False,,,False,,,False,USO,GmbH,True
Paul Dorff A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"Peat, Marwick, Mitchell & Co. (Berlin Partnership)",USC,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Permutit Filter Co. G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Petrolifer Rohoelcompagnie A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Pfaudler-Werke AG,USO,AG,True,,,False,USO,AG,True,USO,AG,True,USO,AG,True,USC,AG,True,,,False
Philip Morris & Co. Limited G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
Photochemie Kommandit Gesellschaft,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Piehl & Pehling,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Pittler Werkzeugmaschinenfabrik Aktiengesellschaft,,,False,,,False,,,False,,,False,USOP,AG,True,USOP,AG,True,,,False
Porzellanfabriken Paul Rauschert Aktiengesellschaft,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Powers G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Pressluftwerkzeug und Maschinenbau AG (Premag),USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,,,False,,,False,,,False
Preussische Bergwerks- und Hutten Gesellschaft,,,False,DEO,AG,True,,,False,,,False,,,False,,,False,,,False
"Price, Waterhouse & Co.",USC,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Privatanschlussbahn Borgsdorf-Birkenwerder G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Quaker Nahrmittel, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Quaker Oats Co. G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
R. Schiffman & Co. G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Rastatter Eisenhandel G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Reece Machinery Company,USO,GmbH,True,,,False,USC,GmbH,True,USC,GmbH,True,,,False,,,False,USO,GmbH,True
Remington Buromaschinen G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"Rheinische Schellackbleiche Ernst Kalkhof, Akt.-Ges.",,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Rheinische-Westfaelische Bergwerks Gesellschaft,,,False,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False
Richard Hudnut Aktiengesellschaft,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Richard Hudnut G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Ritter AG,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,USO,AG,True,,,False
Robert Bosch A.G.,,,False,,,False,DEO,AG,True,USC,Others,True,,,False,,,False,,,False
Robert W. Hunt Company,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
"Rohr & Seilpost Anlagen, G.m.b.H.",USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"Rosskai, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Roth-Buchner, G.m.b.H.",USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"Royal Schreihmaschinen, G.m.b.H.",USO,GmbH,True,USO,GmbH,True,USC,GmbH,True,USC,GmbH,True,,,False,,,False,,,False
Rudolf Arndt Dextrinfabrik G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Rudolf Mueller & Soehne G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Ruhrgebiet-Gasbrennerwerk Akt.-Ges. zu Langendreer,,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Rödingshof Grundstücks-Akt.-Ges.,,,False,,,False,,,False,,,False,USC,AG,True,USC,AG,True,,,False
S. Oppenheimer & Co.,,,False,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
Saatsuchwirtschaft C. Braune G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Schlafhorst Chemische Werke, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Schriftgiesserei und Messinglinienfabrik D. Stempel Akt.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Schulke & Mayr A.G.,USO,AG,True,,,False,,,False,USO,AG,True,,,False,,,False,,,False
Sela Automatic Camera,USOP,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
"Siegfried-Caragen Gesellschaft fuer Kraftfahrzeuge, m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
"Siemens & Halske, A.G.",,,False,,,False,,,False,USOP,AG,True,,,False,,,False,,,False
Siemens -Schuckertwerke A. G.,,,False,USC,AG,True,,,False,,,False,,,False,,,False,,,False
Signal Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Signode System G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Silesian American Corporation,,,False,USO,Others,True,,,False,,,False,,,False,,,False,,,False
Silesian Holding Co.,,,False,USO,Others,True,,,False,,,False,,,False,,,False,,,False
Singer Nahmaschinen AG,USO,AG,True,USO,AG,True,,,False,,,False,USC,AG,True,USC,AG,True,,,False
Singer Nahmaschinen Aktiengesellschaft,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"Sparo Aktiengesellschaft, Altona-Bahrenfeld. (In Konkurs.)",,,False,,,False,,,False,,,False,USC,AG,True,,,False,,,False
Spirella Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Standard Elektrizitats Ges. AG,USO,AG,True,USOP,AG,True,,,False,,,False,USOP,AG,True,USC,AG,True,,,False
Standard Telephon & Radio A.G.,,,False,USO,AG,True,,,False,,,False,,,False,,,False,,,False
Standard Zahnfabrik A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
Stanley Works,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Steinberger Bros.,USOP,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Steinberger Bros. Clove Corp. G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Steinway & Sons,USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Suddeutsche Apparatefabrik Gesellschaft m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Suddeutsche Chemische Werke,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Suedwest A.G.,USO,AG,True,,,False,,,False,,,False,,,False,,,False,,,False
"Swift & Company, G.m.b.H.",USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Teerbaustoff Gesellschaft m.b.H.,,,False,,,False,,,False,USO,GmbH,True,,,False,,,False,,,False
Tefag Radio Vertriebs G.m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
Telephonfabrik Berliner AG,USO,AG,True,USO,AG,True,,,False,,,False,,,False,USOP,AG,True,,,False
Telmo Telephon und Telegraphen Gesellschaft m.b.H.,USO,GmbH,True,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False
"Th. Goldschmidt of Essen, Germany",,,False,,,False,,,False,USC,Others,True,,,False,,,False,,,False
The Atlantic Refining Company Germany GmbH,USO,GmbH,True,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False
The Brecht Corporation G.m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
The Fairbanks G.m.b.H. Company,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,USO,GmbH,True
The Goodyear Tire & Rubber Co. Aktiengesellschaft,,,False,USO,AG,True,,,False,USO,AG,True,USOP,AG,True,USOP,AG,True,,,False
"The Guardian Life Insurance Company of America, European Branch, German Business",USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
The Overseas Casing Co. m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
The Stanley Works G.m.b.H.,USO,GmbH,True,,,False,USO,GmbH,True,,,False,,,False,,,False,,,False
"The Yale & Towne Manufacturing Company, Velbert Division",USO,Others,True,,,False,,,False,,,False,,,False,,,False,,,False
Tietgens & Robertson (G.m.b.H.),USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
Titan-Oel-Gesellschaft m.b.H.,USO,GmbH,True,,,False,,,False,,,False,,,False,,,False,,,False
