German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),other sources,notes,Vol,location,date,capital,business,persons,type
Associated Merchandising Corp. GmbH,,,GmbH,,Associated Merchandising Corporation,,,"Vol 1, p. 60","Berlin SW 68, Lindenstr. 114",6.6.21,RM 50000,Einkauf von Waren für das Stammhaus in Amerika,Roger Day; Hermann Krüger; William A. Mofitt,1 Gf.
B.K.S. Handelsgesellschaft m.b.H.,,,GmbH,,Rheinische Türschließerfabrik Boge & Kasten,,,"Vol 1, p. 1025",Wald b. Solingen,22.5.22,RM 100 000,"Fabrikation und Vertrieb von Türschließern, Türschlössern",A. Boge sen.; K. Bremshey sen.; H. B. Smith,FirmEntry
"Baruta Import and Export, GmbH",,,GmbH,,"Baruta, Export & Import",,,"Vol 1, p. 87","Berlin-Steglitz, Siemensstr. 27",1921,"RM 9,000",Ex- u. Import von Baruta-Pianos,Paul Schmolei,1 Gf.
Bates Maschinen GmbH,,,GmbH,,Bates Engineering Co.,,,"Vol 1, p. 89","Berlin W 15, Kurfürstendamm Nr. 178",3.10.25,RM 125000,Ausführung von Ingenieurarbeiten aller Art,S. H. Bates,Jed. Gf.
Bergwerkgesellschaft Georg von Giesche's Erben,,,GmbH,,Georg von Giesche’s Erben Handelsgesellschaft,,,"Vol 1, p. 459",Stettin,22.9.23,RM 500,"Handel mit Kohlen, Koks, Speditions- und Schiffahrtsgeschäft",M. Mannheim,Jed. Gf.
"Berlin-Oberschoeneweide, Germany",,,GmbH,,Wohnhausbaugesellschaft Berlin-Oberschöneweide,,,"Vol 1, p. 1368","Berlin - Tempelhof, Schillerpromenade 5/6",9.7.28,RM 20 000,Erwerb und Bebauung von Grundstücken in Oberschöneweide,Dr. Helm. Dobberstein,1 od. 2 Gf. od. 1 Gf. u. 1 Pk.
Bernauer & Co.,,,GmbH,,Bernauer & Co.,,,"Vol 1, p. 139","Mannheim, Jungbuschstr. 11",7.10.20,"RM 10,000",Anschaffung u. Weiterveräußerung von Brennstoffen,Hermann Klusmann jun.; Heinrich Mintrop,2 Gf.
"Betz & Jay, GmbH",,,GmbH,,Betz & Jay,,,"Vol 1, p. 143","Köln a. Rh., Leystapel 37",23. 3. 28,RM 20 000,Handel und Einfuhr von Käse jeder Art und sonstigen Molkereierzeugnissen,Leendert Kwakernack; Willmer Kretschmar,1 Gf.
"Born, Mehring & Co, G.m.b.H.",,,GmbH,,"Barr, Moering & Co.",,,"Vol 1, p. 86","Stuttgart, Sattlerstr. 21",18. 2. 22,RM 20 000,Speditionsgeschäft,Gustav Raff,2 od. 1 Gf. od. 1 Gf. u. 1 Pk.
Carrier Lufttechnische Gesellschaft,,,GmbH,,Cärrier Lufttechnische Gesellschaft,,,"Vol 1, p. 202","Stuttgart, Lange Straße 61",23.5.29,RM 150 000,"Herstellung und Vertrieb von Luftbefeuchtungs-, Luftbehandlungs-, Trocken- und ähnlichen Anlagen",Dr. Albert Klein,"1 od. 2 Gf. od. 1 Gf. u. 1 Pk. Einl.: RM 150 000, Handelsgeschäft"
Cehapon Werk G.m.b.H.,,,GmbH,,Cehapon-Werk,,,"Vol 1, p. 208",Freiburg/Brs,11.3.27,RM 20000,"Manufacture of cleaning, degreasing, and solvent products",Dr. Wilhelm Meyer,"1 Gf. Einl.: RM 17000, Laboratory equipment and raw materials"
Chemische Werke Odin (Germany),,,GmbH,,Chemische Werke Odin,,,"Vol 1, p. 221","Eberbach, Baden",7. 9. 21,RM 1 000 000,Jed. Gf.,H. Stoeß; Dr. W. Stoeß; W. Keppler,Chemische Werke
Comptometer G.m.b.H.,,,GmbH,,Comptometer,,,"Vol 1, p. 232","Berlin, Linkstr. 25",23.4.12,RM 50 000,Kauf u. Verkauf der als Comptometer bekannten Rechen- und Additionsmaschinen,Herm. Wieland,1 Gf.
"Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany",,,GmbH,,Continentale Crown-Cork Company,,,"Vol 1, p. 234",Frankenthal/Rheinpfalz,17. 8. 31,RM 20 000,"Herstellung und Vertrieb von Kronen-Korken, von Verschlüssen aller Art aus Natur- und Preßkorken",Fabr.-Dir. Arthur Holt,1 Gf
Creed Telegraph Apparate G.m.b.H.,,,GmbH,,Creed Telegraphenapparate,,,"Vol 1, p. 239",Berlin,21. 12. 29,RM 1000 000,"Herstellung u. Vertrieb von Telegraphenapparaten, System Creed",Ludwig Badenius; Carl Kersten; Otto Emil Arthur Prause,1 Gf.
"Defaka, Deustche Familienkaufhaus G.m.b.H.",,,GmbH,,"Defaka, Deutsches Familien-Kaufhaus",,,"Vol 1, p. 251","Berlin N 54, Rosentaler Str. 40/41",23.4.25,RM 100 000,Department store,R. Behrens; R. O. Agte; K. Brückmann; Arth. Herz,2 Gf. od. 1 Gf. od. 1 Pk.
Denver Chemical Mfg. Co. G.m.b.H.,,,GmbH,,The Denver Chemical Manufacturing Company,,,"Vol 1, p. 1222","Berlin-Lichterfelde, Klingsorstr. 114",7.6.28,RM 24 000,Herstellung und Vertrieb von chemischen und pharm. Produkten,G. C. Nichols,Der Gf. Einl.: RM 24 000 Geschäft
Deutsche American Shipping Co. (Bremen) G.m.b.H.,,,GmbH,,Deutsche American Shipping Co.,,,"Vol 1, p. 262","Hamburg, Stubbenhuk 10",3.1.25,RM 50 000,Not specified,A. Ch. Kerr,Der Gf.
Deutsche Carborumdum Werke,,,GmbH,,Deutsche Carborundum-Werke,,,"Vol 1, p. 265",Düsseldorf-Reisholz,24.9.06,RM 875000,"Herstellung von Silikon-Karbid genannt Carborundum, ein künstliches Schleifmittel",R. Opalka,Der Gf.
"Deutsche Geschaftmaschinen Gesellschaft, m.b.H.",,,GmbH,,Deutsche Geschäftsmaschinen-Gesellschaft,,,"Vol 1, p. 269","Berlin W 35, Potsdamer Str. 112",1921,"RM 800,000",,W. Heidinger,Jed. Gf. od. 1 Gf. u. 1 Pk.
Deutsche Goodrich Compagnie G.m.b.H.,,,GmbH,,Deutsche Goodrich Compagnie,,,"Vol 1, p. 269","Berlin-Lichtenberg, Frankfurter Allee 136",19.2.30,"RM 200,000","Herstellung und Vertrieb von Gummiartikeln aller Art, vornehmlich auch Gummireifen",O. A. Friedrich,1 od. 2 Gf. od. 1 Gf. u. 1 Pk.
"Deutsche Hollerith Maschinen Gesellschaft, m.b.H.",,,GmbH,,Deutsche Hollerith-Maschinen-Gesellschaft,,,"Vol 1, p. 271","Berlin W 35, Potsdamer Str. 112",30. 11. 10,RM 300 000,Erwerb der Dr. Hollerithsehen Patente und der Vertrieb der Hollerithschen Maschinen,W. Heidinger,2 Gf. od. 1 Gf. u. 1 Pk. od. 2 Pk.
"Deutsche Libby Gesellschaft, m.b.H.",,,GmbH,,Deutsche Libby Gesellschaft,,,"Vol 1, p. 273","Leer, Ostfriesl.",5.3.26,RM 500 000,"Fabrikation und Verkauf von Waren aller Art, insbes. von Nahrungsmitteln unter dem Namen „Libby“",C. Heinlein,Der Gf. od. 2 Gf. od. 1 Gf. u. 1 Pk.
Deutsche Maizena G.m.b.H.,,,GmbH,,Deutsche Maizena,,,"Vol 1, p. 274","Hamburg, Spaldingstraße 216/18",20.12.27,RM 3 000 000,Vertrieb von Maisprodukten jeder Art,E. G. H. Dircks; R. Pauli; O. C. Streit; O. Osmund,Dircks allein od. 2 Gf. od. 1 Gf. u. 1 Pk.
"Deutsche Norton-Gesellschaft, m.b.H.",,,GmbH,,Deutsche Norton-Gesellschaft,,,"Vol 1, p. 275",Wesseling,28.9.09,RM 1 000 000,Fabrikation und Vertrieb von Schleifscheiben,W. La Coste Neilson,1 Gf.
"Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.",,,GmbH,,Deutsche Royal-Backpulver-Gesellschaft,,,"Vol 1, p. 278","Berlin NW 7, Unter den Linden 70",24.11.28,RM 300 000,Einfuhr u. Vertrieb des unter der Bezeichnung „Royal“ im Verkehr befindlichen Backpulvers,Dr. S. Millner,Der Gf.
Deutsche Schollwerke G.m.b.H.,,,GmbH,,Deutsche Scholl-Werke für Fabrikate nach System Dr. Scholl,,,"Vol 1, p. 278","Frankfurt a. M., Darmstadter Landstr. 224",20. 1. 22,RM 100 000,Not specified,Ernst Spier; F. J. Scholl,Jed. Gf. Einl.: RM 90 000 Forderung
"Deutsche Timken G.m.b.H., of Berlin",,,GmbH,,Deutsche Timken,,,"Vol 1, p. 280","Berlin-Tempelhof, Germaniastr. 86/87",14.11.18,RM 400000,"Distribution, trade, and manufacture of components for motor vehicles and vehicles for land, air, and water",Dr. M. Wrba,Der Gf.
Deutsche Vereinigte Schuhmaschinen Gesellschaft,,,GmbH,,Deutsche Vereinigte Schuhmaschinen-Gesellschaft,,,"Vol 1, p. 281","Frankfurt a. M., Mainzer Landstraße 147",14. 1. 99,RM 2 500 000,"Herstellung von Maschinen oder Teilen derselben, welche zur Behandlung von Schuhwaren dienen",G. Schröder; W. M. P. Hertz,1 Gf. Einl.: 2 Geschäftsniederlassungen der Internat. Goodyear Shoe Machin Co. und der United Shoe Mach. Co. P.K. Ffm. 1518.
Deutsche Vertriebs Gesellschaft m.b.H. für Naturgetränke,,,GmbH,,Deutsche Vertriebs-Gesellschaft für Naturgetränke,,,"Vol 1, p. 281",Essen,4.6.30,RM 470 000,Herstellung u. Vertrieb von alkoholfreien Getränken jeder Art unter Benutzung des Warenzeichens Coca-Cola,R. R. Powers,"1 Gf. Einl.: RM 30 000, Lizenz"
Deutsche Worthington Gesellschaft m.b.H.,,,GmbH,,Worthington Pumpen- und Maschinenbau,,,"Vol 1, p. 1377","Berlin-Hohenschönhausen, Quitzowstr. 3-5",20.3.07,"RM 75,000","Fabrikation von Maschinen und Maschinenteilen jeder Art, insbesondere von Worthington- und Blakepumpen",Rob. R. Wilhelmi,1 Gf. od. 2 Pk.
Dietaphone Co. m.b.H.,,,GmbH,,Dictaphone Company,,,"Vol 1, p. 290","Berlin W 8, Jägerstr. 12",20.5.30,RM 100 000,"Herstellung, Verkauf, Vertrieb und Verleih von Diktiermaschinen",F. Menke,1 Gf.
Dorr Gesellschaft m.b.H.,,,GmbH,,Dorr,,,"Vol 1, p. 299","Berlin W 62, Kielganstr. 1",3. 7. 25,RM 800 000,Herstellung und Vertrieb von Maschinen und Apparaten jeder Art,Bengst Wadsted,Jed. Gf. od. 2 Pk.
Dr. Erich F. Huth G.m.b.H.,,,GmbH,,Dr. Erich F. Huth,,,"Vol 1, p. 612","Berlin SW 48, Wilhelmstraße 130",29. 6. 08,RM 1 760 000,Herstellung elektrotechnischer u. insbesondere funkentelegraphischer Apparate.,Dr. K. Rottgardt; W. Hahnemann,2 Gf. gern.
"Durer Scheifmittel, G.m.b.H.",,,GmbH,,Durex Schleifmittel,,,"Vol 1, p. 311",Düsseldorf-Reisholz,16. 5. 30,RM 800 000,Herstellung von und Handel mit Schleifmitteln in jeder Art und Form,M. Koster; H. Bein,2 Gf. od. 1 Gf. u. 1 Pk.
Ebano Asphalt Gesellschaft m.b.H.,,,GmbH,,Ebano Asphalt,,,"Vol 1, p. 312","Hamburg, Mönckebergstr. 9",20. 12. 28,RM 1 000 000,"Vertrieb v. Asphalt, insbes. solchem, aus welchem Ebanorohöl gewonnen wird",F. A. Pabelick,Der Gf. od. 2 Gf. od. 1 Gf. u. 1 Pk.
Eisenlager G.m.b.H.,,,GmbH,,Eisenlager,,,"Vol 1, p. 328",Essen,24.3.22,"RM 100,000","Handel mit Geräten, Maschinen und Baumaterialien und Handelseisen",W. Unger; C. Küster,Jed. Gf.
"Erdoelwerke Wathlingen, Wuerttembergische Mineralgesellschaft m.b.H.",,,GmbH,,Erdölwerke Wathlingen,,,"Vol 1, p. 353","Hannover, Goseriede 5-6",21. 1. 21,RM 20 000,"Aufsuchung, Gewinnung und Verwertung von Erdölen, Errichtung von Anlagen und Fabriken",K. F. Hasselmann,Jed. Gf
Erkensator G.m.b.H.,,,GmbH,,Erkensator,,,"Vol 1, p. 1408",Düren/Rhld.,22.10.31,RM 20000,"Erwerb und Verwertung von Patenten und Gebrauchsmustern, die sich auf Zentrifugen (Erkensatoren) beziehen",O. Dörries; Wolfg. Schleicher,2 Gf. od. 1 Gf. u. 1 Pk.
Euphalt Gesellschaft m.b.H.,,,GmbH,,Euphalt,,,"Vol 1, p. 362","Frankfurt a. M., Schaumain Quai 101",31.8.26,RM 20 000,Herstellung und Vertrieb von Straßenbefestigungsmitteln,Dir. K. Meisenhelder; Alfr. Simokat; Dir. Wilh. Gast; Dr. phil. Arn. Caroselli,2 Gf. od. 1 Gf. u. 1 Pk.
F. W. Woolworth Co.,,,GmbH,,F. W. Woolworth Co.,,,"Vol 1, p. 1376","Berlin W 9, Bellevuestr. 11, Zweign. Bremen, Faulenstraße 26 - 28",2. 11. 26,RM 3 500 000,"Herstellung, An- u. Verkauf sowie Export und Import von Waren jeder Art",Rich. H. Strongman,1 Gf. od. 1 Pk.
Fraenkischer Metallhandel G.m.b.H.,,,GmbH,,Fränkischer Metallhandel,,,"Vol 1, p. 396",Mülheim/Ruhr,3.4.1924,RM 20000,"Handel mit Waren aller Art, insbesondere der Handel mit Metallen",Wilh. Unger,1 Gf.
Francotype-Gesellschaft of Berlin,,,GmbH,,Francotyp,,,"Vol 1, p. 397",Bielefed,11. 7. 23,RM 7000,Vertrieb von Postfreistemplern,W. Friedrichs; K. Friedrichs; Dr. O. Kramer; Stellv. P. Trenke,2 Gf. od. 1 Gf.
Frederick Wirth & Company G.m.b.H.,,,GmbH,,Frederick Wirth & Co.,,,"Vol 1, p. 1361","Berlin NW 7, Schadowstr. 1 a",21. 7. 27,RM 50 000,"Errichtung von Gebäuden, An- und Verkauf von Grundstücken",M. Rob. Cobbett,1 od. 2 Gf.
Frigidaire G.m.b.H.,,,GmbH,,Frigidaire,,,"Vol 1, p. 407","Berlin-Borsigwalde, Charlottenburger Str. 59",16.9.26,RM 100000,"Herstellung und Vertrieb von Kühlschränken und anderen elektrischen Artikeln, Licht- und Kraftanlagen",G. D. Riedel,Jed. Gf.
"G. Hirsch & Sohn, G.m.b.H. Nuremberg, Germany",,,GmbH,,G. Hirsch & Sohn,,,"Vol 1, p. 586","Nürnberg, Kirschgartenstr. 80",29.9.22,"RM 200,000",Fortbetrieb einer Gold- und Silberspinnerei u. Weberei,H. Wassermann; A. Hirsch,Jed. Gf.
Gebrueder Hein G.m.b.H.,,,GmbH,,Gebrüder Hein,,,"Vol 1, p. 562","Berlin, Güterbahnhof Halensee, Platz 19",19.12.06,RM 25 000,An- und Verkauf von Brennmaterialien aller Art.,W. Kirchhoff,1 od. 2 Gf. od. 1 Gf. u. 1 Pk.
Gesellschaft Fur Telephon-und Telegraphenbeteilungen m.b.H.,,,GmbH,,Gesellschaft für Telephon- und Telegraphenbeteiligungen,,,"Vol 1, p. 452",Berlin,17. 5. 30,RM 2 000 000,"Beteiligung an deutschen Unternehmungen auf dem Gebiete der Schwachstrom-Elektrizitätswirtschaft, des Funk-, Telephon- und Telegraphenwesens.",R. L. Diemer,1 od. 2 Gf.
Gesellschaft fur Industriebeteiligungen m.b.H.,,,GmbH,,Gesellschaft für Industriebeteiligung,,,"Vol 1, p. 448","Mannheim, Inselstraße 8",2. 7. 31,RM 100 000,Finanzielle Beteiligung an industriellen Unternehmungen,Ch. Goebels,1 od. 2 Gf.
Gesellschaft für Telephon und Telegraphenbeteiligungen G.m.b.H.,,,GmbH,,Gesellschaft für Telephon- und Telegraphenbeteiligungen,,,"Vol 1, p. 452",Berlin,17. 5. 30,RM 2 000 000,"Beteiligung an deutschen Unternehmungen auf dem Gebiete der Schwachstrom-Elektrizitätswirtschaft, des Funk-, Telephon- und Telegraphenwesens.",R. L. Diemer,1 od. 2 Gf.
Gluckskles Michgesellschaft m.b.H.,,,GmbH,,Glücksklee Milchgesellschaft,,,"Vol 1, p. 467",Neustadt i. Holst,19.11.25,RM 400000,Vertrieb von Milch- u. Meiereierzeugnissen,O. Lagerfeldt; C. A. Altwegg,2 Gf.
"H. K. Mccann Company, m.b.H.",,,GmbH,,H. K. Mc. Cann Company,,,"Vol 1, p. 204",Frankfurt a. M.,28.9.28,RM 20 000,Betrieb eines Reklamedienstunternehmens,Bruno W. Randolph,1 Gf.
H. Westphal & Co.,,,GmbH,,Heinrich Westphal & Co.,,,"Vol 1, p. 1349","Berlin-Mariendorf, Schöneberger Str. 2/6",22. 6. 10,RM 60 000,Construction,P. Pachura; Frau Marie Pachura geb. Lemaur; Reinh. Pachura,2 Gf or 1 Gf and 1 Pk
H. Westphal & Co.,,,GmbH,,Heinrich Westphal & Co.,,,"Vol 1, p. 1349",Halle a. S.,1. 12. 09,RM 10 000,Construction,M. Jander,Der Gf
Hamburg-Amerikanische Mineralol-G.m.b.H.,,,GmbH,,Hamburg-Amerikanische Mineralöl-Gesellschaft,,,"Vol 1, p. 522","Hamburg, Rodingsmarkt 66/69",9.4.25,RM 2500000,Import und Vertrieb von Mineralölen,Ch. R. Gerth,1 od. 2 Gf.
Hanseatische Grundbitz Gesellschaft m.b.H.,,,GmbH,,Hanseatische Grundbesitz-Gesellschaft,,,"Vol 1, p. 539",Hamburg,13.11.20,RM 1 100 000,"Erwerb, Verwaltung und Verwertung von Grundstücken",Carl Nicolaus Witthöft; Karl Woodrow Wintermantle,2 Gf.
Hanseatische Grundbitz Gesellschaft m.b.H.,,,GmbH,,Hanseatische Grundbesitz-Gesellschaft,,,"Vol 1, p. 539",Lübeck,27.8.30,RM 20 000,"Erwerb, Verwertung und Verwaltung von Grundstücken",C. Künkel,1 od. 2 Gf.
Harburger Bergbau G.m.b.H.,,,GmbH,,Harburger Bergbaugesellschaft,,,"Vol 1, p. 541",Harburg (Elbe),22. 1. 21,RM 1500,Ausbeutung von Bergwerksgerechtigkeiten,A. Wulff,1 Gf.
Haskins & Sells Revision-Gesellschaft m.b.H.,,,GmbH,,Haskins und Sells Revisions-Gesellschaft,,,"Vol 1, p. 546","Berlin NW 7, Unter den Linden 57/58",27. 1. 31,RM 50 000,Prüfung,,1 Gf.
Hoffman Bugelmaschinen Gesellschaft m.b.H.,,,GmbH,,Hoffman - Bügelmaschinen,,,"Vol 1, p. 591","Berlin - Charlottenburg 4, Waitzstr. 28",20.7.25,RM 200 000,Herstellung und Vertrieb von Bügelmaschinen jeder Art,J. E. Semmes; K. S. Cate; H. W. Stone; C. Wiedmer,1 Gf.
Holm & Molzen G.m.b.H.,,,GmbH,,Kohlenhandel Holm & Molzen,,,"Vol 1, p. 701","Flensburg, Zweign. Apenrade, Sonderburg, Hadersleben",24.1.18,RM 200 000,Handel mit Kohlen und Brennstoffen aller Art,Johann Holm,1 Gf.
Holzwarth Gasturbinen,,,GmbH,,Holzwarth-Gasturbinen,,,"Vol 1, p. 602",Mülheim-Ruhr,21. 9. 27,RM 120 000,"Verwertung von Patenten, Errichtung und Erwerb von Gasturbinenanlagen",Dr. - Ing. e. h. H. Holzwarth; Dr. K. Härle,2 Gf. gern.
Hoover G.m.b.H.,,,GmbH,,Hoover (Elektrische Apparate),,,"Vol 1, p. 604","Berlin W 62, Wittenbergplatz 1",13.11.25,"RM 750,000","Verkauf von Hoover-elektrischen Staubsaug-Apparaten, Zubehör- und Ersatzteilen",Ch. B. Colston,1 Gf.
Hudson Esser Motors Company M.H.,,,GmbH,,Hudson Essex Motors Company,,,"Vol 1, p. 609","Berlin-Spandau, Berliner Chaussee",26. 7. 27,RM 500 000,Herstellung von Kraftfahrzeugen,N. J. Glanfield; L. Smit,2 Gf. gern. Tochterunternehmen der Hudson Motors Co. in Detroit.
Hugo Stinnes G.m.b.H.,,,GmbH,,Hugo Stinnes,,,"Vol 1, p. 1181","Mülheim a. Ruhr, Fil. Stettin, Harburg, Stuttgart, Mannheim, Duisburg, Wiesbaden, Berlin, Hannover, Hamburg, Frankfurt a. M.",23.4.02,RM 5 000 000,"Gewinnung u. Bearbeitung sämtlicher Erzeugnisse des Bergbaues, der Hüttenindustrie, Landwirtschaft u. der chemischen u. elektrischen Industrie, Schiffahrt","Ww. Kläre Stinnes, geb. Wagenknecht",1 Gf. od. 2 Pk.
Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg),,,GmbH,,Internationale Preßluft- und Elektricitäts-Gesellschaft,,,"Vol 1, p. 631","Berlin-Oberschöneweide, An der Wuhlheide",31. 5 05,RM 750 0CO,Herstellung und Vertrieb von Gegenständen der Preßluft- und Elektrizitätsbranche sowie von Maschinen der Stahl- u. Eisenbranche,F. Happe; M. Spernau,Jed. Gf.
Intertype Fabrik G.m.b.H.,,,GmbH,,Intertype Fabrik,,,"Vol 1, p. 632","Berlin S 59, Boppstr. 10",16.8.28,RM 100000,Fabrikation und Vertrieb von Setzmaschinen,N. D. Becker; S. Ayre,Jed. Gf.
Intertype Setzmaschinen G.m.b.H.,,,GmbH,,Intertype-Setzmaschinen,,,"Vol 1, p. 632","Berlin SW 11, Stresemannstraße 90",24.11.26,RM 200000,Herstellung und Vertrieb von Maschinen der graphischen Industrie,J. W. Lindsay,1 Gf.
Iris Type G.m.b.H.,,,GmbH,,Iristype,,,"Vol 1, p. 633","Berlin-Schöneberg, General-Pape-Str. 12",3.23,RM 20 000,"Manufacture and distribution of types, especially typewriter types",G. Schlüns,1 Gf.
J. E. Bernard & Co. G.m.b.H.,,,GmbH,,J. E. Bernard & Co.,,,"Vol 1, p. 139","Hamburg, Neuer Wall 70/74, Zweign. Bremen, Papenstr. 15",7.3.21,"RM 40,000","Spedition, Im- und Export von Waren aller Art",Friedrich Wilhelm Groenwaldt; J. E. Bernard; K. G. Baur,"1 Gf. Einl.: RM 12,600"
Jahresuhren Fabrik G.m.b.H.,,,GmbH,,Jahresuhrenfabrik Aug. Schatz & Söhne,,,"Vol 1, p. 639",Triberg,2. 7. 97,RM 660 000,Fabrikation von Uhren,A. Schatz; K. Schatz,Jed. Gf. R.K. P.K. Klr. 4514
Jocca Werke G.m.b.H.,,,GmbH,,Jocca-Werke,,,"Vol 1, p. 642","Reichertshausen, Oberbayrische Nährmittelindustrie, Ilmmünster",14.11.23,RM 100 000,Fabrikation und Handel von Nahrungs- und Genußmitteln sowie Nährpräparaten,Dr. R. Lindt; Ludw. Deng,1 Gf.
Kardex System G.m.b.H.,,,GmbH,,Kardex-System,,,"Vol 1, p. 659","Berlin W 8, Friedrichstr. 65; Zweign.: Stuttgart, Frankfurt a. M., Düsseldorf, Bismarckstraße 14",4.10.27,"EM 20,000","Herstellung u. Vertrieb von Büroartikeln aller Art, insbesondere Sichtkarteien",Gustav Ahlborn; J. A. Sprenger (vertr. allein); George Mc. Lean; Erich Goestl,2 Gf. Sprenger allein
Karl Fr. Tollner Nachrmittelfabrik G.m.b.H.,,,GmbH,,Karl Fr. Töllner Nährmittelfabrik,,,"Vol 1, p. 1232","Bremen, Ostertor­steinweg 51/53",24. 9. 30,RM 400 000,"Herstellung und Vertrieb von Nährmitteln aller Art, Erwerb einer Nährmittelfabrik",H. Th. E. Miede; G. J. Reimers,2 Gf.
"Kayser Textile-Gesellschaft, m. b. H. in Saxony",,,GmbH,,„Kayser“ Textil-Gesellschaft,,,"Vol 1, p. 667","Chemnitz, Theaterstr. 78",6.8.22,RM 100000,Textil-Gesellschaft,P. R. Walther,1 Gf. od. 1 Pk.
"Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung",,,GmbH,,J. B. Kleinert Rubber Company,,,"Vol 1, p. 682","Hamburg, Moorfleth Elbdeich 58",20.12.07,"RM 100,000","Fabrikation und Vertrieb von Gummi, sowie Gummierung von Stoffen",Wolf gen. Willy Wolf; Dr. R. Levy,Jed. Gf.
Koenigsberger Kohlen & Koks G.m.b.H.,,,GmbH,,Königsberger Kohlen- und Kokshandels-Gesellschaft,,,"Vol 1, p. 696",Königsberg i. Pr.,8.3.18,RM 6000,Handel mit Bergwerkserzeugnissen,Dir. Werner Schilling,Jed. Gf.
"Kohlenscheidungs-Gesellschaft, m.b.H.",,,GmbH,,Kohlenscheidungs-Gesellschaft,,,"Vol 1, p. 703","Berlin W 35, Potsdamer Straße 24/25",8. 3. 21,RM 500 000,"Gewerbsmäßige Entwicklung von Einrichtungen zur Gewinnung, Aufbereitung und Veredelung von Brennstoffen, insbesondere Studien auf dem Gebiete der Kohlenchemie",Ing. Niels Frederik Nissen; Emil Cieslik; Ob.-Ing. Arnold Rühr; Dir. Georg Cantieny,1 od. 2 Gf. od. 1 Gf. u. 1 Pk. od. 2 Pk.
Kohleverkauf Ludwig Jung G.m.b.H.,,,GmbH,,Kohlenverkauf Ludwig Jung,,,"Vol 1, p. 704",Wiesbaden,25. 4. 21,RM 150 000,Fortführung eines Kohlen- und Brennmaterialiengeschäfts,Richard Rosskath,"1 od. 2 Gf., R. Rosskath stets allein"
"Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany",,,GmbH,,"Korkfabrik Frankenthal, Bender & Co.",,,"Vol 1, p. 710",Frankenthal (Ludwigshafen),24. 1. 07,RM 375 000,Fabrikation von Korkstopfen und Korkwaren aller Art,C. A. Mahla; K. Bender,1 Gf. od. Pk.
L. C. Smith & Corona Schreihmaschinen G.m.b.H.,,,GmbH,,L. C. Smith und Corona Schreibmaschinen,,,"Vol 1, p. 1146","Berlin W 8, Krausenstraße 15",7.7.11,RM 100 000,"Herstellung und Vertrieb von Schreibmaschinen, Addier- und Büromaschinen",Ch. Siemer,1 od. 2 Gf.
Lindor Werke G.m.b.H.,,,GmbH,,Linde Werkzeug,,,"Vol 1, p. 773","Berlin NW 21, Lübecker Str. 18",1913,RM 18000,Werkzeug,H. Möllhoff,
"Linotype, G.m.b.H.",,,GmbH,,Linotype,,,"Vol 1, p. 776","Berlin N 4, Chausseestraße 25",4.2.08,RM 20 000,Fabrikation und Vertrieb von Zeilsetz- und Gießmaschinen,Friedrich W. King; Dir. Fritz Adomzent,Jed. Gf.
Lorenz Radio Vertriebe G.m.b.H.,,,GmbH,,Lorenz-Radio-Vertriebs-Gesellschaft,,,"Vol 1, p. 783","Berlin-Charlottenburg 9, Reichskanzlerplatz 7/9",22.4.26,RM 20 000,Vertrieb von Fabrikaten auf dem Gebiete des Rundfunkwesens,L. Roessing; E. Sabersky,2 Gf. od. 1 Gf. u. 1 Pk.
Ludwig Sudicates G.m.b.H.,,,GmbH,,Ludw. Sudikatis & Co.,,,"Vol 1, p. 1192","Berlin-Steglitz, Siemensstr. 27",21.8.1909,RM 2 250 000,"Metallschraubenfabrik, Fassondreherei und Metallzieherei",Dr. R. Friedmann,2 Gf. od. 1 Gf. u. 1 Pk. od. 2 Pk.
M. Rast & Sohn G.m.b.H.,,,GmbH,,M. Rast & Sohn,,,"Vol 1, p. 998","München, Theresienhöhe lb",9.5.11,RM 660 000,Kohlenhandelsgeschäft,O. Schwarzmaier,"Jed. Gf. Einl.: zwei Geschäfte, Geschäftsanteil"
Maschinen-Export G.m.b.H.,,,GmbH,,Deutsche Maschinen Export-Gesellschaft,,,"Vol 1, p. 274","Berlin-Friedenau, Eschenstraße 7",2.8.24,RM 5000,,R. Jänicke,Der Gf.
Maschinenfabril EINSIEDEL G.m.b.H.,,,GmbH,,Maschinenfabrik Einsiedel,,,"Vol 1, p. 810",Einsiedel,7.6.22,RM 500 000,Herstellung und Vertrieb von Maschinen der graphischen Branche,W. Wernet; K. Goliasch,2 Gf.
Maschinenoel Import Gesellschaft m.b.H.,,,GmbH,,Maschinenöl Import,,,"Vol 1, p. 813","Hamburg, Glockengießerwall 1",2.1.14,RM 1 000 000,Import und Handel mit Mineral- und Schmierölen,Phil. Max Hayn; G. A. Rahe,1 Gf. od. 2 Pk.
