German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),other sources,notes,Vol,location,date,capital,business,persons,type
Agfa Photo Gesellschaft,Agfa-Ansco Corporation,DEO,GmbH,Agfa-Ansco Corporation,Agfa Photo Gesellschaft,https://en.wikipedia.org/wiki/Ansco,"The American company is a merge of the American company Ansco and the Germnay company Agfa: ""In 1928 Agfa of Germany merged with Ansco and allowed it to compete in the worldwide photographic market like its competitors, Kodak and Zeiss. This joint company added many Agfa cameras and accessories to its sales in the USA as a result.""","Vol 1, p. 25",Stettin,23.12.25,RM 5000,Vertrieb von Photoartikeln der I. G. Farbenindustrie AG,Alfred Richter,1 Gf.
American News Company,"American News Company, Inc.",USC,GmbH,"American News Company, Inc.",American News Company,https://digi.bib.uni-mannheim.de/viewer/reichsanzeiger/film/008-8449/0548.jp2,liquidated in 1934,"Vol 1, p. 43","Hamburg, Kl. Reichenstr. 21",9.8.22,RM 600,Herausgabe einer Zeitung in englischer Sprache,Eugene Deutsch; A. H. Bergmann geb. Thomaschek,2 Gf.
Columbia Film,Columbia Pictures Corp.,USC,GmbH,Columbia Pictures Corporation,Columbia Film,business description in Handbuch,"The business description is ""Filmschauspiel, Kostüme"", which is similar to the Columbia Pictures Corp.","Vol 1, p. 231","Berlin, Charlottenstr. 96",14. 5. 20,RM 600,"Filmschauspiel, Kostüme",P. Groß; K. Rellstab,Einl.
O-Cedar,O-Cedar Corporation,USC,GmbH,O-Cedar Corporation,O-Cedar,https://digi.bib.uni-mannheim.de/viewer/reichsanzeiger/film/033-8474/0374.jp2,owned by London-based O-Cedar; liquidated in 1940,"Vol 1, p. 922","Berlin-Borsigwalde, Charlottenburger Str. 15-26",,RM 800 000,"Fabrikation und Vertrieb von O-Cedar-Fabrikaten, Möbelpolitur, Bohnerwachs und verwandter Artikel",Fr. Howe Packord,Jed. Gf.
The Fairbanks G.m.b.H. Company,The Fairbanks Company,USO,GmbH,Fairbanks Company,Fairbanks,,Do we have the right Fairbanks company in the US? Is it Gold Dust or ,"Vol 1, p. 372","Hamburg, Brook 1",30.12.19,RM 5000,Vertretung der The Fairbanks Company (Europe) Ltd. London und The Fairbanks Company New-York sowie Ex- und Import von Maschinen und technischen Geräten.,H. S. Fainaru,1 Gf.
"Gillette Safety Razor Company, G.m.b.H.",Gillette Safety Razor Company,USO,GmbH,Gillette Safety Razor Co.,Gillette Safety Razor Co.,,"False match, but Gillette Safety Razor Co. is a subsidiary of the American Gillette Safety Razor Co","Vol 1, p. 460","Hamburg, Spitalstr. 10",26. 3. 08,RM 62 500,"Gewerbliche und fabrikatorische Ausbeutung u. Verwertung der d. Gillette Safety Razor Co. in Amerika gehörigen Patente, Herstellung von Rasierapparaten",C. Ferd. Adderhalden,Jed. Gf.
Addressograph-Multigraph G.m.b.H.,Addressograph-Multigraph Corporation,USO,GmbH,Addressograph Company,Addressograph,,"In TFR-500 the parent is Addressograph-Multigraph Corporation, and in Moody's 1934 the name of the subsidiary is Addressograph-Multigraph G.m.b.H. That's because Addressograph merged with American-Multigraph Corporation in 1930 and became Addressograph-Multigraph.","Vol 1, p. 21","Berlin S 24, Ritterstr. 99",28.3.28,RM 700000,Vertrieb von Organisationsmaschinen u. Büroartikeln aller Art,R. I. Grog; CI. E. Thone; A. Porter,Jed. Gf. od. 1 Gf. u. 1 Pk. Sacheinl. RM 391000
Aeolian Company,Aeolian Company,USO,GmbH,Aeolian Company,Aeolian Company,https://www.pianola.org/history/history_playerpianos.cfm,"The business description in Handbuch is ""Herstellung und Vertrieb von Musikinstrumenten"" ","Vol 1, p. 24","Berlin W 10, Lützowufer 17",5. 6. 07,RM 500 000,Herstellung und Vertrieb von Musikinstrumenten,John Albert Findley; Johannes Hauff,1 Gf. od. 2 Pk
American Oil Company,American Oil Company,USO,GmbH,American Oil Company,American Oil Company,https://en.wikipedia.org/wiki/Amoco,"Wiki: In the following decades, Amoco expanded globally, creating plants, oil wells, or markets in over 30 countries, including Italy, Australia (acquired by BP in 1984), Britain, Belgium, Brazil, Argentina, South Korea, Taiwan, Pakistan, Norway, Venezuela, Russia, China, Trinidad and Tobago, Egypt, West Germany.In addition, the company also acquired a division of Tenneco Oil Company and Dome Petroleum Limited becoming one of the world's largest oil companies.","Vol 1, p. 43","Hamburg, Billwärder Steindamm 14/19",6.3.20,RM 500,Friedrich Bachmann,Friedrich Bachmann,1 Gf.
Bakelite Gesellschaft,Bakelite Corp.,USO,GmbH,Bakelite Corporation,Bakelite,,,"Vol 1, p. 82","Berlin W 35, Lützowstr. 32",25. 5. 10,RM 1100 000,Verwertung von Patenten von Kondensationsprodukten und plastischen Massen,David Sachs; Dr. phil. Max Weger,2 Gf. oder 1 Gf. u. 1 Pk.
